Name,Player Id
2018,Aaron Ramsey,26820
2018,Harvey Barnes,331382
2018,Dan Gosling,13846
2018,Juan Mata,25363
2018,Steve Mounié,135259
2018,Ben Foster,11530
2018,Daniel Amartey,243552
2018,André-Frank Zambo Anguissa,349561
2018,David Button,34388
2018,Ben Davies,103837
2018,Bruno Ecuele Manga,42573
2018,Jack Wilshere,42686
2018,Bernd Leno,92173
2018,Antonio Valencia,18296
2018,Victor Lindelöf,100008
2018,Pascal Groß,71824
2018,Aaron Cresswell,68049
2018,Marc Albrighton,42147
2018,Chris Wood,73380
2018,Christian Kabasele,68393
2018,Jordan Henderson,68659
2018,Jeffrey Schlupp,91822
2018,Ederson,121774
2018,Marouane Fellaini,22738
2018,Roberto Pereyra,90000
2018,Adam Masina,137512
2018,Craig Cathcart,25241
2018,Phil Bardsley,18181
2018,Yan Valery,323791
2018,Christian Benteke,68312
2018,Dale Stephens,24238
2018,Alberto Moreno,113275
2018,Joe Bryan,134331
2018,Ross Barkley,92547
2018,André Gomes,118123
2018,Glenn Murray,21427
2018,Stephen Ward,15764
2018,Mateo Kovacic,93894
2018,Callum Hudson-Odoi,350088
2018,Davy Pröpper,77429
2018,Mark Noble,8247
2018,Anthony Knockaert,86794
2018,Gabriel Jesus,279379
2018,Ainsley Maitland-Niles,255169
2018,Matthew Lowton,80067
2018,Diogo Dalot,353418
2018,Sam Vokes,13938
2018,Fabri,23474
2018,Martin Kelly,44687
2018,Yves Bissouma,303096
2018,Kepa,113880
2018,Federico Fernández,44847
2018,Alex Iwobi,136824
2018,Denis Odoi,68335
2018,Martin Dúbravka,46092
2018,Dominic Calvert-Lewin,141469
2018,Cyrus Christie,134111
2018,Tom Heaton,17708
2018,Ryan Bertrand,22846
2018,Konstantinos Mavropanos,351127
2018,Sead Kolasinac,110260
2018,Aron Gunnarsson,35734
2018,Joe Hart,8786
2018,Cheikhou Kouyaté,66741
2018,Mason Holgate,297544
2018,Jonathan Hogg,82593
2018,Adrian Mariappa,13805
2018,Tom Cairney,79583
2018,Bernard,101642
2018,Alexis Sánchez,25244
2018,Jesse Lingard,109000
2018,Adama Traoré,140088
2018,Christian Fuchs,12431
2018,Emerson,101955
2018,Chicharito,35003
