Rank,Name,Position,Team,Weekly Salary
1.0,Cristiano Ronaldo,Forward,MUFC,515385
2.0,Kevin De Bruyne,Midfielder,MCFC,400000
3.0,David De Gea,Goalkeeper,MUFC,375000
4.0,Jadon Sancho,Forward,MUFC,350000
5.0,Raphael Varane,Defender,MUFC,340000
6.0,Romelu Lukaku,Forward,CFC,325000
7.0,Jack Grealish,Midfielder,MCFC,300000
,Raheem Sterling,Forward,MCFC,300000
9.0,N'Golo Kante,Midfielder,CFC,290000
,Paul Pogba,Midfielder,MUFC,290000
11.0,Timo Werner,Forward,CFC,272000
12.0,John Stones,Defender,MCFC,250000
,Edinson Cavani,Forward,MUFC,250000
14.0,Virgil Van Dijk,Defender,LFC,220000
15.0,Thomas Partey,Midfielder,AFC,200000
,Thiago Alcantara do Nascimento,Midfielder,LFC,200000
,Mohamed Salah,Forward,LFC,200000
,Marcus Rashford,Forward,MUFC,200000
,Harry Kane,Forward,THFC,200000
20.0,Saul Niguez,Midfielder,CFC,198269
21.0,Heung-Min Son,Forward,THFC,192000
22.0,Ben Chilwell,Defender,CFC,190000
23.0,Harry Maguire,Defender,MUFC,189904
24.0,Alexandre Lacazette,Forward,AFC,182063
25.0,Trent Alexander-Arnold,Defender,LFC,180000
,Roberto Firmino,Forward,LFC,180000
,Fabinho Tavares,Midfielder,LFC,180000
,Bruno Fernandes,Midfielder,MUFC,180000
29.0,Cristian Romero,Defender,THFC,165000
30.0,Ruben Dias,Defender,MCFC,160000
,Juan Mata,Midfielder,MUFC,160000
32.0,Kepa Arrizabalaga,Goalkeeper,CFC,150000
,Cesar Azpilicueta,Defender,CFC,150000
,Kai Havertz,Midfielder,CFC,150000
,Mateo Kovacic,Midfielder,CFC,150000
,Christian Pulisic,Forward,CFC,150000
,Alisson Becker,Goalkeeper,LFC,150000
,Fernandinho Luis Roza,Midfielder,MCFC,150000
,Bernardo Silva,Midfielder,MCFC,150000
,Luke Shaw,Defender,MUFC,150000
41.0,Nicolas Pepe,Forward,AFC,140000
,Jamie Vardy,Forward,LC,140000
,Jordan Henderson,Midfielder,LFC,140000
,James Milner,Midfielder,LFC,140000
,Ilkay Gundogan,Midfielder,MCFC,140000
46.0,Wilfried Zaha,Forward,CP,130000
,Kasper Schmeichel,Goalkeeper,LC,130000
48.0,Rodrigo Hernandez Cascante,Midfielder,MCFC,121154
49.0,Ben White,Defender,AFC,120000
