Rank,Name,Position,Team,Weekly Salary
1.0,Paul Pogba,Midfielder,MUFC,290000
2.0,Eden Hazard,Midfielder,CFC,225000
3.0,Sergio Aguero,Forward,MCFC,220000
,Yaya Toure,Midfielder,MCFC,220000
5.0,David De Gea,Goalkeeper,MUFC,200000
6.0,Alexandre Lacazette,Forward,AFC,182063
7.0,Romelu Lukaku,Forward,MUFC,180000
8.0,Mesut Ozil,Midfielder,AFC,175000
,Kevin De Bruyne,Midfielder,MCFC,175000
,Alexis Sanchez,Forward,MUFC,175000
11.0,Alvaro Morata,Forward,CFC,170000
12.0,Wayne Rooney,Forward,EFC,160000
,David Silva,Midfielder,MCFC,160000
,Juan Mata,Midfielder,MUFC,160000
15.0,Cesc Fabregas,Midfielder,CFC,156000
16.0,Vincent Kompany,Defender,MCFC,150000
,Raheem Sterling,Forward,MCFC,150000
18.0,Alexis Sanchez,Forward,AFC,140000
,James Milner,Midfielder,LFC,140000
,Ilkay Gundogan,Midfielder,MCFC,140000
,Javier Chicharito Hernandez,Forward,WHUFC,140000
22.0,Willian da Silva,Midfielder,CFC,138462
23.0,Daniel Sturridge,Forward,LFC,130000
24.0,Danny Welbeck,Forward,AFC,125000
25.0,Henrikh Mkhitaryan,Midfielder,AFC,120000
,Aaron Ramsey,Midfielder,AFC,120000
,Thibaut Courtois,Goalkeeper,CFC,120000
,Danny Drinkwater,Midfielder,CFC,120000
,N'Golo Kante,Midfielder,CFC,120000
,David Luiz,Defender,CFC,120000
,Christian Benteke,Forward,CP,120000
,Alex Oxlade-Chamberlain,Midfielder,LFC,120000
,Mohamed Salah,Forward,LFC,120000
,Nicolas Otamendi,Defender,MCFC,120000
,Bernardo Silva,Forward,MCFC,120000
,Victor Lindelof,Defender,MUFC,120000
,Nemanja Matic,Midfielder,MUFC,120000
,Ashley Young,Midfielder,MUFC,120000
39.0,Sead Kolasinac,Defender,AFC,119500
40.0,Joe Hart,Goalkeeper,MCFC,116000
41.0,Ander Herrera,Midfielder,MUFC,115000
42.0,Tiemoue Bakayoko,Midfielder,CFC,110000
,Anthony Martial,Forward,MUFC,110000
,Marcos Rojo,Defender,MUFC,110000
,Luke Shaw,Defender,MUFC,110000
46.0,Jermain Defoe,Forward,BOU,103462
47.0,Hector Bellerin,Defender,AFC,100000
,Santi Cazorla,Midfielder,AFC,100000
,Petr Cech,Goalkeeper,AFC,100000
,Cesar Azpilicueta,Defender,CFC,100000
,Gary Cahill,Defender,CFC,100000
,Pedro Rodriguez Ledesma,Midfielder,CFC,100000
,Antonio Rudiger,Defender,CFC,100000
,Mamadou Sakho,Defender,CP,100000
,Wilfried Zaha,Forward,CP,100000
,Morgan Schneiderlin,Midfielder,EFC,100000
,Gylfi Sigurdsson,Midfielder,EFC,100000
,Riyad Mahrez,Forward,LC,100000
,Jamie Vardy,Forward,LC,100000
,Roberto Firmino,Forward,LFC,100000
,Jordan Henderson,Midfielder,LFC,100000
,Dejan Lovren,Defender,LFC,100000
,Joel Matip,Defender,LFC,100000
,Fernandinho Luis Roza,Midfielder,MCFC,100000
,Eliaquim Mangala,Defender,MCFC,100000
,John Stones,Defender,MCFC,100000
,Kyle Walker,Defender,MCFC,100000
,Harry Kane,Forward,THFC,100000
,Hugo Lloris,Goalkeeper,THFC,100000
,Jan Vertonghen,Defender,THFC,100000
,Marko Arnautovic,Midfielder,WHUFC,100000
72.0,Pierre-Emerick Aubameyang,Forward,AFC,90000
,Laurent Koscielny,Defender,AFC,90000
,Per Mertesacker,Defender,AFC,90000
,Shkodran Mustafi,Defender,AFC,90000
,Jack Wilshere,Midfielder,AFC,90000
,Granit Xhaka,Midfielder,AFC,90000
