Rank,Name,Position,Team,Weekly Salary
,Philipp Wollscheid,Defender,SCFC,45000
,Federico Fazio,Defender,THFC,45000
,Nordin Amrabat,Forward,WAT,45000
140.0,Federico Fernandez,Defender,SCAFC,43000
141.0,Andreas Andreas Weimann,Forward,AVFC,42899
142.0,Kurt Zouma,Defender,CFC,42308
143.0,Aiden McGeady,Forward,EFC,42000
,Valon Behrami,Midfielder,WAT,42000
145.0,Ryan Bertrand,Defender,CFC,40083
146.0,David Ospina,Goalkeeper,AFC,40000
,Ramiro Funes Mori,Defender,EFC,40000
,Yohan Benalouane,Defender,LC,40000
,Alberto Moreno,Defender,LFC,40000
,Siem de Jong,Midfielder,NUFC,40000
,Nabil Bentaleb,Midfielder,THFC,40000
,Mario Suarez,Midfielder,WAT,40000
,Enner Valencia,Forward,WHUFC,40000
154.0,Jores Okore,Defender,AVFC,39904
155.0,Seamus Coleman,Defender,EFC,38000
,Robert Huth,Defender,LC,38000
,Erik Pieters,Defender,SCFC,38000
,Clinton Njie,Forward,THFC,38000
159.0,Shay Given,Goalkeeper,AVFC,37692
160.0,Sung-Yeung Ki,Midfielder,SCAFC,36000
,Wayne Routledge,Midfielder,SCAFC,36000
162.0,Andrew Surman,Midfielder,BOU,35000
,Andreas Christensen,Defender,CFC,35000
,Fraizer Campbell,Forward,CP,35000
,Jason Puncheon,Midfielder,CP,35000
,Wilfried Zaha,Forward,CP,35000
,Shinji Okazaki,Forward,LC,35000
,Lazar Markovic,Forward,LFC,35000
,Vurnon Anita,Defender,NUFC,35000
,Jack Colback,Midfielder,NUFC,35000
,Yoan Gouffran,Midfielder,NUFC,35000
,Chancel Mbemba,Defender,NUFC,35000
,Emmanuel Riviere,Forward,NUFC,35000
,Henri Saivet,Midfielder,NUFC,35000
,Charlie Adam,Midfielder,SCFC,35000
,Jack Butland,Goalkeeper,SCFC,35000
,Jack Cork,Midfielder,SCAFC,35000
,Kieran Trippier,Defender,THFC,35000
,Etienne Capoue,Midfielder,WAT,35000
,James Collins,Defender,WHUFC,35000
181.0,Jon Flanagan,Defender,LFC,33000
,Stephen Ireland,Midfielder,SCFC,33000
,Joselu Mato,Forward,SCFC,33000
,Marc Muniesa,Defender,SCFC,33000
185.0,Kyle Naughton,Defender,SCAFC,32000
186.0,Phil Bardsley,Defender,SCFC,31000
187.0,Josh McEachran,Midfielder,CFC,30062
188.0,Simon Francis,Defender,BOU,30000
,Joel Campbell,Forward,AFC,30000
,Francis Coquelin,Midfielder,AFC,30000
,Alex Iwobi,Forward,AFC,30000
,Andreas Weimann,Forward,AVFC,30000
,Pape Souare,Defender,CP,30000
,Adam Bogdan,Goalkeeper,LFC,30000
,Simon Mignolet,Goalkeeper,LFC,30000
,Florin Gardos,Defender,SFC,30000
,Glen Johnson,Defender,SCFC,30000
,Jordi Amat,Defender,SCAFC,30000
,Jose Holebas,Defender,WAT,30000
,Craig Dawson,Defender,WBAFC,30000
,Sam Byram,Defender,WHUFC,30000
,Cheikhou Kouyate,Midfielder,WHUFC,30000
,Diafra Sakho,Forward,WHUFC,30000
204.0,Lewis Grabban,Forward,BOU,29000
205.0,Joe Bennett,Defender,AVFC,28317
206.0,Jordon Mutch,Midfielder,CP,28000
,Luke Garbutt,Defender,EFC,28000
,Divock Origi,Forward,LFC,28000
,Maya Yoshida,Defender,SFC,28000
,Callum McManaman,Forward,WBAFC,28000
211.0,Mohamed Elneny,Midfielder,AFC,27500
,Muhamed Besic,Midfielder,EFC,27500
213.0,Leonardo Ulloa,Forward,LC,27000
214.0,Toni Luna,Defender,AVFC,26282
215.0,Ashley Westwood,Midfielder,AVFC,25739
216.0,Marc Pugh,Midfielder,BOU,25000
,Gabriel Paulista,Defender,AFC,25000
,Andre Gray,Forward,BFC,25000
,Robert Kenedy,Midfielder,CFC,25000
,Martin Kelly,Defender,CP,25000
,Joe Ledley,Midfielder,CP,25000
,Chung-Yong Lee,Forward,CP,25000
,Mason Holgate,Defender,EFC,25000
,Matty James,Midfielder,LC,25000
,Jason Denayer,Defender,MCFC,25000
,Bruno Zuculini,Midfielder,MCFC,25000
,Karl Darlow,Goalkeeper,NUFC,25000
,Jonathan Walters,Forward,SCFC,25000
,Dele Alli,Midfielder,THFC,25000
,Miguel Britos,Defender,WAT,25000
,Heurelho Gomes,Goalkeeper,WAT,25000
,Costel Pantilimon,Goalkeeper,WAT,25000
,Michail Antonio,Midfielder,WHUFC,25000
234.0,Aleksandar Tonev,Midfielder,AVFC,23558
235.0,Scott Arfield,Midfielder,BFC,23000
,Tomas Kalas,Defender,CFC,23000
,Brendan Galloway,Defender,EFC,23000
238.0,Michael Keane,Defender,BFC,22000
,Dean Marney,Midfielder,BFC,22000
,James Tarkowski,Defender,BFC,22000
,Steven Berghuis,Forward,WAT,22000
242.0,Joe Cole,Midfielder,AVFC,21154
243.0,Daniel Amartey,Midfielder,LC,21000
244.0,Leandro Bacuna,Midfielder,AVFC,20641
245.0,Yacouba Sylla,Midfielder,AVFC,20144
246.0,Nathan Ake,Defender,CFC,20041
247.0,Dan Gosling,Midfielder,BOU,20000
,Callum Wilson,Forward,BOU,20000
,Yaya Sanogo,Forward,AFC,20000
,Tomer Hemed,Forward,BHA,20000
,Uwe Hunemeier,Defender,BHA,20000
,Jamie Murphy,Forward,BHA,20000
,Liam Rosenior,Defender,BHA,20000
,Jiri Skalak,Forward,BHA,20000
,George Boyd,Midfielder,BFC,20000
,Lewis Baker,Midfielder,CFC,20000
,Kasey Palmer,Midfielder,CFC,20000
,Zeki Fryers,Defender,CP,20000
,Wayne Hennessey,Goalkeeper,CP,20000
,Joel Robles,Goalkeeper,EFC,20000
,Sean Scannell,Forward,HUD,20000
,Andreas Pereira,Midfielder,MUFC,20000
,James Wilson,Forward,MUFC,20000
,Sammy Ameobi,Midfielder,NUFC,20000
,Paul Dummett,Defender,NUFC,20000
,Massadio Haidara,Defender,NUFC,20000
,Harry Winks,Midfielder,THFC,20000
,Abdoulaye Doucoure,Midfielder,WAT,20000
,Sebastian Prodl,Defender,WAT,20000
270.0,Charlie Daniels,Defender,BOU,19000
271.0,Danny Ward,Goalkeeper,LFC,18000
,Paulo Gazzaniga,Goalkeeper,SFC,18000
273.0,Sam Vokes,Forward,BFC,17000
,Michael Hector,Defender,CFC,17000
275.0,Tyrone Mings,Defender,BOU,16000
,Rhoys Wiggins,Defender,BOU,16000
