Rank,Name,Position,Team,Weekly Salary
1.0,Wayne Rooney,Forward,MUFC,300000
2.0,Paul Pogba,Midfielder,MUFC,290000
3.0,Eden Hazard,Midfielder,CFC,225000
4.0,Sergio Aguero,Forward,MCFC,220000
,Yaya Toure,Midfielder,MCFC,220000
,Zlatan Ibrahimovic,Forward,MUFC,220000
7.0,David De Gea,Goalkeeper,MUFC,200000
8.0,Diego Costa,Forward,CFC,185000
9.0,David Silva,Midfielder,MCFC,160000
,Juan Mata,Midfielder,MUFC,160000
11.0,Cesc Fabregas,Midfielder,CFC,156000
12.0,Oscar,Midfielder,CFC,152255
13.0,John Terry,Defender,CFC,150000
,Philippe Coutinho,Midfielder,LFC,150000
,Kevin De Bruyne,Midfielder,MCFC,150000
,Vincent Kompany,Defender,MCFC,150000
,Raheem Sterling,Forward,MCFC,150000
18.0,Branislav Ivanovic,Defender,CFC,143846
19.0,Mesut Ozil,Midfielder,AFC,140000
,Alexis Sanchez,Forward,AFC,140000
,Theo Walcott,Forward,AFC,140000
,James Milner,Midfielder,LFC,140000
,Ilkay Gundogan,Midfielder,MCFC,140000
24.0,Willian da Silva,Midfielder,CFC,138462
25.0,Daniel Sturridge,Forward,LFC,130000
26.0,Danny Welbeck,Forward,AFC,125000
27.0,Thibaut Courtois,Goalkeeper,CFC,120000
,N'Golo Kante,Midfielder,CFC,120000
,David Luiz,Defender,CFC,120000
,Christian Benteke,Forward,CP,120000
,Nicolas Otamendi,Defender,MCFC,120000
,Henrikh Mkhitaryan,Midfielder,MUFC,120000
,Ashley Young,Midfielder,MUFC,120000
34.0,Ander Herrera,Midfielder,MUFC,115000
35.0,Aaron Ramsey,Midfielder,AFC,110000
,Anthony Martial,Forward,MUFC,110000
,Marcos Rojo,Defender,MUFC,110000
,Luke Shaw,Defender,MUFC,110000
39.0,Santi Cazorla,Midfielder,AFC,100000
,Petr Cech,Goalkeeper,AFC,100000
,Cesar Azpilicueta,Defender,CFC,100000
,Gary Cahill,Defender,CFC,100000
,Pedro Rodriguez Ledesma,Midfielder,CFC,100000
,Morgan Schneiderlin,Midfielder,EFC,100000
,Riyad Mahrez,Forward,LC,100000
,Jamie Vardy,Forward,LC,100000
,Roberto Firmino,Forward,LFC,100000
,Jordan Henderson,Midfielder,LFC,100000
,Joel Matip,Defender,LFC,100000
,Fernandinho Luis Roza,Midfielder,MCFC,100000
,Fernando Reges,Midfielder,MCFC,100000
,John Stones,Defender,MCFC,100000
,Harry Kane,Forward,THFC,100000
,Hugo Lloris,Goalkeeper,THFC,100000
55.0,Nolito,Forward,MCFC,95000
56.0,Jack Wilshere,Midfielder,BOU,90000
,Laurent Koscielny,Defender,AFC,90000
,Per Mertesacker,Defender,AFC,90000
,Shkodran Mustafi,Defender,AFC,90000
,Granit Xhaka,Midfielder,AFC,90000
,Marcos Alonso,Defender,CFC,90000
,Michy Batshuayi,Forward,CFC,90000
,Nemanja Matic,Midfielder,CFC,90000
,Danny Drinkwater,Midfielder,LC,90000
,Sadio Mane,Forward,LFC,90000
,Georginio Wijnaldum,Midfielder,LFC,90000
,Leroy Sane,Forward,MCFC,90000
,Andy Carroll,Forward,WHUFC,90000
69.0,Jan Vertonghen,Defender,THFC,89000
70.0,Yohan Cabaye,Midfielder,CP,86000
71.0,Mamadou Sakho,Defender,CP,85000
,Marouane Fellaini,Midfielder,MUFC,85000
,Antonio Valencia,Defender,MUFC,85000
,Heung-Min Son,Forward,THFC,85000
75.0,Romelu Lukaku,Forward,EFC,80000
,Kasper Schmeichel,Goalkeeper,LC,80000
,Islam Slimani,Forward,LC,80000
,Claudio Bravo,Goalkeeper,MCFC,80000
,Fabian Delph,Midfielder,MCFC,80000
,Eric Bailly,Defender,MUFC,80000
,Michael Carrick,Midfielder,MUFC,80000
,Manolo Gabbiadini,Forward,SFC,80000
,Virgil Van Dijk,Defender,SFC,80000
,Saido Berahino,Forward,SCFC,80000
,Toby Alderweireld,Defender,THFC,80000
,Erik Lamela,Midfielder,THFC,80000
,Moussa Sissoko,Midfielder,THFC,80000
,Andre Ayew,Forward,WHUFC,80000
89.0,Mathieu Debuchy,Defender,AFC,75000
,Victor Moses,Defender,CFC,75000
,Yannick Bolasie,Forward,EFC,75000
,Danny Ings,Forward,LFC,75000
,Lucas Leiva,Midfielder,LFC,75000
,Gabriel Jesus,Forward,MCFC,75000
,Daley Blind,Defender,MUFC,75000
,Phil Jones,Defender,MUFC,75000
,Fernando Llorente,Forward,SCAFC,75000
,Christian Eriksen,Midfielder,THFC,75000
,Jose Fonte,Defender,WHUFC,75000
100.0,Lucas Perez,Forward,AFC,70000
,Steve Mandanda,Goalkeeper,CP,70000
,Leighton Baines,Defender,EFC,70000
,Kevin Mirallas,Forward,EFC,70000
,Ashley Williams,Defender,EFC,70000
,Nathaniel Clyne,Defender,LFC,70000
,Chris Smalling,Defender,MUFC,70000
,Jonjo Shelvey,Midfielder,NUFC,70000
,Jermain Defoe,Forward,SUFC,70000
,Charlie Austin,Forward,SFC,70000
,Ryan Bertrand,Defender,SFC,70000
,Gylfi Sigurdsson,Midfielder,SCAFC,70000
,Kyle Walker,Defender,THFC,70000
,Manuel Lanzini,Midfielder,WHUFC,70000
114.0,Aleksandar Kolarov,Defender,MCFC,69000
115.0,Nacho Monreal,Defender,AFC,65000
,Alex Oxlade-Chamberlain,Midfielder,AFC,65000
,Ben Chilwell,Defender,LC,65000
,Ahmed Musa,Forward,LC,65000
,Dejan Lovren,Defender,LFC,65000
,Sergio Romero,Goalkeeper,MUFC,65000
,Sofiane Boufal,Midfielder,SFC,65000
,Oriol Romeu,Midfielder,SFC,65000
,Cedric Soares,Defender,SFC,65000
,Mame Diouf,Forward,SCFC,65000
,Xherdan Shaqiri,Midfielder,SCFC,65000
,Victor Wanyama,Midfielder,THFC,65000
,Troy Deeney,Forward,WAT,65000
,Jonny Evans,Defender,WBAFC,65000
,Sofiane Feghouli,Forward,WHUFC,65000
130.0,Francis Coquelin,Midfielder,AFC,60000
,Asmir Begovic,Goalkeeper,CFC,60000
,Scott Dann,Defender,CP,60000
,Connor Wickham,Forward,CP,60000
,Gareth Barry,Midfielder,EFC,60000
,Wes Morgan,Defender,LC,60000
,Simon Mignolet,Goalkeeper,LFC,60000
,Adnan Januzaj,Forward,MUFC,60000
,Aleksandar Mitrovic,Forward,NUFC,60000
,Steven Davis,Midfielder,SFC,60000
,Shane Long,Forward,SFC,60000
,Nathan Redmond,Forward,SFC,60000
,Dusan Tadic,Forward,SFC,60000
,Eric Dier,Midfielder,THFC,60000
,Danny Rose,Defender,THFC,60000
,Nacer Chadli,Midfielder,WBAFC,60000
,Ben Foster,Goalkeeper,WBAFC,60000
,Jose Salomon Rondon,Forward,WBAFC,60000
,Claudio Yacob,Midfielder,WBAFC,60000
,Angelo Ogbonna,Defender,WHUFC,60000
,Winston Reid,Defender,WHUFC,60000
151.0,Jeffrey Schlupp,Defender,CP,56000
152.0,Mohamed Elneny,Midfielder,AFC,55000
,Olivier Giroud,Forward,AFC,55000
,Luka Milivojevic,Midfielder,CP,55000
,Bakary Sako,Midfielder,CP,55000
,Andros Townsend,Forward,CP,55000
,Patrick Van Aanholt,Defender,CP,55000
,Ragnar Klavan,Defender,LFC,55000
,Fraser Forster,Goalkeeper,SFC,55000
,Jay Rodriguez,Forward,SFC,55000
,Dele Alli,Midfielder,THFC,55000
,Mousa Dembele,Midfielder,THFC,55000
163.0,Libor Kozak,Forward,AVFC,53365
164.0,Brad Guzan,Goalkeeper,AVFC,51407
165.0,Hector Bellerin,Defender,AFC,50000
,Gabriel Paulista,Defender,AFC,50000
,James McArthur,Midfielder,CP,50000
,James Tomkins,Defender,CP,50000
,Phil Jagielka,Defender,EFC,50000
,Aaron Lennon,Forward,EFC,50000
,James McCarthy,Midfielder,EFC,50000
,Christian Fuchs,Defender,LC,50000
,Nampalys Mendy,Midfielder,LC,50000
,Ron-Robert Zieler,Goalkeeper,LC,50000
,Kelechi Iheanacho,Forward,MCFC,50000
,Jordy Clasie,Midfielder,SFC,50000
,Pierre-Emile Hojbjerg,Midfielder,SFC,50000
,Joe Allen,Midfielder,SCFC,50000
,Marko Arnautovic,Midfielder,SCFC,50000
,Giannelli Imbula,Midfielder,SCFC,50000
,Jordan Ayew,Forward,SCAFC,50000
,Lukasz Fabianski,Goalkeeper,SCAFC,50000
,Mauro Zarate,Forward,WAT,50000
,Aaron Cresswell,Defender,WHUFC,50000
,Mark Noble,Midfielder,WHUFC,50000
,Pedro Obiang,Midfielder,WHUFC,50000
187.0,Ross Barkley,Midfielder,EFC,48000
,Bojan Krkic,Midfielder,SCFC,48000
189.0,Kieran Gibbs,Defender,AFC,46000
,Jake Livermore,Midfielder,WBAFC,46000
