Rank,Name,Position,Team,Weekly Salary
1.0,Kevin De Bruyne,Midfielder,MCFC,400000
2.0,Erling Haaland,Forward,MCFC,375000
,David De Gea,Goalkeeper,MUFC,375000
4.0,Mohamed Salah,Forward,LFC,350000
,Jadon Sancho,Forward,MUFC,350000
6.0,Raphael Varane,Defender,MUFC,340000
7.0,Raheem Sterling,Midfielder,CFC,325000
8.0,Jack Grealish,Midfielder,MCFC,300000
,Carlos Casimiro,Midfielder,MUFC,300000
10.0,Kalidou Koulibaly,Defender,CFC,295000
11.0,N'Golo Kante,Midfielder,CFC,290000
12.0,Gabriel Jesus,Forward,AFC,265000
13.0,Reece James,Defender,CFC,250000
,John Stones,Defender,MCFC,250000
,Anthony Martial,Forward,MUFC,250000
16.0,Bruno Fernandes,Midfielder,MUFC,240000
17.0,Phil Foden,Midfielder,MCFC,225000
18.0,Virgil Van Dijk,Defender,LFC,220000
,Rodrigo Hernandez Cascante,Midfielder,MCFC,220000
20.0,Thomas Partey,Midfielder,AFC,200000
,Wesley Fofana,Defender,CFC,200000
,Thiago Alcantara do Nascimento,Midfielder,LFC,200000
,Antony dos Santo,Forward,MUFC,200000
,Marcus Rashford,Forward,MUFC,200000
,Jesse Lingard,Midfielder,NFFC,200000
,Harry Kane,Forward,THFC,200000
27.0,Heung-Min Son,Forward,THFC,192000
28.0,Ben Chilwell,Defender,CFC,190000
29.0,Harry Maguire,Defender,MUFC,189904
30.0,Cesar Azpilicueta,Defender,CFC,180000
,Trent Alexander-Arnold,Defender,LFC,180000
,Roberto Firmino,Forward,LFC,180000
,Fabinho Tavares,Midfielder,LFC,180000
,Manuel Akanji,Defender,MCFC,180000
,Ruben Dias,Defender,MCFC,180000
36.0,Ivan Perisic,Midfielder,THFC,178269
37.0,Marc Cucurella,Midfielder,CFC,175000
38.0,Cristian Romero,Defender,THFC,165000
39.0,Lucas Digne,Defender,AVFC,163462
40.0,Pierre-Emerick Aubameyang,Forward,CFC,160000
,Riyad Mahrez,Midfielder,MCFC,160000
,Kyle Walker,Defender,MCFC,160000
43.0,Enzo Fernandez,Midfielder,CFC,157500
44.0,Oleksandr Zinchenko,Midfielder,AFC,150000
,Boubacar Kamara,Midfielder,AVFC,150000
,Kepa Arrizabalaga,Goalkeeper,CFC,150000
,Kai Havertz,Midfielder,CFC,150000
,Christian Pulisic,Forward,CFC,150000
,Alisson Becker,Goalkeeper,LFC,150000
,Kalvin Phillips,Midfielder,MCFC,150000
,Bernardo Silva,Midfielder,MCFC,150000
,Christian Eriksen,Midfielder,MUFC,150000
,Luke Shaw,Defender,MUFC,150000
,Lucas Paqueta,Midfielder,WHUFC,150000
55.0,Clement Lenglet,Defender,THFC,145000
56.0,Jamie Vardy,Forward,LC,140000
,Jordan Henderson,Midfielder,LFC,140000
,Diogo Jota,Forward,LFC,140000
,Darwin Nunez,Forward,LFC,140000
,Ilkay Gundogan,Midfielder,MCFC,140000
61.0,Wilfried Zaha,Forward,CP,130000
62.0,Philippe Coutinho,Midfielder,AVFC,125000
,Danny Ings,Forward,WHUFC,125000
64.0,Ben White,Defender,AFC,120000
,Granit Xhaka,Midfielder,AFC,120000
,Emiliano Martinez,Goalkeeper,AVFC,120000
,Ruben Loftus-Cheek,Midfielder,CFC,120000
,Abdoulaye Doucoure,Midfielder,EFC,120000
,Alex Iwobi,Forward,EFC,120000
,Yerry Mina,Defender,EFC,120000
,Naby Keita,Midfielder,LFC,120000
,Alex Oxlade-Chamberlain,Midfielder,LFC,120000
,Aymeric Laporte,Defender,MCFC,120000
,Frederico de Paula Santos,Midfielder,MUFC,120000
,Victor Lindelof,Defender,MUFC,120000
,Lisandro Martinez,Defender,MUFC,120000
,Donny van de Beek,Midfielder,MUFC,120000
,Bruno Guimaraes,Midfielder,NUFC,120000
,Alexander Isak,Forward,NUFC,120000
,Alphonse Areola,Goalkeeper,WHUFC,120000
,Kurt Zouma,Defender,WHUFC,120000
82.0,Martin Oedegaard,Midfielder,AFC,115000
83.0,Jorge Luiz Frello Filho,Midfielder,AFC,110000
,Kieran Tierney,Defender,AFC,110000
,Joao Felix,Forward,CFC,110000
,Thiago Silva,Defender,CFC,110000
,James Maddison,Midfielder,LC,110000
,Arthur Melo,Midfielder,LFC,110000
,Dejan Kulusevski,Forward,THFC,110000
90.0,Pierre-Emile Hojbjerg,Midfielder,THFC,101923
91.0,Edward Nketiah,Forward,AFC,100000
,Leon Bailey,Forward,AVFC,100000
,Diego Carlos,Defender,AVFC,100000
,Carney Chukwuemeka,Midfielder,CFC,100000
,David Fofana,Forward,CFC,100000
,Mateo Kovacic,Midfielder,CFC,100000
,Hakim Ziyech,Midfielder,CFC,100000
,Dominic Calvert-Lewin,Forward,EFC,100000
,Amadou Onana,Midfielder,EFC,100000
,Jordan Pickford,Goalkeeper,EFC,100000
,James Tarkowski,Defender,EFC,100000
,Rodrigo Machado,Forward,LUFC,100000
,Jonny Evans,Defender,LC,100000
,Joel Matip,Defender,LFC,100000
,Andrew Robertson,Defender,LFC,100000
,Ederson Moraes,Goalkeeper,MCFC,100000
,Dean Henderson,Goalkeeper,MUFC,100000
,Matt Targett,Defender,NUFC,100000
,Kieran Trippier,Defender,NUFC,100000
,James Ward-Prowse,Midfielder,SFC,100000
,Hugo Lloris,Goalkeeper,THFC,100000
,Raul Jimenez,Forward,WWFC,100000
,Jose Moutinho,Midfielder,WWFC,100000
114.0,Emerson Palmieri,Defender,WHUFC,95000
115.0,Odsonne Edouard,Forward,CP,94808
116.0,Nathan Ake,Defender,MCFC,92308
117.0,Adam Lallana,Midfielder,BHA,90385
118.0,Gabriel Martinelli,Forward,AFC,90000
,Leander Dendoncker,Midfielder,AVFC,90000
,Denis Zakaria,Midfielder,CFC,90000
,Bernd Leno,Goalkeeper,FFC,90000
,Benjamin Mendy,Defender,MCFC,90000
,Aaron Wan-Bissaka,Defender,MUFC,90000
,Sven Botman,Defender,NUFC,90000
,Richarlison de Andrade,Forward,THFC,90000
,Lucas Moura,Forward,THFC,90000
,Gianluca Scamacca,Forward,WHUFC,90000
,Goncalo Guedes,Forward,WWFC,90000
,Pablo Sarabia,Forward,WWFC,90000
130.0,Layvin Kurzawa,Defender,FFC,89231
131.0,Joelinton Cassio Apolinario de Lira,Forward,NUFC,86538
132.0,Joe Gomez,Defender,LFC,85000
,Eric Dier,Midfielder,THFC,85000
,Michail Antonio,Midfielder,WHUFC,85000
,Matheus Nunes,Midfielder,WWFC,85000
136.0,Nathaniel Clyne,Defender,CP,80769
137.0,Jordan Zemura,Defender,BOU,80000
,Robin Olsen,Goalkeeper,AVFC,80000
,Matty Cash,Defender,AVFC,80000
,Tyrone Mings,Defender,AVFC,80000
,Mason Mount,Midfielder,CFC,80000
,Idrissa Gueye,Midfielder,EFC,80000
,Michael Keane,Defender,EFC,80000
,Aleksandar Mitrovic,Forward,FFC,80000
,Ryan Bertrand,Defender,LC,80000
,Kelechi Iheanacho,Forward,LC,80000
,Ricardo Pereira,Defender,LC,80000
,Boubakary Soumare,Midfielder,LC,80000
,Joe Willock,Midfielder,NUFC,80000
,Chris Wood,Forward,NUFC,80000
,Felipe Augusto de Almeida,Defender,NFFC,80000
,Morgan Gibbs-White,Midfielder,NFFC,80000
,Ben Davies,Defender,THFC,80000
,Moussa Sissoko,Midfielder,WAT,80000
,Thilo Kehrer,Defender,WHUFC,80000
,Nelson Semedo,Defender,WWFC,80000
157.0,Joachim Andersen,Defender,CP,79423
158.0,Vicente Guaita,Goalkeeper,CP,77000
159.0,Ben Godfrey,Defender,EFC,76923
160.0,Cedric Soares,Defender,AFC,75000
,Emiliano Buendia,Forward,AVFC,75000
,Douglas Luiz,Midfielder,AVFC,75000
,Ollie Watkins,Forward,AVFC,75000
,Lewis Dunk,Defender,BHA,75000
,Luka Milivojevic,Midfielder,CP,75000
,Patson Daka,Forward,LC,75000
,Onyinye Ndidi,Midfielder,LC,75000
,Dennis Praet,Midfielder,LC,75000
,Mason Greenwood,Forward,MUFC,75000
,Phil Jones,Defender,MUFC,75000
,Tyrell Malacia,Defender,MUFC,75000
,Jonjo Shelvey,Midfielder,NFFC,75000
,Theo Walcott,Forward,SFC,75000
,Rodrigo Bentancur,Midfielder,THFC,75000
,Fraser Forster,Goalkeeper,THFC,75000
176.0,Bukayo Saka,Forward,AFC,70000
,Jacob Ramsey,Midfielder,AVFC,70000
,Mason Holgate,Defender,EFC,70000
,Issa Diop,Defender,FFC,70000
,Patrick Bamford,Forward,LUFC,70000
,Jannik Vestergaard,Defender,LC,70000
,Ibrahima Konate,Defender,LFC,70000
,Joe Aribo,Midfielder,SFC,70000
,Manuel Lanzini,Midfielder,WHUFC,70000
,Angelo Ogbonna,Defender,WHUFC,70000
186.0,Pablo Fornals,Midfielder,WHUFC,67308
,Tomas Soucek,Midfielder,WHUFC,67308
188.0,Luis Sinisterra,Forward,LUFC,65000
,Timothy Castagne,Defender,LC,65000
,Brandon Williams,Defender,MUFC,65000
,Keylor Navas,Goalkeeper,NFFC,65000
,Stuart Armstrong,Midfielder,SFC,65000
,Moussa Djenepo,Forward,SFC,65000
,Davinson Sanchez,Defender,THFC,65000
,Maxwel Cornet,Defender,WHUFC,65000
,Lukasz Fabianski,Goalkeeper,WHUFC,65000
197.0,Nathaniel Phillips,Defender,LFC,64615
198.0,Ismaila Sarr,Forward,WAT,63000
199.0,Renan Lodi,Defender,NFFC,62308
200.0,Aaron Ramsdale,Goalkeeper,AFC,61923
201.0,Pascal Gross,Midfielder,BHA,60000
,Cheick Doucoure,Midfielder,CP,60000
,Junior Firpo,Defender,LUFC,60000
,Cody Gakpo,Forward,LFC,60000
,James Milner,Midfielder,LFC,60000
,Scott McTominay,Midfielder,MUFC,60000
,Nick Pope,Goalkeeper,NUFC,60000
,Danny Rose,Defender,WAT,60000
,Jared Bowen,Forward,WHUFC,60000
,Declan Rice,Midfielder,WHUFC,60000
,Daniel Podence,Forward,WWFC,60000
212.0,Vitaliy Mykolenko,Defender,EFC,58000
,Adrian San Miguel del Castillo,Goalkeeper,LFC,58000
214.0,Ryan Sessegnon,Midfielder,THFC,57692
215.0,Luis Diaz,Forward,LFC,56000
216.0,Takehiro Tomiyasu,Defender,AFC,55962
217.0,David Brooks,Midfielder,BOU,55000
,Jefferson Lerma,Midfielder,BOU,55000
,Ben Mee,Defender,BFC,55000
,Adam Webster,Defender,BHA,55000
,Danny Welbeck,Forward,BHA,55000
,Edouard Mendy,Goalkeeper,CFC,55000
,James McArthur,Midfielder,CP,55000
,Chris Richards,Defender,CP,55000
,Jairo Riedewald,Midfielder,CP,55000
,Seamus Coleman,Defender,EFC,55000
,Tyler Adams,Midfielder,LUFC,55000
,Nampalys Mendy,Midfielder,LC,55000
,Stefan Ortega,Goalkeeper,MCFC,55000
,Marcel Sabitzer,Midfielder,MUFC,55000
,Emil Krafth,Defender,NUFC,55000
,Yves Bissouma,Midfielder,THFC,55000
,Said Benrahma,Forward,WHUFC,55000
,Conor Coady,Defender,WWFC,55000
,Adama Traore,Forward,WWFC,55000
,Boubacar Traore,Midfielder,WWFC,55000
237.0,Albert Sambi Lokonga,Midfielder,AFC,51923
238.0,Pervis Estupinan,Defender,BHA,51154
239.0,Kenny Tete,Defender,FFC,50962
240.0,Marc Guehi,Defender,CP,50192
241.0,Norberto Murara,Goalkeeper,BOU,50000
,Marcos Senesi,Defender,BOU,50000
,Dominic Solanke,Forward,BOU,50000
,Mohamed Elneny,Midfielder,AFC,50000
,Gabriel Magalhaes,Defender,AFC,50000
,Calum Chambers,Defender,AVFC,50000
,John McGinn,Midfielder,AVFC,50000
,Alexis Mac Allister,Midfielder,BHA,50000
,Trevoh Chalobah,Defender,CFC,50000
,Conor Gallagher,Midfielder,CFC,50000
,Noni Madueke,Forward,CFC,50000
,Mykhailo Mudryk,Forward,CFC,50000
,Jean-Philippe Mateta,Forward,CP,50000
,Jeffrey Schlupp,Defender,CP,50000
,James Tomkins,Defender,CP,50000
,Neal Maupay,Forward,EFC,50000
,Joao Palhinha,Midfielder,FFC,50000
,Andreas Pereira,Midfielder,FFC,50000
,Jack Harrison,Forward,LUFC,50000
,Wout Faes,Defender,LC,50000
,Konstantinos Tsimikas,Defender,LFC,50000
,Julian Alvarez,Forward,MCFC,50000
,Sergio Gomez,Defender,MCFC,50000
,Sean Longstaff,Midfielder,NUFC,50000
,Taiwo Awoniyi,Forward,NFFC,50000
,Neco Williams,Defender,NFFC,50000
,Nayef Aguerd,Defender,WHUFC,50000
,Aaron Cresswell,Defender,WHUFC,50000
,Diego Costa,Forward,WWFC,50000
,Pedro Neto,Forward,WWFC,50000
,Ruben Neves,Midfielder,WWFC,50000
272.0,Michael Olise,Midfielder,CP,47500
273.0,Callum Wilson,Forward,NUFC,46154
274.0,Fabio Vieira,Midfielder,AFC,45385
275.0,Leandro Trossard,Forward,AFC,45000
,Bryan Mbeumo,Midfielder,BFC,45000
,Benoit Badiashile,Defender,CFC,45000
,Asmir Begovic,Goalkeeper,EFC,45000
,Matt Ritchie,Defender,NUFC,45000
,Cheikhou Kouyate,Midfielder,NFFC,45000
,Moussa Niakhate,Defender,NFFC,45000
,Craig Dawson,Defender,WWFC,45000
,Mario Lemina,Midfielder,WWFC,45000
284.0,Pedro Porro,Defender,THFC,42500
285.0,Miguel Almiron,Midfielder,NUFC,42327
286.0,Tom Heaton,Goalkeeper,MUFC,41923
287.0,Ryan Fraser,Forward,NUFC,41800
288.0,Emerson Royal,Defender,THFC,41731
289.0,Tosin Adarabioyo,Defender,FFC,40577
290.0,Philip Billing,Midfielder,BOU,40000
,Lewis Cook,Midfielder,BOU,40000
,Rob Holding,Defender,AFC,40000
,William Saliba,Defender,AFC,40000
,Emile Smith Rowe,Midfielder,AFC,40000
,Shane Duffy,Defender,BHA,40000
,Solly March,Midfielder,BHA,40000
,Ashley Barnes,Forward,BFC,40000
,Josh Brownhill,Midfielder,BFC,40000
,Armando Broja,Forward,CFC,40000
,Sam Johnstone,Goalkeeper,CP,40000
,Tyrick Mitchell,Defender,CP,40000
,Andros Townsend,Midfielder,EFC,40000
,Willian da Silva,Midfielder,FFC,40000
,Carlos Vinicius,Forward,FFC,40000
,Stefan Bajcetic,Midfielder,LFC,40000
,Fabio Carvalho,Forward,LFC,40000
,Harvey Elliott,Midfielder,LFC,40000
,Jamaal Lascelles,Defender,NUFC,40000
,Fabian Schar,Defender,NUFC,40000
,Ben Gibson,Defender,NCFC,40000
,Willy Boly,Defender,NFFC,40000
,Emmanuel Dennis,Forward,NFFC,40000
,Remo Freuler,Midfielder,NFFC,40000
,Bryan Gil,Forward,THFC,40000
,Oliver Skipp,Midfielder,THFC,40000
316.0,Joel Veltman,Defender,BHA,38462
,Jamal Lewis,Defender,NUFC,38462
,Allan Saint-Maximin,Forward,NUFC,38462
319.0,Jack Cork,Midfielder,BFC,38000
,Martin Dubravka,Goalkeeper,NUFC,38000
321.0,Bobby Reid,Midfielder,FFC,37500
322.0,Jonny Castro,Defender,WWFC,36673
,Jonny Otto,Defender,WWFC,36673
324.0,Steve Cook,Defender,NFFC,35192
325.0,Ryan Fredericks,Defender,BOU,35000
,Chris Mepham,Defender,BOU,35000
,Dango Ouattara,Forward,BOU,35000
,Adam Smith,Defender,BOU,35000
,Junior Stanislas,Forward,BOU,35000
,Ainsley Maitland-Niles,Midfielder,AFC,35000
,Matt Turner,Goalkeeper,AFC,35000
,Alex Moreno,Defender,AVFC,35000
,Kristoffer Ajer,Defender,BFC,35000
