Name,Team,Age,Position,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,Rating
Joe Gomez,Liverpool,26,Defender,7,590,0.4285714285714285,0.5714285714285714,0.8571428571428571,0.2857142857142857,4.0,0.5714285714285714,0.2857142857142857,6.480000000000001
James Milner,Liverpool,37,Midfielder,26,1062,1.0,0.5384615384615384,0.7307692307692307,0.0384615384615384,0.5384615384615384,0.8461538461538461,0.1153846153846153,6.478076923076923
Emil Krafth,Newcastle,29,Defender,16,1290,1.1875,0.9375,0.75,0.4375,2.875,0.8125,0.5625,6.471875
David de Gea,Man Utd,32,Goalkeeper,26,2296,0.0,0.0,0.0,0.0,0.5384615384615384,0.0,0.0,6.471538461538462
Cengiz Under,Leicester,26,Midfielder,9,275,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,6.468888888888889
Patrick van Aanholt,Crystal Palace,33,Defender,22,1776,1.5909090909090908,1.3636363636363635,0.5,0.0454545454545454,1.4545454545454546,1.0909090909090908,0.2727272727272727,6.468181818181819
Max Lowe,Sheff Utd,26,Defender,8,552,3.25,0.625,1.25,0.125,0.75,1.5,0.5,6.467499999999999
Ashley Barnes,Burnley,33,Forward,22,1337,0.5454545454545454,0.2272727272727272,2.090909090909091,0.0454545454545454,0.5,0.4545454545454545,0.0909090909090909,6.466818181818181
Jonny Otto,Wolves,29,Defender,7,501,1.5714285714285714,1.2857142857142858,1.0,0.2857142857142857,1.0,1.0,0.2857142857142857,6.461428571428572
Tom Davies,Everton,25,Midfielder,25,1426,1.24,1.36,1.04,0.0,0.8,0.92,0.36,6.459200000000001
Andre Gomes,Everton,30,Midfielder,28,1568,1.25,0.3571428571428571,1.25,0.0,0.3571428571428571,1.4642857142857142,0.0357142857142857,6.457142857142857
Vicente Guaita,Crystal Palace,36,Goalkeeper,37,3330,0.027027027027027,0.027027027027027,0.0,0.0,0.8918918918918919,0.0,0.0,6.455405405405405
Ruben Vinagre,Wolves,24,Defender,2,172,3.5,1.0,1.0,0.0,2.0,0.5,0.0,6.455
Adam Lallana,Brighton,35,Midfielder,30,1592,0.9333333333333332,0.5,0.6,0.0,0.4,1.0333333333333334,0.1,6.454666666666668
Virgil van Dijk,Liverpool,32,Defender,5,371,0.6,1.0,0.8,1.2,1.6,0.0,0.2,6.45
Moussa Sissoko,Tottenham,34,Midfielder,25,1577,0.88,0.92,0.88,0.0,0.88,0.48,0.16,6.444800000000002
Willian Jose,Wolves,31,Forward,17,1114,0.1176470588235294,0.0588235294117647,0.4705882352941176,0.0,0.7058823529411765,0.1764705882352941,0.0588235294117647,6.444117647058825
Ainsley Maitland-Niles,Arsenal,26,Midfielder,11,486,1.0,1.2727272727272727,0.5454545454545454,0.0909090909090909,0.5454545454545454,0.3636363636363636,0.1818181818181818,6.44
Marcal,Wolves,34,Defender,13,622,1.0,0.9230769230769232,0.9230769230769232,0.0769230769230769,1.4615384615384617,0.3846153846153846,0.1538461538461538,6.438461538461539
Alexis Mac Allister,Brighton,24,Midfielder,21,1117,1.238095238095238,0.4285714285714285,0.9047619047619048,0.0,0.0952380952380952,1.2857142857142858,0.1904761904761904,6.438095238095237
Erik Pieters,Burnley,35,Defender,20,1262,1.5,0.6,1.3,0.25,1.35,1.0,0.45,6.437
Ryan Fredericks,West Ham,30,Defender,14,567,0.6428571428571429,0.7857142857142857,0.7857142857142857,0.1428571428571428,1.3571428571428572,0.2857142857142857,0.1428571428571428,6.436428571428571
Daniel Jebbison,Sheff Utd,20,Forward,4,284,1.5,0.25,1.5,0.0,0.0,1.0,0.25,6.432499999999999
John Ruddy,Wolves,36,Goalkeeper,2,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.43
Tyler Roberts,Leeds,24,Forward,27,1341,0.5555555555555556,0.3333333333333333,0.8518518518518519,0.0,0.4074074074074074,0.6296296296296297,0.074074074074074,6.42925925925926
Sander Berge,Sheff Utd,25,Midfielder,15,1120,1.0666666666666669,0.2666666666666666,0.9333333333333332,0.1333333333333333,1.2,0.5333333333333333,0.1333333333333333,6.425333333333333
Mohamed Elneny,Arsenal,31,Midfielder,23,1542,0.6086956521739131,1.0434782608695652,0.4347826086956521,0.0,0.8695652173913043,0.9130434782608696,0.1739130434782608,6.425217391304348
Takumi Minamino,Southampton,28,Midfielder,10,717,0.7,0.4,0.7,0.0,0.9,1.7,0.1,6.42
Theo Corbeanu,Wolves,21,Forward,1,8,2.0,1.0,0.0,0.0,0.0,0.0,0.0,6.42
Ryan Bertrand,Southampton,34,Defender,29,2599,2.0689655172413794,1.0344827586206895,1.0,0.2413793103448276,1.2758620689655171,0.6206896551724138,0.0344827586206896,6.414827586206895
Dennis Praet,Leicester,29,Midfielder,15,724,0.9333333333333332,0.4666666666666667,0.8,0.0,0.2,0.6,0.1333333333333333,6.414666666666666
Steven Alzate,Brighton,24,Midfielder,15,898,1.1333333333333333,0.5333333333333333,1.3333333333333333,0.0,0.6,0.6,0.0666666666666666,6.412
Bernard,Everton,30,Midfielder,12,450,0.6666666666666666,0.6666666666666666,0.5,0.0,0.4166666666666667,0.6666666666666666,0.0,6.41
Grady Diangana,WBA,25,Midfielder,20,1239,1.75,0.8,0.55,0.0,0.35,1.2,0.1,6.406499999999999
Callum Robinson,WBA,28,Forward,28,1567,0.25,0.25,0.1071428571428571,0.0,0.2857142857142857,0.5714285714285714,0.0,6.406071428571428
Manuel Lanzini,West Ham,30,Midfielder,17,560,0.5294117647058824,0.4117647058823529,0.4117647058823529,0.0,0.2941176470588235,0.4117647058823529,0.0,6.405882352941177
Eric Bailly,Man Utd,29,Defender,12,915,0.4166666666666667,1.0833333333333333,0.8333333333333334,0.3333333333333333,3.0,0.0833333333333333,0.9166666666666666,6.405833333333334
Daniel Amartey,Leicester,28,Defender,13,722,0.8461538461538461,0.9230769230769232,0.2307692307692307,0.3076923076923077,1.8461538461538465,0.3076923076923077,0.3076923076923077,6.401538461538461
Takumi Minamino,Liverpool,28,Midfielder,9,289,0.4444444444444444,0.2222222222222222,0.4444444444444444,0.0,0.3333333333333333,1.3333333333333333,0.0,6.401111111111111
Ben Osborn,Sheff Utd,29,Midfielder,24,1606,1.375,0.5,0.4166666666666667,0.0,0.5416666666666666,1.125,0.125,6.399583333333333
Semi Ajayi,WBA,29,Defender,33,2780,1.2121212121212122,1.2727272727272727,0.8484848484848485,0.3939393939393939,3.575757575757576,0.5454545454545454,0.9696969696969696,6.397272727272727
Sam Field,WBA,25,Midfielder,3,62,1.6666666666666667,0.6666666666666666,0.6666666666666666,0.0,1.0,0.0,0.3333333333333333,6.396666666666667
Tim Ream,Fulham,35,Defender,7,630,1.7142857142857142,0.8571428571428571,0.4285714285714285,0.1428571428571428,3.2857142857142856,0.4285714285714285,0.7142857142857143,6.395714285714285
Percy Tau,Brighton,29,Forward,3,102,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,6.3933333333333335
Xherdan Shaqiri,Liverpool,31,Midfielder,14,553,0.5,0.1428571428571428,0.7857142857142857,0.0,0.0,0.3571428571428571,0.0,6.392142857142858
Joe Bryan,Fulham,29,Defender,16,666,0.9375,0.875,0.625,0.125,0.6875,0.3125,0.125,6.390625
Phil Bardsley,Burnley,38,Defender,4,273,1.5,1.5,2.0,0.25,3.0,0.75,0.25,6.390000000000001
Josh Maja,Fulham,24,Forward,15,810,0.4666666666666667,0.2666666666666666,0.5333333333333333,0.0,0.0666666666666666,0.4,0.0666666666666666,6.39
Fabian Schar,Newcastle,31,Defender,18,1247,0.7222222222222222,1.5,1.2222222222222223,0.2777777777777778,2.833333333333333,0.6666666666666666,0.6666666666666666,6.389444444444445
Enda Stevens,Sheff Utd,33,Defender,30,2700,1.9666666666666663,0.7333333333333333,1.1,0.2666666666666666,2.5,0.8333333333333334,0.4,6.387666666666664
James Tomkins,Crystal Palace,34,Defender,8,552,0.5,0.5,0.375,0.375,5.375,0.125,0.375,6.3875
Ben Johnson,West Ham,23,Defender,14,519,0.7857142857142857,0.7857142857142857,0.4285714285714285,0.0,0.4285714285714285,0.1428571428571428,0.0714285714285714,6.387142857142858
Morgan Gibbs-White,Wolves,23,Midfielder,11,412,0.8181818181818182,0.2727272727272727,0.4545454545454545,0.0,0.0909090909090909,0.6363636363636364,0.0,6.384545454545454
Ryan Fraser,Newcastle,29,Midfielder,18,927,0.2222222222222222,0.3333333333333333,0.2777777777777778,0.0,0.2777777777777778,0.1666666666666666,0.0,6.382777777777778
Javier Manquillo,Newcastle,29,Defender,13,826,1.8461538461538465,0.6923076923076923,0.5384615384615384,0.0769230769230769,1.0769230769230769,0.4615384615384615,0.0769230769230769,6.373846153846153
Carlos Vinicius,Tottenham,28,Forward,9,306,0.3333333333333333,0.2222222222222222,1.2222222222222223,0.0,0.5555555555555556,0.0,0.0,6.371111111111111
Filip Krovinovic,WBA,28,Midfielder,11,545,1.181818181818182,0.3636363636363636,0.4545454545454545,0.0,0.1818181818181818,1.0909090909090908,0.0,6.370909090909092
Harry Winks,Tottenham,27,Midfielder,15,861,1.0666666666666669,0.7333333333333333,0.7333333333333333,0.0,0.7333333333333333,1.0,0.2666666666666666,6.369333333333333
Moussa Djenepo,Southampton,25,Midfielder,27,1240,1.9259259259259256,0.3703703703703703,1.0740740740740742,0.0,0.4444444444444444,1.2962962962962965,0.074074074074074,6.365555555555557
Nampalys Mendy,Leicester,31,Midfielder,23,1458,1.1304347826086956,0.6086956521739131,0.9130434782608696,0.0,0.3043478260869565,0.5652173913043478,0.0434782608695652,6.364347826086955
Matej Vydra,Burnley,31,Forward,28,1368,0.3214285714285714,0.2142857142857142,0.2142857142857142,0.0,0.1785714285714285,0.25,0.0357142857142857,6.363928571428572
Sean Longstaff,Newcastle,25,Midfielder,22,1406,1.4090909090909092,0.8636363636363636,1.0,0.0,0.5909090909090909,1.0909090909090908,0.2272727272727272,6.361363636363635
Erik Lamela,Tottenham,31,Midfielder,23,708,0.7391304347826086,0.2608695652173913,1.0434782608695652,0.0,0.0434782608695652,0.5652173913043478,0.0434782608695652,6.360434782608697
Keinan Davis,Aston Villa,25,Forward,15,266,0.1333333333333333,0.0,0.2666666666666666,0.0,0.1333333333333333,0.0666666666666666,0.0,6.3580000000000005
Ki-Jana Hoever,Wolves,21,Defender,12,574,1.1666666666666667,0.75,0.3333333333333333,0.0833333333333333,1.8333333333333333,1.0,0.0,6.3566666666666665
Jack O'Connell,Sheff Utd,29,Defender,2,180,1.5,1.0,0.0,0.5,3.5,0.5,1.5,6.355
George Baldock,Sheff Utd,30,Defender,32,2789,1.46875,0.78125,1.4375,0.125,1.9375,0.90625,0.21875,6.354062500000001
DeAndre Yedlin,Newcastle,30,Defender,6,437,1.5,1.1666666666666667,0.6666666666666666,0.0,2.333333333333333,1.0,0.1666666666666666,6.353333333333333
Owen Otasowie,Wolves,22,Midfielder,6,187,0.8333333333333334,0.5,0.5,0.0,0.6666666666666666,0.1666666666666666,0.1666666666666666,6.3500000000000005
Donny van de Beek,Man Utd,26,Midfielder,19,515,0.7894736842105263,0.3157894736842105,0.2631578947368421,0.0,0.3157894736842105,0.4210526315789473,0.0526315789473684,6.348947368421053
Matt Phillips,WBA,32,Midfielder,33,1829,0.4545454545454545,0.303030303030303,0.8787878787878788,0.0,0.7575757575757576,0.4848484848484848,0.1212121212121212,6.344848484848486
Ross Barkley,Chelsea,29,Midfielder,2,40,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.34
Jairo Riedewald,Crystal Palace,26,Midfielder,33,1819,1.0303030303030305,0.8787878787878788,0.6363636363636364,0.0,0.696969696969697,0.6060606060606061,0.2121212121212121,6.338181818181818
Jamal Lewis,Newcastle,25,Defender,24,1833,1.5416666666666667,0.4583333333333333,0.75,0.4583333333333333,1.5,0.9166666666666666,0.2916666666666667,6.3375
Nathaniel Clyne,Crystal Palace,32,Defender,13,1147,1.3076923076923077,1.3846153846153846,0.3076923076923077,0.1538461538461538,1.6153846153846154,0.5384615384615384,0.1538461538461538,6.334615384615384
Jeff Hendrick,Newcastle,31,Midfielder,22,1423,0.3636363636363636,0.8636363636363636,0.6818181818181818,0.0,0.5909090909090909,0.5454545454545454,0.4090909090909091,6.330000000000001
Eddie Nketiah,Arsenal,24,Forward,17,415,0.1764705882352941,0.0,0.5882352941176471,0.0,0.2941176470588235,0.1176470588235294,0.0,6.329411764705882
Michy Batshuayi,Crystal Palace,29,Forward,18,724,0.2777777777777778,0.1666666666666666,0.6666666666666666,0.0,0.2777777777777778,0.4444444444444444,0.0555555555555555,6.324444444444443
Helder Costa,Leeds,29,Forward,22,1158,1.1363636363636365,0.1363636363636363,0.9090909090909092,0.0454545454545454,0.2272727272727272,0.9545454545454546,0.0,6.319545454545456
Billy Gilmour,Chelsea,22,Midfielder,5,260,0.8,0.6,0.4,0.0,0.2,1.0,0.4,6.318
Kevin Long,Burnley,33,Defender,8,636,1.375,0.75,0.875,0.75,3.0,0.25,0.875,6.317500000000001
Andy Carroll,Newcastle,34,Forward,18,384,0.1666666666666666,0.0,0.6666666666666666,0.0,0.7777777777777778,0.3888888888888889,0.0,6.313333333333333
Fabio Silva,Wolves,21,Forward,32,1357,0.1875,0.125,0.625,0.0,0.15625,0.25,0.03125,6.3046875
Anthony Gordon,Everton,22,Forward,3,88,1.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,6.293333333333333
James McCarthy,Crystal Palace,32,Midfielder,16,824,1.0625,0.5,0.375,0.125,0.6875,0.8125,0.4375,6.2925
Kieran Gibbs,WBA,33,Defender,10,811,1.5,1.6,0.6,0.1,2.7,0.2,0.6,6.291999999999999
Matty Longstaff,Newcastle,23,Midfielder,5,377,0.6,1.4,0.6,0.2,0.4,1.2,0.0,6.288
Jean-Philippe Mateta,Crystal Palace,26,Forward,7,217,0.1428571428571428,0.0,0.4285714285714285,0.0,0.2857142857142857,0.2857142857142857,0.0,6.2871428571428565
Fabian Delph,Everton,33,Midfielder,8,261,0.625,0.5,0.375,0.0,0.875,0.25,0.0,6.286250000000001
Jakub Moder,Brighton,24,Midfielder,12,648,1.25,0.25,1.0,0.0,0.5833333333333334,1.0833333333333333,0.0833333333333333,6.283333333333334
Dale Stephens,Burnley,34,Midfielder,7,259,1.5714285714285714,1.1428571428571428,1.1428571428571428,0.0,0.1428571428571428,0.4285714285714285,0.0,6.282857142857144
Aaron Connolly,Brighton,23,Forward,17,793,0.3529411764705882,0.0,0.3529411764705882,0.0,0.0588235294117647,0.1176470588235294,0.0,6.280588235294117
Sead Kolasinac,Arsenal,30,Defender,1,90,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.28
Jay Rodriguez,Burnley,34,Forward,31,1256,0.8064516129032258,0.064516129032258,1.0,0.0,0.1935483870967742,0.4838709677419355,0.1290322580645161,6.269354838709679
Alireza Jahanbakhsh,Brighton,30,Forward,21,525,0.4285714285714285,0.3809523809523809,0.3333333333333333,0.0,0.0476190476190476,0.4761904761904761,0.0,6.263333333333334
Axel Tuanzebe,Man Utd,25,Defender,9,402,1.4444444444444444,0.3333333333333333,0.6666666666666666,0.1111111111111111,1.6666666666666667,0.1111111111111111,0.5555555555555556,6.2588888888888885
Sidnei Tavares,Leicester,21,Midfielder,2,85,0.5,0.0,0.5,0.0,0.0,0.0,0.5,6.255
Oliver Burke,Sheff Utd,26,Forward,25,1273,0.64,0.08,0.92,0.0,0.16,0.76,0.0,6.2524
Jack Butland,Crystal Palace,30,Goalkeeper,1,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25
Joe Willock,Arsenal,24,Midfielder,7,235,0.8571428571428571,0.4285714285714285,0.8571428571428571,0.0,0.0,0.5714285714285714,0.1428571428571428,6.25
Pablo Hernandez,Leeds,38,Forward,16,419,0.3125,0.0,0.0625,0.0,0.0,0.6875,0.0,6.246875000000001
Nathan Tella,Southampton,24,Midfielder,18,742,0.4444444444444444,0.1666666666666666,0.8888888888888888,0.0,0.1111111111111111,0.5,0.0,6.246666666666666
Vitinha,Wolves,23,Midfielder,19,513,0.3684210526315789,0.1578947368421052,0.4210526315789473,0.0,0.0526315789473684,0.2631578947368421,0.0,6.233684210526316
Davy Propper,Brighton,31,Midfielder,7,211,0.8571428571428571,0.1428571428571428,0.1428571428571428,0.0,0.0,0.4285714285714285,0.0,6.231428571428571
Niall Huggins,Leeds,22,Defender,1,37,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.23
Ruben Loftus-Cheek,Chelsea,27,Midfielder,1,61,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.23
John Lundstram,Sheff Utd,29,Midfielder,28,2032,0.8928571428571429,0.5,0.8571428571428571,0.0714285714285714,0.8214285714285714,1.2142857142857142,0.2857142857142857,6.227142857142857
Ian Poveda,Leeds,23,Forward,14,345,0.3571428571428571,0.0714285714285714,0.3571428571428571,0.0,0.1428571428571428,0.4285714285714285,0.0714285714285714,6.2250000000000005
Niels Nkounkou,Everton,22,Defender,2,81,2.0,0.0,0.5,0.0,2.0,2.5,0.0,6.225
Carney Chukwuemeka,Aston Villa,19,Midfielder,2,18,1.0,0.0,1.0,0.0,0.0,1.0,0.0,6.220000000000001
Maxime Le Marchand,Fulham,33,Defender,2,122,1.0,0.0,1.5,1.5,1.5,0.0,0.0,6.220000000000001
Ibrahima Diallo,Southampton,24,Midfielder,22,1012,1.318181818181818,0.4545454545454545,1.0,0.0454545454545454,0.5454545454545454,0.3181818181818182,0.0454545454545454,6.216818181818183
Rekeem Harper,WBA,23,Midfielder,2,30,0.0,0.5,0.5,0.0,0.0,0.0,0.0,6.215
Branislav Ivanovic,WBA,39,Defender,13,767,1.0769230769230769,0.6153846153846154,0.8461538461538461,0.5384615384615384,1.9230769230769231,0.4615384615384615,0.3846153846153846,6.21076923076923
Brandon Williams,Man Utd,22,Defender,4,187,0.0,0.25,0.5,0.25,1.0,0.25,0.0,6.21
Lee Peltier,WBA,36,Defender,4,229,2.25,0.25,1.0,0.0,2.75,0.0,0.25,6.21
Will Smallbone,Southampton,23,Midfielder,3,173,2.0,0.6666666666666666,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,6.21
Dwight Gayle,Newcastle,33,Forward,18,506,0.1111111111111111,0.0555555555555555,0.3333333333333333,0.0,0.1111111111111111,0.3888888888888889,0.0555555555555555,6.207222222222222
Andrii Yarmolenko,West Ham,33,Forward,15,363,0.3333333333333333,0.0666666666666666,0.5333333333333333,0.0,0.0666666666666666,0.4,0.0,6.205333333333333
Morgan Sanson,Aston Villa,29,Midfielder,9,291,0.7777777777777778,0.4444444444444444,0.6666666666666666,0.0,0.1111111111111111,0.3333333333333333,0.0,6.204444444444444
Reiss Nelson,Arsenal,23,Forward,2,70,0.5,0.5,1.0,0.0,0.5,0.0,0.0,6.2
Billy Sharp,Sheff Utd,37,Forward,16,730,0.3125,0.0,0.875,0.0,0.125,0.4375,0.0,6.199375
Jacob Ramsey,Aston Villa,22,Midfielder,22,619,0.4545454545454545,0.1818181818181818,0.5909090909090909,0.0,0.2272727272727272,0.4545454545454545,0.2727272727272727,6.197272727272726
Antwoine Hackford,Sheff Utd,19,Forward,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.19
Divock Origi,Liverpool,28,Forward,9,182,0.3333333333333333,0.1111111111111111,0.0,0.0,0.2222222222222222,0.2222222222222222,0.1111111111111111,6.19
Hamza Choudhury,Leicester,25,Midfielder,10,314,0.8,0.4,0.6,0.0,0.7,0.6,0.1,6.188
Kamil Grosicki,WBA,35,Midfielder,3,149,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,2.0,0.0,6.186666666666667
Alex Oxlade Chamberlain,Liverpool,30,Midfielder,13,246,0.3076923076923077,0.1538461538461538,0.2307692307692307,0.0,0.0,0.1538461538461538,0.0,6.183846153846155
Jamie Shackleton,Leeds,23,Midfielder,13,456,0.7692307692307693,0.6923076923076923,0.2307692307692307,0.0,0.1538461538461538,0.5384615384615384,0.0769230769230769,6.176153846153846
Mark Noble,West Ham,36,Midfielder,21,707,0.3809523809523809,0.6190476190476191,0.4285714285714285,0.0,0.1428571428571428,0.4761904761904761,0.1428571428571428,6.173809523809524
Shkodran Mustafi,Arsenal,31,Defender,3,45,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,6.173333333333333
Rhian Brewster,Sheff Utd,23,Forward,27,1125,0.2962962962962963,0.1851851851851851,0.6666666666666666,0.0,0.1481481481481481,0.4444444444444444,0.074074074074074,6.171481481481481
Kepa,Chelsea,28,Goalkeeper,7,585,0.0,0.0,0.0,0.0,0.5714285714285714,0.1428571428571428,0.0,6.171428571428572
Demarai Gray,Leicester,27,Forward,1,18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.17
