No,Player,Team,Apps,Min,G,NPG,A,xG,NPxG,xA,xGChain,xGBuildup,xG90,NPxG90,xA90,xG90+xA90,NPxG90+xA90,xGChain90,xGBuildup90
6894,Mohamed Elyounoussi,Southampton,30,2048,4,4,2,6.58,6.58,2.23,8.98,2.94,0.29,0.29,0.1,0.39,0.39,0.39,0.13
8150,Anthony Gordon,Everton,35,2288,4,4,2,3.46,3.46,3.78,7.97,3.01,0.14,0.14,0.15,0.28,0.28,0.31,0.12
8864,Matthew Cash,Aston Villa,38,3386,4,4,3,2.48,2.48,2.9,11.01,7.56,0.07,0.07,0.08,0.14,0.14,0.29,0.2
8992,Hakim Ziyech,Chelsea,23,1304,4,4,3,3.04,3.04,3.93,10.71,5.66,0.21,0.21,0.27,0.48,0.48,0.74,0.39
9680,Vitaly Janelt,Brentford,31,2328,4,4,0,2.99,2.99,1.82,7.37,3.24,0.12,0.12,0.07,0.19,0.19,0.29,0.13
10408,Luis Diaz,Liverpool,13,962,4,4,3,4.28,4.28,2.18,8.96,3.45,0.4,0.4,0.2,0.6,0.6,0.84,0.32
332,Joel Matip,Liverpool,31,2790,3,3,3,2.72,2.72,2.08,15.5,13.81,0.09,0.09,0.07,0.15,0.15,0.5,0.45
484,Divock Origi,Liverpool,7,104,3,3,0,1.68,1.68,0.0,1.52,0.39,1.45,1.45,0.0,1.45,1.45,1.32,0.34
672,Jordan Ayew,Crystal Palace,31,2036,3,3,3,4.29,4.29,3.04,9.34,3.07,0.19,0.19,0.13,0.32,0.32,0.41,0.14
675,Jack Grealish,Manchester City,26,1929,3,3,3,5.53,5.53,5.46,18.4,9.63,0.26,0.26,0.25,0.51,0.51,0.86,0.45
775,Andros Townsend,Everton,21,1463,3,2,2,2.26,1.5,2.85,5.32,2.76,0.14,0.09,0.18,0.31,0.27,0.33,0.17
782,Ben Chilwell,Chelsea,7,541,3,3,1,1.3,1.3,0.83,4.46,3.41,0.22,0.22,0.14,0.35,0.35,0.74,0.57
833,Virgil van Dijk,Liverpool,34,3060,3,3,1,2.17,2.17,1.56,16.27,16.19,0.06,0.06,0.05,0.11,0.11,0.48,0.48
1078,Sergi Canos,Brentford,31,2128,3,3,2,3.49,3.49,2.17,6.96,2.18,0.15,0.15,0.09,0.24,0.24,0.29,0.09
1653,Michael Keane,Everton,32,2799,3,3,2,1.2,1.2,1.34,3.25,2.65,0.04,0.04,0.04,0.08,0.08,0.1,0.09
1654,Ben Mee,Burnley,21,1839,3,3,0,2.56,2.56,1.27,2.57,2.48,0.13,0.13,0.06,0.19,0.19,0.13,0.12
1688,Andrew Robertson,Liverpool,29,2550,3,3,10,2.27,2.27,6.2,18.62,14.28,0.08,0.08,0.22,0.3,0.3,0.66,0.5
1801,Pontus Jansson,Brentford,37,3325,3,3,1,4.59,4.59,0.56,5.39,3.89,0.12,0.12,0.02,0.14,0.14,0.15,0.11
1822,Antonio Rudiger,Chelsea,34,3036,3,3,0,2.68,2.68,0.74,17.81,17.01,0.08,0.08,0.02,0.1,0.1,0.53,0.5
2163,Diego Llorente,Leeds,28,2351,3,3,0,1.98,1.98,0.05,2.18,2.18,0.08,0.08,0.0,0.08,0.08,0.08,0.08
3288,Thiago Silva,Chelsea,32,2638,3,3,0,1.07,1.07,0.25,18.05,17.85,0.04,0.04,0.01,0.05,0.05,0.62,0.61
5247,Naby Keita,Liverpool,23,1181,3,3,1,2.14,2.14,1.81,7.79,5.4,0.16,0.16,0.14,0.3,0.3,0.59,0.41
6345,Jadon Sancho,Manchester United,29,1891,3,3,3,4.23,4.23,4.08,12.36,5.44,0.2,0.2,0.19,0.4,0.4,0.59,0.26
6615,Trevoh Chalobah,Chelsea,20,1459,3,3,1,1.18,1.18,0.27,7.68,7.43,0.07,0.07,0.02,0.09,0.09,0.47,0.46
7083,Christian Noergaard,Brentford,35,3068,3,3,4,4.97,4.97,4.05,13.35,7.9,0.15,0.15,0.12,0.26,0.26,0.39,0.23
7723,John McGinn,Aston Villa,35,3099,3,3,4,1.83,1.83,5.36,12.84,8.2,0.05,0.05,0.16,0.21,0.21,0.37,0.24
8239,Takumi Minamino,Liverpool,11,162,3,3,0,1.76,1.76,0.56,2.64,0.31,0.98,0.98,0.31,1.29,1.29,1.47,0.17
8272,Joao Pedro,Watford,28,1619,3,3,1,4.45,4.45,2.1,9.26,4.32,0.25,0.25,0.12,0.36,0.36,0.51,0.24
8300,Steven Bergwijn,Tottenham,25,518,3,3,1,3.34,3.34,0.89,4.81,0.88,0.58,0.58,0.16,0.73,0.73,0.84,0.15
9679,Rico Henry,Brentford,34,2796,3,3,0,1.9,1.9,1.87,9.13,6.3,0.06,0.06,0.06,0.12,0.12,0.29,0.2
76,Fabian Schar,Newcastle United,25,2167,2,2,2,0.84,0.84,1.48,3.37,2.83,0.03,0.03,0.06,0.1,0.1,0.14,0.12
239,Pascal Gross,Brighton,29,2044,2,2,4,2.87,2.1,5.79,9.95,5.55,0.13,0.09,0.25,0.38,0.35,0.44,0.24
343,Pierre-Emile Hoejbjerg,Tottenham,36,3202,2,2,2,2.64,2.64,2.54,24.11,20.08,0.07,0.07,0.07,0.15,0.15,0.68,0.56
500,Alex Iwobi,Everton,28,2041,2,2,2,2.4,2.4,3.07,9.43,5.09,0.11,0.11,0.14,0.24,0.24,0.42,0.22
534,Aaron Cresswell,West Ham,31,2734,2,2,3,0.91,0.91,3.67,10.54,9.62,0.03,0.03,0.12,0.15,0.15,0.35,0.32
558,Jesse Lingard,Manchester United,16,338,2,2,0,0.77,0.77,0.46,1.54,0.41,0.21,0.21,0.12,0.33,0.33,0.41,0.11
579,Nathan Ake,Manchester City,14,920,2,2,0,1.3,1.3,0.62,4.63,4.63,0.13,0.13,0.06,0.19,0.19,0.45,0.45
593,Aaron Lennon,Burnley,28,1538,2,2,0,1.04,1.04,0.43,3.16,1.98,0.06,0.06,0.02,0.09,0.09,0.19,0.12
605,Jordan Henderson,Liverpool,35,2616,2,2,5,1.37,1.37,4.2,18.98,15.45,0.05,0.05,0.14,0.19,0.19,0.65,0.53
614,Fernandinho,Manchester City,19,943,2,2,1,1.61,1.61,1.34,6.32,5.78,0.15,0.15,0.13,0.28,0.28,0.6,0.55
652,Kieran Trippier,Newcastle United,6,434,2,2,0,0.23,0.23,0.24,0.97,0.95,0.05,0.05,0.05,0.1,0.1,0.2,0.2
751,N'Golo Kante,Chelsea,26,1787,2,2,4,1.76,1.76,2.2,12.66,8.98,0.09,0.09,0.11,0.2,0.2,0.64,0.45
769,Jonjo Shelvey,Newcastle United,24,1987,2,2,1,0.88,0.88,1.06,3.95,2.92,0.04,0.04,0.05,0.09,0.09,0.18,0.13
770,Ayoze Perez,Leicester,14,443,2,2,3,2.06,2.06,1.23,2.99,0.64,0.42,0.42,0.25,0.67,0.67,0.61,0.13
772,Moussa Sissoko,Watford,36,3222,2,2,1,4.18,4.18,2.61,8.57,3.92,0.12,0.12,0.07,0.19,0.19,0.24,0.11
804,Craig Dawson,West Ham,34,2760,2,2,2,2.94,2.94,1.04,5.02,4.92,0.1,0.1,0.03,0.13,0.13,0.16,0.16
822,Patrick Bamford,Leeds,9,558,2,2,2,3.0,3.0,1.03,3.72,0.42,0.48,0.48,0.17,0.65,0.65,0.6,0.07
842,Oriol Romeu,Southampton,36,2905,2,2,2,1.5,1.5,3.04,10.69,8.41,0.05,0.05,0.09,0.14,0.14,0.33,0.26
844,Jay Rodriguez,Burnley,29,1356,2,2,2,4.86,4.86,1.9,5.37,1.04,0.32,0.32,0.13,0.45,0.45,0.36,0.07
966,Alex Oxlade-Chamberlain,Liverpool,17,783,2,2,1,1.18,1.18,1.27,5.64,3.54,0.14,0.14,0.15,0.28,0.28,0.65,0.41
985,Mason Holgate,Everton,25,2137,2,2,1,1.66,1.66,0.1,1.57,1.52,0.07,0.07,0.0,0.07,0.07,0.07,0.06
1017,Matej Vydra,Burnley,22,634,2,2,3,1.97,1.97,0.75,2.73,0.26,0.28,0.28,0.11,0.39,0.39,0.39,0.04
1683,Ryan Fraser,Newcastle United,27,1476,2,2,3,2.87,2.87,2.15,6.58,2.69,0.17,0.17,0.13,0.31,0.31,0.4,0.16
1726,Abdoulaye Doucoure,Everton,30,2540,2,2,4,2.65,2.65,2.42,8.23,3.84,0.09,0.09,0.09,0.18,0.18,0.29,0.14
1791,Trent Alexander-Arnold,Liverpool,32,2856,2,2,12,2.19,2.19,12.69,21.09,11.99,0.07,0.07,0.4,0.47,0.47,0.66,0.38
2254,Mateo Kovacic,Chelsea,25,1541,2,2,5,1.69,1.69,4.12,12.85,9.87,0.1,0.1,0.24,0.34,0.34,0.75,0.58
2280,Jonny,Wolverhampton Wanderers,13,1020,2,2,0,0.87,0.87,1.13,3.15,1.74,0.08,0.08,0.1,0.18,0.18,0.28,0.15
2328,Thomas Partey,Arsenal,24,2045,2,2,1,3.02,3.02,0.87,9.64,8.37,0.13,0.13,0.04,0.17,0.17,0.42,0.37
3293,Lucas Moura,Tottenham,34,1770,2,2,6,3.36,3.36,5.32,13.47,6.77,0.17,0.17,0.27,0.44,0.44,0.68,0.34
3294,Edinson Cavani,Manchester United,15,745,2,2,1,3.73,3.73,1.25,4.9,0.64,0.45,0.45,0.15,0.6,0.6,0.59,0.08
3422,Joao Moutinho,Wolverhampton Wanderers,35,2987,2,2,1,1.12,1.12,2.77,10.47,8.53,0.03,0.03,0.08,0.12,0.12,0.32,0.26
3491,Romain Saiss,Wolverhampton Wanderers,31,2721,2,2,0,3.2,3.2,0.32,5.64,5.43,0.11,0.11,0.01,0.12,0.12,0.19,0.18
4419,Adam Armstrong,Southampton,23,1412,2,2,2,4.24,4.24,1.62,6.22,0.79,0.27,0.27,0.1,0.37,0.37,0.4,0.05
6122,Douglas Luiz,Aston Villa,34,2733,2,2,3,2.22,2.22,2.44,10.23,8.44,0.07,0.07,0.08,0.15,0.15,0.34,0.28
6249,Davinson Sanchez,Tottenham,23,1618,2,2,0,2.0,2.0,0.29,7.71,7.48,0.11,0.11,0.02,0.13,0.13,0.43,0.42
6441,Ferran Torres,Manchester City,4,308,2,2,1,2.51,2.51,0.02,2.43,1.18,0.73,0.73,0.01,0.74,0.74,0.71,0.34
6630,Joe Willock,Newcastle United,29,2063,2,2,0,3.68,3.68,1.13,7.5,3.56,0.16,0.16,0.05,0.21,0.21,0.33,0.16
6852,Matt Doherty,Tottenham,15,864,2,2,4,3.09,3.09,2.03,7.88,4.26,0.32,0.32,0.21,0.53,0.53,0.82,0.44
6893,Stuart Armstrong,Southampton,25,1456,2,2,0,2.76,2.76,1.62,6.54,3.46,0.17,0.17,0.1,0.27,0.27,0.4,0.21
7052,Wout Weghorst,Burnley,20,1459,2,2,3,5.4,5.4,1.85,6.14,1.18,0.33,0.33,0.11,0.45,0.45,0.38,0.07
7187,Sergio Reguilon,Tottenham,25,1929,2,2,3,2.97,2.97,3.53,9.46,4.92,0.14,0.14,0.16,0.3,0.3,0.44,0.23
7236,Leander Dendoncker,Wolverhampton Wanderers,30,1941,2,2,2,2.45,2.45,0.97,5.35,3.24,0.11,0.11,0.04,0.16,0.16,0.25,0.15
7295,Joshua Sargent,Norwich,26,1578,2,2,1,2.07,2.07,0.54,2.82,0.57,0.12,0.12,0.03,0.15,0.15,0.16,0.03
7603,Marc Guehi,Crystal Palace,36,3227,2,2,1,2.49,2.49,1.2,7.82,7.78,0.07,0.07,0.03,0.1,0.1,0.22,0.22
7699,Adam Webster,Brighton,22,1419,2,2,0,1.49,1.49,0.04,3.17,3.15,0.09,0.09,0.0,0.1,0.1,0.2,0.2
7726,Ezri Konsa Ngoyo,Aston Villa,29,2494,2,2,0,1.21,1.21,0.27,4.54,4.29,0.04,0.04,0.01,0.05,0.05,0.16,0.15
8291,Daniel Podence,Wolverhampton Wanderers,26,1491,2,2,3,2.0,2.0,4.25,6.18,1.55,0.12,0.12,0.26,0.38,0.38,0.37,0.09
8323,Josh Brownhill,Burnley,35,2953,2,2,3,1.2,1.2,2.35,5.99,4.41,0.04,0.04,0.07,0.11,0.11,0.18,0.13
8716,Luke Ayling,Leeds,26,2276,2,2,2,1.04,1.04,2.36,5.34,4.75,0.04,0.04,0.09,0.13,0.13,0.21,0.19
