No,Player,Team,Apps,Min,G,NPG,A,xG,NPxG,xA,xGChain,xGBuildup,xG90,NPxG90,xA90,xG90+xA90,NPxG90+xA90,xGChain90,xGBuildup90
647,Harry Kane,Tottenham,38,3382,25,20,1,22.73,18.93,3.09,26.94,8.19,0.6,0.5,0.08,0.69,0.59,0.72,0.22
619,Sergio Aguero,Manchester City,30,2399,24,20,2,20.08,16.27,2.03,18.79,3.93,0.75,0.61,0.08,0.83,0.69,0.7,0.15
755,Jamie Vardy,Leicester,36,3154,24,19,6,22.14,17.57,6.27,24.6,2.89,0.63,0.5,0.18,0.81,0.68,0.7,0.08
594,Romelu Lukaku,Everton,37,3194,18,17,6,20.06,18.54,5.68,24.02,7.63,0.57,0.52,0.16,0.73,0.68,0.68,0.22
750,Riyad Mahrez,Leicester,37,3087,17,13,11,11.88,7.32,11.45,21.19,7.17,0.35,0.21,0.33,0.68,0.55,0.62,0.21
502,Olivier Giroud,Arsenal,38,2411,16,15,6,14.5,13.74,5.76,18.89,6.92,0.54,0.51,0.22,0.76,0.73,0.7,0.26
573,Odion Ighalo,Watford,37,3160,15,15,3,16.09,16.09,2.23,18.0,2.76,0.46,0.46,0.06,0.52,0.52,0.51,0.08
735,Jermain Defoe,Sunderland,33,2558,15,14,1,11.71,10.95,1.1,12.26,1.33,0.41,0.39,0.04,0.45,0.42,0.43,0.05
498,Alexis Sanchez,Arsenal,30,2463,13,13,4,13.1,13.1,8.55,27.02,11.86,0.48,0.48,0.31,0.79,0.79,0.99,0.43
574,Troy Deeney,Watford,38,3291,13,7,7,12.2,6.87,7.92,15.78,3.99,0.33,0.19,0.22,0.55,0.4,0.43,0.11
713,Andre Ayew,Swansea,34,2967,12,12,2,8.46,8.46,2.34,12.22,3.83,0.26,0.26,0.07,0.33,0.33,0.37,0.12
802,Diego Costa,Chelsea,28,2386,12,12,6,12.08,12.08,2.89,18.07,5.29,0.46,0.46,0.11,0.56,0.56,0.68,0.2
553,Anthony Martial,Manchester United,31,2632,11,11,4,7.27,7.27,6.17,15.58,5.89,0.25,0.25,0.21,0.46,0.46,0.53,0.2
714,Gylfi Sigurdsson,Swansea,36,2921,11,8,3,7.71,5.43,5.43,10.77,4.88,0.24,0.17,0.17,0.4,0.33,0.33,0.15
771,Georginio Wijnaldum,Newcastle United,38,3178,11,10,5,7.93,7.17,3.82,14.64,5.73,0.22,0.2,0.11,0.33,0.31,0.41,0.16
838,Sadio Mane,Southampton,37,2614,11,11,6,12.51,11.75,5.14,17.63,5.37,0.43,0.4,0.18,0.61,0.58,0.61,0.19
841,Graziano Pelle,Southampton,30,2167,11,11,6,7.35,7.35,3.99,13.01,3.89,0.31,0.31,0.17,0.47,0.47,0.54,0.16
865,Marko Arnautovic,Stoke,34,2836,11,8,6,12.06,9.78,6.12,18.74,6.82,0.38,0.31,0.19,0.58,0.5,0.59,0.22
482,Roberto Firmino,Liverpool,31,2005,10,10,7,7.13,7.13,5.4,16.4,6.83,0.32,0.32,0.24,0.56,0.56,0.74,0.31
645,Dele Alli,Tottenham,33,2490,10,10,9,8.32,8.32,6.8,18.7,6.46,0.3,0.3,0.25,0.55,0.55,0.68,0.23
839,Shane Long,Southampton,28,2114,10,10,4,10.62,10.62,2.71,13.09,3.42,0.45,0.45,0.12,0.57,0.57,0.56,0.15
536,Dimitri Payet,West Ham,30,2576,9,9,12,5.75,5.75,11.67,16.93,6.89,0.2,0.2,0.41,0.61,0.61,0.59,0.24
