No,Player,Team,Apps,Min,G,NPG,A,xG,NPxG,xA,xGChain,xGBuildup,xG90,NPxG90,xA90,xG90+xA90,NPxG90+xA90,xGChain90,xGBuildup90
619,Sergio Aguero,Manchester City,33,2551,26,21,8,25.27,20.7,5.57,27.81,6.88,0.89,0.73,0.2,1.09,0.93,0.98,0.24
647,Harry Kane,Tottenham,34,2589,21,19,4,17.16,14.87,3.92,16.49,5.55,0.6,0.52,0.14,0.73,0.65,0.57,0.19
802,Diego Costa,Chelsea,26,2111,20,19,3,15.22,14.46,4.55,21.37,5.28,0.65,0.62,0.19,0.84,0.81,0.91,0.22
848,Charlie Austin,Queens Park Rangers,35,3078,18,15,5,17.88,14.08,2.55,13.72,3.04,0.52,0.41,0.07,0.6,0.49,0.4,0.09
498,Alexis Sanchez,Arsenal,35,2967,16,16,8,13.45,12.69,8.49,27.16,10.74,0.41,0.38,0.26,0.67,0.64,0.82,0.33
502,Olivier Giroud,Arsenal,27,1871,14,14,3,8.85,8.85,3.86,13.64,4.13,0.43,0.43,0.19,0.61,0.61,0.66,0.2
701,Eden Hazard,Chelsea,38,3389,14,11,9,12.02,8.97,11.24,31.84,19.48,0.32,0.24,0.3,0.62,0.54,0.85,0.52
811,Saido Berahino,West Bromwich Albion,38,2940,14,10,1,13.84,10.8,1.96,11.91,2.44,0.42,0.33,0.06,0.48,0.39,0.36,0.07
606,Christian Benteke,Aston Villa,29,2380,13,12,2,8.46,7.69,2.92,8.73,2.2,0.32,0.29,0.11,0.43,0.4,0.33,0.08
617,David Silva,Manchester City,32,2682,12,12,7,9.1,9.1,10.39,29.14,16.63,0.31,0.31,0.35,0.65,0.65,0.98,0.56
629,Wayne Rooney,Manchester United,33,2887,12,11,5,8.9,7.38,3.98,15.44,7.3,0.28,0.23,0.12,0.4,0.35,0.48,0.23
841,Graziano Pelle,Southampton,38,3291,12,12,2,18.62,18.62,4.48,24.79,5.6,0.51,0.51,0.12,0.63,0.63,0.68,0.15
622,Wilfried Bony,Manchester City,30,1604,11,10,3,10.45,9.69,3.51,14.25,4.41,0.59,0.54,0.2,0.78,0.74,0.8,0.25
648,Nacer Chadli,Tottenham,35,2423,11,11,5,6.87,6.87,3.94,15.64,8.63,0.26,0.26,0.15,0.4,0.4,0.58,0.32
756,Leonardo Ulloa,Leicester,37,2434,11,9,3,8.92,7.4,3.79,9.96,2.51,0.33,0.27,0.14,0.47,0.41,0.37,0.09
850,Papiss Demba Cisse,Newcastle United,22,1137,11,10,1,8.96,8.2,0.33,7.44,0.62,0.71,0.65,0.03,0.74,0.68,0.59,0.05
868,Mame Biram Diouf,Stoke,34,2451,11,11,3,11.65,11.65,3.47,13.6,0.86,0.43,0.43,0.13,0.55,0.55,0.5,0.03
986,Danny Ings,Burnley,35,3048,11,10,4,12.29,11.53,4.24,16.56,2.83,0.36,0.34,0.13,0.49,0.47,0.49,0.08
594,Romelu Lukaku,Everton,36,2880,10,8,5,12.43,10.91,2.35,15.74,5.08,0.39,0.34,0.07,0.46,0.41,0.49,0.16
646,Christian Eriksen,Tottenham,38,3160,10,10,2,7.39,7.39,6.09,21.32,13.02,0.21,0.21,0.17,0.38,0.38,0.61,0.37
656,Diafra Sakho,West Ham,23,1765,10,10,2,9.07,9.07,2.62,9.08,0.91,0.46,0.46,0.13,0.6,0.6,0.46,0.05
838,Sadio Mane,Southampton,30,2142,10,10,3,8.55,8.55,3.98,14.57,4.03,0.36,0.36,0.17,0.53,0.53,0.61,0.17
878,Yaya Toure,Manchester City,29,2358,10,8,1,7.11,5.59,3.24,26.02,20.9,0.27,0.21,0.12,0.4,0.34,0.99,0.8
4387,Robin van Persie,Manchester United,27,2126,10,9,2,11.6,10.08,2.99,12.92,1.69,0.49,0.43,0.13,0.62,0.55,0.55,0.07
554,Juan Mata,Manchester United,33,2318,9,8,4,6.6,5.84,4.97,14.52,7.05,0.26,0.23,0.19,0.45,0.42,0.56,0.27
4408,Steven Gerrard,Liverpool,28,2239,9,5,1,7.11,3.3,3.21,8.18,5.59,0.29,0.13,0.13,0.41,0.26,0.33,0.22
723,Ki Sung-yueng,Swansea,33,2692,8,8,1,4.33,4.33,1.26,11.96,9.0,0.14,0.14,0.04,0.19,0.19,0.4,0.3
863,Jonathan Walters,Stoke,32,2439,8,8,4,5.56,5.56,3.24,9.58,2.67,0.21,0.21,0.12,0.32,0.32,0.35,0.1
872,Peter Crouch,Stoke,33,1648,8,8,2,6.73,6.73,1.88,9.37,3.59,0.37,0.37,0.1,0.47,0.47,0.51,0.2
940,Nikica Jelavic,Hull,26,1815,8,8,1,4.89,4.89,0.86,5.71,1.09,0.24,0.24,0.04,0.29,0.29,0.28,0.05
595,Kevin Mirallas,Everton,29,1430,7,7,1,4.72,3.96,1.59,6.5,2.28,0.3,0.25,0.1,0.4,0.35,0.41,0.14
618,Raheem Sterling,Liverpool,35,3059,7,7,7,8.79,8.79,6.04,18.2,5.5,0.26,0.26,0.18,0.44,0.44,0.54,0.16
690,Loic Remy,Chelsea,21,839,7,7,0,4.66,4.66,0.61,5.65,1.65,0.5,0.5,0.06,0.56,0.56,0.61,0.18
714,Gylfi Sigurdsson,Swansea,32,2721,7,7,10,5.18,5.18,8.45,15.55,7.12,0.17,0.17,0.28,0.45,0.45,0.51,0.24
717,Bafetimbi Gomis,Swansea,31,1619,7,7,0,7.5,7.5,0.89,7.25,1.54,0.42,0.42,0.05,0.47,0.47,0.4,0.09
770,Ayoze Perez,Newcastle United,36,2369,7,7,0,5.75,5.75,2.9,9.57,3.02,0.22,0.22,0.11,0.33,0.33,0.36,0.11
873,Charlie Adam,Stoke,29,1482,7,6,1,3.41,2.65,2.65,6.18,3.74,0.21,0.16,0.16,0.37,0.32,0.38,0.23
882,Glenn Murray,Crystal Palace,17,859,7,6,3,9.53,8.01,1.53,5.49,0.82,1.0,0.84,0.16,1.16,1.0,0.57,0.09
965,Santiago Cazorla,Arsenal,37,2999,7,1,11,10.59,6.02,9.76,24.66,16.91,0.32,0.18,0.29,0.61,0.47,0.74,0.51
504,Aaron Ramsey,Arsenal,29,2013,6,6,6,6.64,6.64,5.3,16.72,8.17,0.3,0.3,0.24,0.53,0.53,0.75,0.37
514,Jason Puncheon,Crystal Palace,37,2823,6,6,7,2.79,2.79,5.31,8.86,4.62,0.09,0.09,0.17,0.26,0.26,0.28,0.15
552,Ander Herrera,Manchester United,26,1877,6,6,4,2.04,2.04,2.12,11.65,8.67,0.1,0.1,0.1,0.2,0.2,0.56,0.42
605,Jordan Henderson,Liverpool,37,3253,6,5,9,4.29,3.53,6.79,16.31,8.8,0.12,0.1,0.19,0.31,0.29,0.45,0.24
630,Marouane Fellaini,Manchester United,27,1824,6,6,0,5.31,5.31,1.15,9.25,4.7,0.26,0.26,0.06,0.32,0.32,0.46,0.23
692,Oscar,Chelsea,28,2072,6,6,8,6.54,6.54,5.22,15.8,7.15,0.28,0.28,0.23,0.51,0.51,0.69,0.31
711,Leroy Fer,Queens Park Rangers,29,2375,6,6,2,5.12,5.12,3.59,10.68,4.39,0.19,0.19,0.14,0.33,0.33,0.4,0.17
824,Steven Naismith,Everton,31,2051,6,6,0,3.95,3.95,1.94,7.2,2.95,0.17,0.17,0.09,0.26,0.26,0.32,0.13
890,Gabriel Agbonlahor,Aston Villa,34,2698,6,6,1,5.63,5.63,1.55,8.04,1.66,0.19,0.19,0.05,0.24,0.24,0.27,0.06
1712,Stewart Downing,West Ham,37,3315,6,6,8,4.14,4.14,6.63,13.64,7.33,0.11,0.11,0.18,0.29,0.29,0.37,0.2
4418,Frank Lampard,Manchester City,32,958,6,6,1,4.0,4.0,0.95,11.04,7.29,0.38,0.38,0.09,0.47,0.47,1.04,0.69
486,Adam Lallana,Liverpool,27,1802,5,5,3,4.77,4.77,3.14,10.23,4.9,0.24,0.24,0.16,0.4,0.4,0.51,0.24
488,Philippe Coutinho,Liverpool,35,2810,5,5,5,4.38,4.38,5.53,13.68,7.0,0.14,0.14,0.18,0.32,0.32,0.44,0.22
489,James Milner,Manchester City,32,1732,5,5,7,5.72,5.72,4.97,15.7,8.75,0.3,0.3,0.26,0.56,0.56,0.82,0.45
503,Theo Walcott,Arsenal,14,427,5,5,0,5.35,5.35,0.4,5.93,0.7,1.13,1.13,0.08,1.21,1.21,1.25,0.15
515,Mile Jedinak,Crystal Palace,24,2092,5,2,3,3.9,1.62,0.99,3.54,2.99,0.17,0.07,0.04,0.21,0.11,0.15,0.13
519,Connor Wickham,Sunderland,36,2782,5,5,1,7.66,7.66,1.77,12.3,4.78,0.25,0.25,0.06,0.31,0.31,0.4,0.15
537,Andy Carroll,West Ham,14,1032,5,5,1,3.69,3.69,0.77,3.29,0.47,0.32,0.32,0.07,0.39,0.39,0.29,0.04
731,Dame N'Doye,Hull,15,1195,5,5,1,5.47,5.47,1.08,6.65,1.15,0.41,0.41,0.08,0.49,0.49,0.5,0.09
743,Dwight Gayle,Crystal Palace,25,1069,5,4,1,5.16,4.4,0.77,3.37,0.81,0.43,0.37,0.06,0.5,0.44,0.28,0.07
755,Jamie Vardy,Leicester,34,2261,5,5,8,7.85,7.85,5.18,14.47,2.14,0.31,0.31,0.21,0.52,0.52,0.58,0.09
839,Shane Long,Southampton,32,1522,5,5,5,4.04,4.04,2.74,9.55,3.29,0.24,0.24,0.16,0.4,0.4,0.56,0.19
917,John Terry,Chelsea,38,3420,5,5,0,5.22,5.22,0.4,8.55,8.17,0.14,0.14,0.01,0.15,0.15,0.22,0.21
930,Steven Fletcher,Sunderland,30,1782,5,5,2,6.64,6.64,2.05,9.39,2.31,0.34,0.34,0.1,0.44,0.44,0.47,0.12
1524,Stevan Jovetic,Manchester City,17,791,5,5,3,3.33,3.33,1.81,6.67,3.65,0.38,0.38,0.21,0.59,0.59,0.76,0.41
1656,George Boyd,Burnley,36,3035,5,5,2,3.48,3.48,3.56,9.53,3.81,0.1,0.1,0.11,0.21,0.21,0.28,0.11
1753,David Nugent,Leicester,29,1685,5,4,2,6.23,4.71,1.89,7.81,2.34,0.33,0.25,0.1,0.43,0.35,0.42,0.12
4422,Ashley Barnes,Burnley,35,2435,5,5,2,5.69,5.69,1.82,9.15,3.27,0.21,0.21,0.07,0.28,0.28,0.34,0.12
4440,Esteban Cambiasso,Leicester,31,2432,5,5,1,2.48,2.48,1.94,7.09,4.2,0.09,0.09,0.07,0.16,0.16,0.26,0.16
483,Daniel Sturridge,Liverpool,12,747,4,4,1,4.52,4.52,1.52,7.01,1.79,0.54,0.54,0.18,0.73,0.73,0.84,0.22
499,Mesut Ozil,Arsenal,22,1861,4,4,5,3.86,3.86,6.66,16.42,9.92,0.19,0.19,0.32,0.51,0.51,0.79,0.48
501,Danny Welbeck,Arsenal,27,1714,4,4,3,7.27,7.27,2.89,12.94,4.49,0.38,0.38,0.15,0.53,0.53,0.68,0.24
518,Yannick Bolasie,Crystal Palace,34,2788,4,4,6,4.84,4.84,5.13,11.89,3.09,0.16,0.16,0.17,0.32,0.32,0.38,0.1
522,Wilfried Zaha,Crystal Palace,31,1989,4,4,2,4.76,4.76,2.19,6.59,2.3,0.22,0.22,0.1,0.31,0.31,0.3,0.1
532,Cheikhou Kouyate,West Ham,31,2670,4,4,2,3.06,3.06,1.19,6.41,3.31,0.1,0.1,0.04,0.14,0.14,0.22,0.11
539,Enner Valencia,West Ham,32,2119,4,4,3,6.48,6.48,2.59,8.84,2.9,0.28,0.28,0.11,0.39,0.39,0.38,0.12
551,Morgan Schneiderlin,Southampton,26,2183,4,4,1,2.39,2.39,1.56,8.42,7.16,0.1,0.1,0.06,0.16,0.16,0.35,0.29
587,Phil Jagielka,Everton,37,3295,4,4,0,2.39,2.39,0.07,7.11,7.0,0.07,0.07,0.0,0.07,0.07,0.19,0.19
628,Chris Smalling,Manchester United,25,1881,4,4,0,1.86,1.86,0.39,4.17,4.01,0.09,0.09,0.02,0.11,0.11,0.2,0.19
634,Fraizer Campbell,Crystal Palace,20,1187,4,4,0,4.22,4.22,0.47,3.95,0.77,0.32,0.32,0.04,0.36,0.36,0.3,0.06
682,Branislav Ivanovic,Chelsea,38,3420,4,4,5,4.37,4.37,5.32,17.02,11.98,0.12,0.12,0.14,0.25,0.25,0.45,0.32
696,Falcao,Manchester United,26,1278,4,4,4,7.16,7.16,1.89,9.53,2.63,0.5,0.5,0.13,0.64,0.64,0.67,0.19
735,Jermain Defoe,Sunderland,17,1468,4,4,0,4.02,4.02,1.26,7.37,2.51,0.25,0.25,0.08,0.32,0.32,0.45,0.15
750,Riyad Mahrez,Leicester,30,2091,4,4,3,4.92,4.92,6.06,11.15,3.3,0.21,0.21,0.26,0.47,0.47,0.48,0.14
767,Jack Colback,Newcastle United,35,3130,4,4,6,2.82,2.82,2.34,7.6,4.67,0.08,0.08,0.07,0.15,0.15,0.22,0.13
772,Moussa Sissoko,Newcastle United,34,3037,4,4,2,3.95,3.95,4.65,12.27,6.72,0.12,0.12,0.14,0.26,0.26,0.36,0.2
840,Dusan Tadic,Southampton,31,2072,4,3,7,5.63,4.11,9.0,18.35,7.75,0.24,0.18,0.39,0.64,0.57,0.8,0.34
871,Bojan,Stoke,16,1236,4,3,1,2.6,1.84,1.7,3.77,1.55,0.19,0.13,0.12,0.31,0.26,0.27,0.11
929,Adam Johnson,Sunderland,32,2085,4,3,1,3.22,2.46,3.92,7.58,4.62,0.14,0.11,0.17,0.31,0.28,0.33,0.2
931,Jordi Gomez,Sunderland,29,1952,4,1,2,3.72,1.44,1.79,6.75,4.44,0.17,0.07,0.08,0.25,0.15,0.31,0.2
1008,Brown Ideye,West Bromwich Albion,24,1286,4,4,2,3.97,3.97,1.23,4.58,1.57,0.28,0.28,0.09,0.36,0.36,0.32,0.11
1253,Edin Dzeko,Manchester City,22,928,4,4,2,3.97,3.97,1.31,6.8,2.67,0.39,0.39,0.13,0.51,0.51,0.66,0.26
1698,Abel Hernandez,Hull,25,1307,4,3,1,5.41,4.65,0.85,4.14,0.83,0.37,0.32,0.06,0.43,0.38,0.29,0.06
4434,Didier Drogba,Chelsea,28,831,4,4,1,2.73,2.73,1.53,5.03,2.01,0.3,0.3,0.17,0.46,0.46,0.54,0.22
4471,Mohamed Diame,Hull,15,937,4,4,0,1.21,1.21,0.17,2.14,0.9,0.12,0.12,0.02,0.13,0.13,0.21,0.09
85,Eduardo Vargas,Queens Park Rangers,21,1389,3,3,2,3.48,3.48,1.82,6.13,2.88,0.23,0.23,0.12,0.34,0.34,0.4,0.19
154,Andre Schurrle,Chelsea,14,428,3,3,0,3.25,3.25,0.6,4.82,1.4,0.68,0.68,0.13,0.81,0.81,1.01,0.3
494,Laurent Koscielny,Arsenal,27,2289,3,3,0,1.27,1.27,0.12,3.69,3.62,0.05,0.05,0.0,0.05,0.05,0.15,0.14
541,Victor Moses,Stoke,19,1473,3,2,3,4.52,3.76,2.32,6.23,1.94,0.28,0.23,0.14,0.42,0.37,0.38,0.12
585,Seamus Coleman,Everton,35,3062,3,3,2,2.01,2.01,2.73,8.56,5.94,0.06,0.06,0.08,0.14,0.14,0.25,0.17
596,Tom Cleverley,Aston Villa,32,2633,3,3,0,1.79,1.79,1.35,5.82,4.16,0.06,0.06,0.05,0.11,0.11,0.2,0.14
614,Fernandinho,Manchester City,33,2283,3,3,3,2.41,2.41,2.7,13.15,9.67,0.09,0.09,0.11,0.2,0.2,0.52,0.38
