Rank,Name,Position,Team,Weekly Salary,year
1.0,Fernando Torres,Forward,CFC,340362,2014
2.0,Wayne Rooney,Forward,MUFC,300000,2014
3.0,Sergio Aguero,Forward,MCFC,220000,2014
,Yaya Toure,Midfielder,MCFC,220000,2014
5.0,Diego Costa,Forward,CFC,185000,2014
6.0,David Silva,Midfielder,MCFC,160000,2014
,Juan Mata,Midfielder,MUFC,160000,2014
8.0,Lukas Podolski,Forward,AFC,157769,2014
9.0,Cesc Fabregas,Midfielder,CFC,156000,2014
10.0,Andre Schurrle,Forward,CFC,152623,2014
11.0,Oscar,Midfielder,CFC,152255,2014
12.0,Eden Hazard,Midfielder,CFC,150000,2014
,Vincent Kompany,Defender,MCFC,150000,2014
,Samir Nasri,Forward,MCFC,150000,2014
15.0,Mesut Ozil,Midfielder,AFC,140000,2014
,Alexis Sanchez,Forward,AFC,140000,2014
17.0,Darren Bent,Forward,AVFC,137769,2014
18.0,Demba Ba,Forward,CFC,137276,2014
19.0,Daniel Sturridge,Forward,LFC,130000,2014
20.0,Mikel Arteta,Midfielder,AFC,125769,2014
21.0,Danny Welbeck,Forward,AFC,125000,2014
22.0,Petr Cech,Goalkeeper,CFC,120000,2014
,Thibaut Courtois,Goalkeeper,CFC,120000,2014
24.0,Joe Hart,Goalkeeper,MCFC,116000,2014
25.0,Ander Herrera,Midfielder,MUFC,115000,2014
26.0,Aaron Ramsey,Midfielder,AFC,110000,2014
,Marcos Rojo,Defender,MUFC,110000,2014
,Luke Shaw,Defender,MUFC,110000,2014
29.0,Wojciech Szczesny,Goalkeeper,AFC,100000,2014
,Theo Walcott,Forward,AFC,100000,2014
,Wilfried Bony,Forward,MCFC,100000,2014
,Fernandinho Luis Roza,Midfielder,MCFC,100000,2014
,Eliaquim Mangala,Defender,MCFC,100000,2014
,Fernando Reges,Midfielder,MCFC,100000,2014
35.0,Jack Wilshere,Midfielder,AFC,90000,2014
,Gary Cahill,Defender,CFC,90000,2014
,Nemanja Matic,Midfielder,CFC,90000,2014
,Loic Remy,Forward,CFC,90000,2014
,Andy Carroll,Forward,WHUFC,90000,2014
40.0,Willian da Silva,Midfielder,CFC,85000,2014
,Antonio Valencia,Defender,MUFC,85000,2014
42.0,Santi Cazorla,Midfielder,AFC,80000,2014
,Olivier Giroud,Forward,AFC,80000,2014
,Aaron Ramsey,Midfielder,AFC,80000,2014
,Romelu Lukaku,Forward,EFC,80000,2014
,Marouane Fellaini,Midfielder,MUFC,80000,2014
,Erik Lamela,Midfielder,THFC,80000,2014
48.0,Mohamed Salah,Forward,CFC,77306,2014
49.0,Charles  N'Zogbia,Midfielder,AVFC,76538,2014
50.0,John Mikel Obi,Midfielder,CFC,75155,2014
51.0,Mathieu Debuchy,Defender,AFC,75000,2014
,Tomas Rosicky,Midfielder,AFC,75000,2014
,Branislav Ivanovic,Defender,CFC,75000,2014
,Lucas Leiva,Midfielder,LFC,75000,2014
,Daley Blind,Defender,MUFC,75000,2014
,David De Gea,Goalkeeper,MUFC,75000,2014
57.0,Thomas Vermaelen,Defender,AFC,70047,2014
58.0,Jermain Defoe,Forward,SUFC,70000,2014
59.0,Aleksandar Kolarov,Defender,MCFC,69000,2014
60.0,Romelu Lukaku,Forward,CFC,68638,2014
61.0,Per Mertesacker,Defender,AFC,65000,2014
,Alex Oxlade-Chamberlain,Midfielder,AFC,65000,2014
,Adam Lallana,Midfielder,LFC,65000,2014
,Dejan Lovren,Defender,LFC,65000,2014
,Mame Diouf,Forward,SCFC,65000,2014
66.0,Marko Marin,Midfielder,CFC,62149,2014
67.0,Leighton Baines,Defender,EFC,60923,2014
68.0,Ramires Santos do Nascimento,Midfielder,CFC,60124,2014
69.0,Abou Diaby,Midfielder,AFC,60000,2014
,Laurent Koscielny,Defender,AFC,60000,2014
,Christian Benteke,Forward,AVFC,60000,2014
,Cesar Azpilicueta,Defender,CFC,60000,2014
,Thibaut Courtois,Goalkeeper,CFC,60000,2014
,Adnan Januzaj,Forward,MUFC,60000,2014
,Winston Reid,Defender,WHUFC,60000,2014
76.0,Oriol Romeu,Midfielder,CFC,54222,2014
77.0,Libor Kozak,Forward,AVFC,53365,2014
78.0,Philippe Coutinho,Midfielder,LFC,52500,2014
79.0,Fabian Delph,Midfielder,AVFC,51479,2014
80.0,Brad Guzan,Goalkeeper,AVFC,51407,2014
81.0,John Djourou,Defender,AFC,50034,2014
82.0,Hector Bellerin,Defender,AFC,50000,2014
,Nacho Monreal,Defender,AFC,50000,2014
,Gabriel Agbonlahor,Forward,AVFC,50000,2014
,Victor Moses,Defender,CFC,50000,2014
,Tim Krul,Goalkeeper,NUFC,50000,2014
,Harry Kane,Forward,THFC,50000,2014
,Mark Noble,Midfielder,WHUFC,50000,2014
89.0,Alan Hutton,Defender,AVFC,49038,2014
90.0,Ross Barkley,Midfielder,EFC,48000,2014
91.0,Ron Vlaar,Defender,AVFC,46410,2014
92.0,Kieran Gibbs,Defender,AFC,46000,2014
93.0,Calum Chambers,Defender,AFC,45000,2014
,Kevin Mirallas,Forward,EFC,45000,2014
,Danny Drinkwater,Midfielder,LC,45000,2014
,Emre Can,Midfielder,LFC,45000,2014
,Ryan Shawcross,Defender,SCFC,45000,2014
,Federico Fazio,Defender,THFC,45000,2014
99.0,Federico Fernandez,Defender,SCAFC,43000,2014
100.0,Andreas Andreas Weimann,Forward,AVFC,42899,2014
,Gael Kakuta,Forward,CFC,42899,2014
102.0,Kurt Zouma,Defender,CFC,42308,2014
103.0,Aiden McGeady,Forward,EFC,42000,2014
104.0,Ryan Bertrand,Defender,CFC,40083,2014
105.0,David Ospina,Goalkeeper,AFC,40000,2014
,Alberto Moreno,Defender,LFC,40000,2014
,Siem de Jong,Midfielder,NUFC,40000,2014
,Enner Valencia,Forward,WHUFC,40000,2014
109.0,Jores Okore,Defender,AVFC,39904,2014
110.0,Seamus Coleman,Defender,EFC,38000,2014
111.0,Shay Given,Goalkeeper,AVFC,37692,2014
112.0,Sung-Yeung Ki,Midfielder,SCAFC,36000,2014
,Wayne Routledge,Midfielder,SCAFC,36000,2014
114.0,Andrew Surman,Midfielder,BOU,35000,2014
,Fraizer Campbell,Forward,CP,35000,2014
,Lazar Markovic,Forward,LFC,35000,2014
,Vurnon Anita,Defender,NUFC,35000,2014
,Jack Colback,Midfielder,NUFC,35000,2014
,Yoan Gouffran,Midfielder,NUFC,35000,2014
,Emmanuel Riviere,Forward,NUFC,35000,2014
,Jack Cork,Midfielder,SCAFC,35000,2014
122.0,Stephen Ireland,Midfielder,SCFC,33000,2014
123.0,Kyle Naughton,Defender,SCAFC,32000,2014
124.0,Phil Bardsley,Defender,SCFC,31000,2014
125.0,Karim El Ahmadi,Midfielder,AVFC,30769,2014
126.0,Josh McEachran,Midfielder,CFC,30062,2014
127.0,Joel Campbell,Forward,AFC,30000,2014
,Francis Coquelin,Midfielder,AFC,30000,2014
,Carl Jenkinson,Defender,AFC,30000,2014
,Andreas Weimann,Forward,AVFC,30000,2014
,Raheem Sterling,Forward,LFC,30000,2014
,Florin Gardos,Defender,SFC,30000,2014
,Diafra Sakho,Forward,WHUFC,30000,2014
134.0,Joe Bennett,Defender,AVFC,28317,2014
135.0,Jordon Mutch,Midfielder,CP,28000,2014
,Maya Yoshida,Defender,SFC,28000,2014
,Callum McManaman,Forward,WBAFC,28000,2014
138.0,Leonardo Ulloa,Forward,LC,27000,2014
139.0,Toni Luna,Defender,AVFC,26282,2014
140.0,Ashley Westwood,Midfielder,AVFC,25739,2014
141.0,Martin Kelly,Defender,CP,25000,2014
,Joe Ledley,Midfielder,CP,25000,2014
,Chung-Yong Lee,Forward,CP,25000,2014
,Muhamed Besic,Midfielder,EFC,25000,2014
,Arouna Kone,Forward,EFC,25000,2014
,James McCarthy,Midfielder,EFC,25000,2014
,Matty James,Midfielder,LC,25000,2014
,Bruno Zuculini,Midfielder,MCFC,25000,2014
,Karl Darlow,Goalkeeper,NUFC,25000,2014
,Dele Alli,Midfielder,THFC,25000,2014
151.0,Aleksandar Tonev,Midfielder,AVFC,23558,2014
152.0,Mario Pasalic,Midfielder,CFC,23000,2014
,Brendan Galloway,Defender,EFC,23000,2014
154.0,Michael Keane,Defender,BFC,22000,2014
155.0,Joe Cole,Midfielder,AVFC,21154,2014
156.0,Leandro Bacuna,Midfielder,AVFC,20641,2014
157.0,Yacouba Sylla,Midfielder,AVFC,20144,2014
158.0,Nathan Ake,Defender,CFC,20041,2014
159.0,Serge Gnabry,Forward,AFC,20025,2014
160.0,Dan Gosling,Midfielder,BOU,20000,2014
,Chuba Akpom,Forward,AFC,20000,2014
,Yaya Sanogo,Forward,AFC,20000,2014
,George Boyd,Midfielder,BFC,20000,2014
,Lewis Baker,Midfielder,CFC,20000,2014
,Isaiah Brown,Forward,CFC,20000,2014
,Kenneth Omeruo,Defender,CFC,20000,2014
,Zeki Fryers,Defender,CP,20000,2014
,Wayne Hennessey,Goalkeeper,CP,20000,2014
,Joel Robles,Goalkeeper,EFC,20000,2014
,Andreas Pereira,Midfielder,MUFC,20000,2014
,Paul Dummett,Defender,NUFC,20000,2014
,Massadio Haidara,Defender,NUFC,20000,2014
,Asmir Begovic,Goalkeeper,SCFC,20000,2014
174.0,Ryo Miyaichi,Forward,AFC,15000,2014
,Ciaran Clark,Defender,AVFC,15000,2014
,Matthew Lowton,Defender,AVFC,15000,2014
,David Stockdale,Goalkeeper,BHA,15000,2014
,Jonny Williams,Midfielder,CP,15000,2014
,Jamaal Lascelles,Defender,NUFC,15000,2014
,Lewis Grabban,Forward,NCFC,15000,2014
,Kyle Bartley,Defender,SCAFC,15000,2014
,Juan Carlos Paredes,Defender,WAT,15000,2014
,Doneil Henry,Defender,WHUFC,15000,2014
184.0,Charlie Daniels,Defender,BOU,13000,2014
185.0,Graham Burke,Forward,AVFC,12940,2014
186.0,Samir Carruthers,Midfielder,AVFC,12330,2014
187.0,Mark Schwarzer,Goalkeeper,CFC,12025,2014
188.0,Adam Smith,Defender,BOU,12000,2014
,Ben Hamer,Goalkeeper,LC,12000,2014
,Curtis Good,Defender,NUFC,12000,2014
,Sam Gallagher,Forward,SFC,12000,2014
192.0,Artur Boruc,Goalkeeper,BOU,10000,2014
,Callum Wilson,Forward,BOU,10000,2014
,Nathan Baker,Defender,AVFC,10000,2014
,Nicklas Helenius,Forward,AVFC,10000,2014
,Matt Targett,Defender,SFC,10000,2014
197.0,Chris O'Grady,Forward,BHA,8000,2014
,Jamal Blackman,Goalkeeper,CFC,8000,2014
,Nahki Wells,Forward,HUD,8000,2014
200.0,Jed Steer,Goalkeeper,AVFC,7284,2014
201.0,Junior Stanislas,Midfielder,BOU,7000,2014
,Rohan Ince,Midfielder,BHA,7000,2014
203.0,Enda Stevens,Defender,AVFC,6609,2014
204.0,Steve Cook,Defender,BOU,6000,2014
,Gedion Zelalem,Midfielder,AFC,6000,2014
,Cristian Cuevas,Defender,CFC,6000,2014
207.0,Harry Arter,Midfielder,BOU,5000,2014
,Chris Herd,Midfielder,AVFC,5000,2014
,Nathaniel Chalobah,Midfielder,CFC,5000,2014
,Jordon Ibe,Midfielder,LFC,5000,2014
,Josh Harrop,Midfielder,MUFC,5000,2014
,Josh Sheehan,Midfielder,SCAFC,5000,2014
213.0,Krystian Bielik,Defender,AFC,4000,2014
,Christian Walton,Goalkeeper,BHA,4000,2014
,Harry Bunn,Forward,HUD,4000,2014
,Harry Wilson,Midfielder,LFC,4000,2014
,Kenji Gorre,Forward,SCAFC,4000,2014
218.0,Sullay Kaikai,Midfielder,CP,3000,2014
,Tom Lawrence,Forward,LC,3000,2014
,Freddie Woodman,Goalkeeper,NUFC,3000,2014
,Reece Burke,Defender,WHUFC,3000,2014
222.0,Connor Randall,Defender,LFC,2000,2014
,Sebastien Pocognoli,Defender,WBAFC,2000,2014
224.0,Will Wood,Defender,SFC,800,2014
225.0,Harry Cornick,Midfielder,BOU,750,2014
226.0,Lukasz Fabianski,Goalkeeper,SWFC,586,2014
1.0,Fernando Torres,Forward,CFC,340362,2015
2.0,Wayne Rooney,Forward,MUFC,300000,2015
3.0,Eden Hazard,Midfielder,CFC,225000,2015
4.0,Sergio Aguero,Forward,MCFC,220000,2015
,Yaya Toure,Midfielder,MCFC,220000,2015
6.0,David De Gea,Goalkeeper,MUFC,200000,2015
7.0,Diego Costa,Forward,CFC,185000,2015
8.0,David Silva,Midfielder,MCFC,160000,2015
,Juan Mata,Midfielder,MUFC,160000,2015
10.0,Lukas Podolski,Forward,AFC,157769,2015
11.0,Cesc Fabregas,Midfielder,CFC,156000,2015
12.0,Andre Schurrle,Forward,CFC,152623,2015
13.0,Oscar,Midfielder,CFC,152255,2015
14.0,John Terry,Defender,CFC,150000,2015
,Kevin De Bruyne,Midfielder,MCFC,150000,2015
,Vincent Kompany,Defender,MCFC,150000,2015
,Samir Nasri,Forward,MCFC,150000,2015
,Raheem Sterling,Forward,MCFC,150000,2015
19.0,Mesut Ozil,Midfielder,AFC,140000,2015
,Alexis Sanchez,Forward,AFC,140000,2015
,Theo Walcott,Forward,AFC,140000,2015
,Christian Benteke,Forward,LFC,140000,2015
,James Milner,Midfielder,LFC,140000,2015
24.0,Demba Ba,Forward,CFC,137276,2015
25.0,Daniel Sturridge,Forward,LFC,130000,2015
26.0,Danny Welbeck,Forward,AFC,125000,2015
27.0,Thibaut Courtois,Goalkeeper,CFC,120000,2015
,Nicolas Otamendi,Defender,MCFC,120000,2015
,Ashley Young,Midfielder,MUFC,120000,2015
30.0,Joe Hart,Goalkeeper,MCFC,116000,2015
31.0,Ander Herrera,Midfielder,MUFC,115000,2015
32.0,Aaron Ramsey,Midfielder,AFC,110000,2015
,Anthony Martial,Forward,MUFC,110000,2015
,Marcos Rojo,Defender,MUFC,110000,2015
,Luke Shaw,Defender,MUFC,110000,2015
36.0,Santi Cazorla,Midfielder,AFC,100000,2015
,Petr Cech,Goalkeeper,AFC,100000,2015
,Gary Cahill,Defender,CFC,100000,2015
,Pedro Rodriguez Ledesma,Midfielder,CFC,100000,2015
,Jamie Vardy,Forward,LC,100000,2015
,Roberto Firmino,Forward,LFC,100000,2015
,Jordan Henderson,Midfielder,LFC,100000,2015
,Wilfried Bony,Forward,MCFC,100000,2015
,Fernandinho Luis Roza,Midfielder,MCFC,100000,2015
,Eliaquim Mangala,Defender,MCFC,100000,2015
,Fernando Reges,Midfielder,MCFC,100000,2015
47.0,Jack Wilshere,Midfielder,AFC,90000,2015
,Nemanja Matic,Midfielder,CFC,90000,2015
,Loic Remy,Forward,CFC,90000,2015
,Andy Carroll,Forward,WHUFC,90000,2015
51.0,Baba Rahman,Defender,CFC,86000,2015
,Yohan Cabaye,Midfielder,CP,86000,2015
53.0,Willian da Silva,Midfielder,CFC,85000,2015
,Mamadou Sakho,Defender,LFC,85000,2015
,Antonio Valencia,Defender,MUFC,85000,2015
,Heung-Min Son,Forward,THFC,85000,2015
57.0,Olivier Giroud,Forward,AFC,80000,2015
,Romelu Lukaku,Forward,EFC,80000,2015
,Fabian Delph,Midfielder,MCFC,80000,2015
,Marouane Fellaini,Midfielder,MUFC,80000,2015
,Toby Alderweireld,Defender,THFC,80000,2015
,Erik Lamela,Midfielder,THFC,80000,2015
63.0,Charles  N'Zogbia,Midfielder,AVFC,76538,2015
64.0,John Mikel Obi,Midfielder,CFC,75155,2015
65.0,Mathieu Debuchy,Defender,AFC,75000,2015
,Branislav Ivanovic,Defender,CFC,75000,2015
,Danny Ings,Forward,LFC,75000,2015
,Lucas Leiva,Midfielder,LFC,75000,2015
,Daley Blind,Defender,MUFC,75000,2015
,Phil Jones,Defender,MUFC,75000,2015
71.0,Thomas Vermaelen,Defender,AFC,70047,2015
72.0,Per Mertesacker,Defender,AFC,70000,2015
,Kevin Mirallas,Forward,EFC,70000,2015
,Nathaniel Clyne,Defender,LFC,70000,2015
,Philippe Coutinho,Midfielder,LFC,70000,2015
,Chris Smalling,Defender,MUFC,70000,2015
,Jonjo Shelvey,Midfielder,NUFC,70000,2015
,Jermain Defoe,Forward,SUFC,70000,2015
,Charlie Austin,Forward,SFC,70000,2015
80.0,Aleksandar Kolarov,Defender,MCFC,69000,2015
81.0,Romelu Lukaku,Forward,CFC,68638,2015
82.0,Nacho Monreal,Defender,AFC,65000,2015
,Alex Oxlade-Chamberlain,Midfielder,AFC,65000,2015
,Adam Lallana,Midfielder,LFC,65000,2015
,Dejan Lovren,Defender,LFC,65000,2015
,Sergio Romero,Goalkeeper,MUFC,65000,2015
,Mame Diouf,Forward,SCFC,65000,2015
,Xherdan Shaqiri,Midfielder,SCFC,65000,2015
,Jonny Evans,Defender,WAT,65000,2015
90.0,Marko Marin,Midfielder,CFC,62149,2015
91.0,Leighton Baines,Defender,EFC,60923,2015
92.0,Ramires Santos do Nascimento,Midfielder,CFC,60124,2015
93.0,Laurent Koscielny,Defender,AFC,60000,2015
,Cesar Azpilicueta,Defender,CFC,60000,2015
,Asmir Begovic,Goalkeeper,CFC,60000,2015
,Thibaut Courtois,Goalkeeper,CFC,60000,2015
,Scott Dann,Defender,CP,60000,2015
,Connor Wickham,Forward,CP,60000,2015
,Gareth Barry,Midfielder,EFC,60000,2015
,Adnan Januzaj,Forward,MUFC,60000,2015
,Aleksandar Mitrovic,Forward,NUFC,60000,2015
,Jose Salomon Rondon,Forward,WBAFC,60000,2015
,Angelo Ogbonna,Defender,WHUFC,60000,2015
,Winston Reid,Defender,WHUFC,60000,2015
105.0,Bakary Sako,Midfielder,CP,55000,2015
,Oumar Niasse,Forward,EFC,55000,2015
,Jay Rodriguez,Forward,SFC,55000,2015
,Mousa Dembele,Midfielder,THFC,55000,2015
109.0,Libor Kozak,Forward,AVFC,53365,2015
110.0,Brad Guzan,Goalkeeper,AVFC,51407,2015
111.0,Hector Bellerin,Defender,AFC,50000,2015
,Victor Moses,Defender,CFC,50000,2015
,James McArthur,Midfielder,CP,50000,2015
,Tom Cleverley,Midfielder,EFC,50000,2015
,Phil Jagielka,Defender,EFC,50000,2015
,Aaron Lennon,Forward,EFC,50000,2015
,James McCarthy,Midfielder,EFC,50000,2015
,Tim Krul,Goalkeeper,NUFC,50000,2015
,Lukasz Fabianski,Goalkeeper,SWFC,50000,2015
,Jordy Clasie,Midfielder,SFC,50000,2015
,Giannelli Imbula,Midfielder,SCFC,50000,2015
,Harry Kane,Forward,THFC,50000,2015
,Mark Noble,Midfielder,WHUFC,50000,2015
,Pedro Obiang,Midfielder,WHUFC,50000,2015
125.0,Ross Barkley,Midfielder,EFC,48000,2015
,Gerard Deulofeu,Forward,EFC,48000,2015
,Bojan Krkic,Midfielder,SCFC,48000,2015
128.0,Kieran Gibbs,Defender,AFC,46000,2015
129.0,Calum Chambers,Defender,AFC,45000,2015
,Carl Jenkinson,Defender,AFC,45000,2015
,Victor Moses,Defender,CFC,45000,2015
,Danny Drinkwater,Midfielder,LC,45000,2015
,Emre Can,Midfielder,LFC,45000,2015
,Matteo Darmian,Defender,MUFC,45000,2015
,Ayoze Perez,Forward,NUFC,45000,2015
,Ryan Shawcross,Defender,SCFC,45000,2015
,Philipp Wollscheid,Defender,SCFC,45000,2015
,Federico Fazio,Defender,THFC,45000,2015
,Nordin Amrabat,Forward,WAT,45000,2015
140.0,Federico Fernandez,Defender,SCAFC,43000,2015
141.0,Andreas Andreas Weimann,Forward,AVFC,42899,2015
142.0,Kurt Zouma,Defender,CFC,42308,2015
143.0,Aiden McGeady,Forward,EFC,42000,2015
,Valon Behrami,Midfielder,WAT,42000,2015
145.0,Ryan Bertrand,Defender,CFC,40083,2015
146.0,David Ospina,Goalkeeper,AFC,40000,2015
,Ramiro Funes Mori,Defender,EFC,40000,2015
,Yohan Benalouane,Defender,LC,40000,2015
,Alberto Moreno,Defender,LFC,40000,2015
,Siem de Jong,Midfielder,NUFC,40000,2015
,Nabil Bentaleb,Midfielder,THFC,40000,2015
,Mario Suarez,Midfielder,WAT,40000,2015
,Enner Valencia,Forward,WHUFC,40000,2015
154.0,Jores Okore,Defender,AVFC,39904,2015
155.0,Seamus Coleman,Defender,EFC,38000,2015
,Robert Huth,Defender,LC,38000,2015
,Erik Pieters,Defender,SCFC,38000,2015
,Clinton Njie,Forward,THFC,38000,2015
159.0,Shay Given,Goalkeeper,AVFC,37692,2015
160.0,Sung-Yeung Ki,Midfielder,SCAFC,36000,2015
,Wayne Routledge,Midfielder,SCAFC,36000,2015
162.0,Andrew Surman,Midfielder,BOU,35000,2015
,Andreas Christensen,Defender,CFC,35000,2015
,Fraizer Campbell,Forward,CP,35000,2015
,Jason Puncheon,Midfielder,CP,35000,2015
,Wilfried Zaha,Forward,CP,35000,2015
,Shinji Okazaki,Forward,LC,35000,2015
,Lazar Markovic,Forward,LFC,35000,2015
,Vurnon Anita,Defender,NUFC,35000,2015
,Jack Colback,Midfielder,NUFC,35000,2015
,Yoan Gouffran,Midfielder,NUFC,35000,2015
,Chancel Mbemba,Defender,NUFC,35000,2015
,Emmanuel Riviere,Forward,NUFC,35000,2015
,Henri Saivet,Midfielder,NUFC,35000,2015
,Charlie Adam,Midfielder,SCFC,35000,2015
,Jack Butland,Goalkeeper,SCFC,35000,2015
,Jack Cork,Midfielder,SCAFC,35000,2015
,Kieran Trippier,Defender,THFC,35000,2015
,Etienne Capoue,Midfielder,WAT,35000,2015
,James Collins,Defender,WHUFC,35000,2015
181.0,Jon Flanagan,Defender,LFC,33000,2015
,Stephen Ireland,Midfielder,SCFC,33000,2015
,Joselu Mato,Forward,SCFC,33000,2015
,Marc Muniesa,Defender,SCFC,33000,2015
185.0,Kyle Naughton,Defender,SCAFC,32000,2015
186.0,Phil Bardsley,Defender,SCFC,31000,2015
187.0,Josh McEachran,Midfielder,CFC,30062,2015
188.0,Simon Francis,Defender,BOU,30000,2015
,Joel Campbell,Forward,AFC,30000,2015
,Francis Coquelin,Midfielder,AFC,30000,2015
,Alex Iwobi,Forward,AFC,30000,2015
,Andreas Weimann,Forward,AVFC,30000,2015
,Pape Souare,Defender,CP,30000,2015
,Adam Bogdan,Goalkeeper,LFC,30000,2015
,Simon Mignolet,Goalkeeper,LFC,30000,2015
,Florin Gardos,Defender,SFC,30000,2015
,Glen Johnson,Defender,SCFC,30000,2015
,Jordi Amat,Defender,SCAFC,30000,2015
,Jose Holebas,Defender,WAT,30000,2015
,Craig Dawson,Defender,WBAFC,30000,2015
,Sam Byram,Defender,WHUFC,30000,2015
,Cheikhou Kouyate,Midfielder,WHUFC,30000,2015
,Diafra Sakho,Forward,WHUFC,30000,2015
204.0,Lewis Grabban,Forward,BOU,29000,2015
205.0,Joe Bennett,Defender,AVFC,28317,2015
206.0,Jordon Mutch,Midfielder,CP,28000,2015
,Luke Garbutt,Defender,EFC,28000,2015
,Divock Origi,Forward,LFC,28000,2015
,Maya Yoshida,Defender,SFC,28000,2015
,Callum McManaman,Forward,WBAFC,28000,2015
211.0,Mohamed Elneny,Midfielder,AFC,27500,2015
,Muhamed Besic,Midfielder,EFC,27500,2015
213.0,Leonardo Ulloa,Forward,LC,27000,2015
214.0,Toni Luna,Defender,AVFC,26282,2015
215.0,Ashley Westwood,Midfielder,AVFC,25739,2015
216.0,Marc Pugh,Midfielder,BOU,25000,2015
,Gabriel Paulista,Defender,AFC,25000,2015
,Andre Gray,Forward,BFC,25000,2015
,Robert Kenedy,Midfielder,CFC,25000,2015
,Martin Kelly,Defender,CP,25000,2015
,Joe Ledley,Midfielder,CP,25000,2015
,Chung-Yong Lee,Forward,CP,25000,2015
,Mason Holgate,Defender,EFC,25000,2015
,Matty James,Midfielder,LC,25000,2015
,Jason Denayer,Defender,MCFC,25000,2015
,Bruno Zuculini,Midfielder,MCFC,25000,2015
,Karl Darlow,Goalkeeper,NUFC,25000,2015
,Jonathan Walters,Forward,SCFC,25000,2015
,Dele Alli,Midfielder,THFC,25000,2015
,Miguel Britos,Defender,WAT,25000,2015
,Heurelho Gomes,Goalkeeper,WAT,25000,2015
,Costel Pantilimon,Goalkeeper,WAT,25000,2015
,Michail Antonio,Midfielder,WHUFC,25000,2015
234.0,Aleksandar Tonev,Midfielder,AVFC,23558,2015
235.0,Scott Arfield,Midfielder,BFC,23000,2015
,Tomas Kalas,Defender,CFC,23000,2015
,Brendan Galloway,Defender,EFC,23000,2015
238.0,Michael Keane,Defender,BFC,22000,2015
,Dean Marney,Midfielder,BFC,22000,2015
,James Tarkowski,Defender,BFC,22000,2015
,Steven Berghuis,Forward,WAT,22000,2015
242.0,Joe Cole,Midfielder,AVFC,21154,2015
243.0,Daniel Amartey,Midfielder,LC,21000,2015
244.0,Leandro Bacuna,Midfielder,AVFC,20641,2015
245.0,Yacouba Sylla,Midfielder,AVFC,20144,2015
246.0,Nathan Ake,Defender,CFC,20041,2015
247.0,Dan Gosling,Midfielder,BOU,20000,2015
,Callum Wilson,Forward,BOU,20000,2015
,Yaya Sanogo,Forward,AFC,20000,2015
,Tomer Hemed,Forward,BHA,20000,2015
,Uwe Hunemeier,Defender,BHA,20000,2015
,Jamie Murphy,Forward,BHA,20000,2015
,Liam Rosenior,Defender,BHA,20000,2015
,Jiri Skalak,Forward,BHA,20000,2015
,George Boyd,Midfielder,BFC,20000,2015
,Lewis Baker,Midfielder,CFC,20000,2015
,Kasey Palmer,Midfielder,CFC,20000,2015
,Zeki Fryers,Defender,CP,20000,2015
,Wayne Hennessey,Goalkeeper,CP,20000,2015
,Joel Robles,Goalkeeper,EFC,20000,2015
,Sean Scannell,Forward,HUD,20000,2015
,Andreas Pereira,Midfielder,MUFC,20000,2015
,James Wilson,Forward,MUFC,20000,2015
,Sammy Ameobi,Midfielder,NUFC,20000,2015
,Paul Dummett,Defender,NUFC,20000,2015
,Massadio Haidara,Defender,NUFC,20000,2015
,Harry Winks,Midfielder,THFC,20000,2015
,Abdoulaye Doucoure,Midfielder,WAT,20000,2015
,Sebastian Prodl,Defender,WAT,20000,2015
270.0,Charlie Daniels,Defender,BOU,19000,2015
271.0,Danny Ward,Goalkeeper,LFC,18000,2015
,Paulo Gazzaniga,Goalkeeper,SFC,18000,2015
273.0,Sam Vokes,Forward,BFC,17000,2015
,Michael Hector,Defender,CFC,17000,2015
275.0,Tyrone Mings,Defender,BOU,16000,2015
,Rhoys Wiggins,Defender,BOU,16000,2015
,Kevin Stewart,Midfielder,LFC,16000,2015
,Tommie Hoban,Defender,WAT,16000,2015
279.0,Ciaran Clark,Defender,AVFC,15000,2015
,David Stockdale,Goalkeeper,BHA,15000,2015
,Rouwen Hennings,Forward,BFC,15000,2015
,Matt Miazga,Defender,CFC,15000,2015
,Jonny Williams,Midfielder,CP,15000,2015
,Shani Tarashaj,Forward,EFC,15000,2015
,Joe Gomez,Defender,LFC,15000,2015
,Ruben Sobrino,Forward,MCFC,15000,2015
,Jamaal Lascelles,Defender,NUFC,15000,2015
,Kyle Bartley,Defender,SCAFC,15000,2015
,Juan Carlos Paredes,Defender,WAT,15000,2015
,Doneil Henry,Defender,WHUFC,15000,2015
291.0,Benik Afobe,Forward,BOU,13500,2015
292.0,Craig Cathcart,Defender,WAT,13000,2015
,Obbi Oulare,Forward,WAT,13000,2015
294.0,Demarai Gray,Forward,LC,12500,2015
295.0,Adam Smith,Defender,BOU,12000,2015
,Fredrik Ulvestad,Midfielder,BFC,12000,2015
,Charly Musonda,Midfielder,CFC,12000,2015
,Ben Hamer,Goalkeeper,LC,12000,2015
,Curtis Good,Defender,NUFC,12000,2015
,Sam Gallagher,Forward,SFC,12000,2015
,Harrison Reed,Midfielder,SFC,12000,2015
,Jack Stephens,Defender,SFC,12000,2015
303.0,Artur Boruc,Goalkeeper,BOU,10000,2015
,Matt Macey,Goalkeeper,AFC,10000,2015
,Emiliano Martinez,Goalkeeper,AFC,10000,2015
,Nathan Baker,Defender,AVFC,10000,2015
