year,Name,Team,AvgP,PS%
2018,Eden Hazard,Chelsea,49.16216216216216,84.33205057724025
2018,Raheem Sterling,Man City,37.14705882352941,85.82739509105305
2018,Mohamed Salah,Liverpool,28.394736842105264,75.90361445783132
2018,Sergio Agüero,Man City,23.363636363636363,84.95460440985732
2018,Virgil van Dijk,Liverpool,79.92105263157895,89.69377675337505
2018,Sadio Mané,Liverpool,32.861111111111114,78.19103972950127
2018,Harry Kane,Tottenham,19.678571428571427,73.13974591651544
2018,Trent Alexander-Arnold,Liverpool,58.51724137931034,77.4896876841485
2018,Lucas Digne,Everton,41.628571428571426,76.04667124227865
2018,Ricardo Pereira,Leicester,43.77142857142857,78.00261096605745
2018,Paul Pogba,Man Utd,59.08571428571429,82.83365570599614
2018,Fernandinho,Man City,70.65517241379311,87.50610053684724
2018,Fabian Schär,Newcastle,41.416666666666664,68.10865191146881
2018,Benjamin Mendy,Man City,65.0,88.3076923076923
2018,Aaron Wan-Bissaka,Crystal Palace,33.285714285714285,73.04721030042919
2018,David Silva,Man City,61.121212121212125,87.80366881507189
2018,Bernardo Silva,Man City,47.361111111111114,86.09970674486803
2018,Leroy Sané,Man City,27.322580645161292,84.4155844155844
2018,Felipe Anderson,West Ham,46.333333333333336,76.01918465227818
2018,Wilfred Ndidi,Leicester,52.23684210526316,79.89924433249371
2018,Wilfried Zaha,Crystal Palace,29.58823529411765,77.33598409542743
2018,James Maddison,Leicester,39.0,83.76068376068376
2018,Roberto Firmino,Liverpool,37.61764705882353,80.76622361219702
2018,Luka Milivojevic,Crystal Palace,52.26315789473684,80.01007049345418
2018,John Ruddy,Wolves,19.0,68.42105263157895
2018,Oleksandr Zinchenko,Man City,84.57142857142857,91.4695945945946
2018,Marcos Alonso,Chelsea,60.70967741935484,85.01594048884165
2018,Alexandre Lacazette,Arsenal,22.02857142857143,74.18936446173801
2018,Gylfi Sigurdsson,Everton,26.05263157894737,76.16161616161617
2018,Sol Bamba,Cardiff,19.642857142857142,69.0909090909091
2018,Idrissa Gueye,Everton,52.75757575757576,84.31935669155658
2018,Youri Tielemans,Leicester,49.30769230769231,85.02340093603745
