year,Name,Team,AvgP,PS%
2019,Kevin De Bruyne,Man City,54.48571428571429,81.48925013109596
2019,Bruno Fernandes,Man Utd,55.5,75.67567567567568
2019,Ricardo Pereira,Leicester,56.142857142857146,78.88040712468194
2019,Adama Traoré,Wolves,19.243243243243242,74.43820224719101
2019,Riyad Mahrez,Man City,33.21212121212121,90.14598540145985
2019,Sadio Mané,Liverpool,31.542857142857144,81.61231884057972
2019,Mohamed Salah,Liverpool,28.794117647058822,76.50663942798775
2019,Raheem Sterling,Man City,35.39393939393939,82.79109589041096
2019,Marcus Rashford,Man Utd,30.35483870967742,77.25823591923485
2019,James Maddison,Leicester,47.516129032258064,83.02783435166327
2019,Harry Kane,Tottenham,19.06896551724138,66.72694394213381
2019,Virgil van Dijk,Liverpool,85.76315789473684,89.07640380484811
2019,Anthony Martial,Man Utd,22.25,80.6179775280899
2019,Willian,Chelsea,39.888888888888886,82.72980501392759
2019,Marcos Alonso,Chelsea,50.44444444444444,82.59911894273128
2019,Michail Antonio,West Ham,18.583333333333332,68.38565022421524
2019,Allan Saint-Maximin,Newcastle,16.576923076923077,79.11832946635731
2019,Joël Matip,Liverpool,61.44444444444444,84.26763110307414
2019,David Silva,Man City,54.925925925925924,89.27848954821307
2019,Gabriel Jesus,Man City,17.91176470588235,86.5353037766831
2019,Raúl Jiménez,Wolves,26.105263157894736,72.17741935483872
2019,Son Heung-Min,Tottenham,26.566666666666666,84.69259723964868
2019,Jack Grealish,Aston Villa,38.111111111111114,84.8396501457726
2019,Wilfred Ndidi,Leicester,52.15625,85.14080287597365
2019,Jamie Vardy,Leicester,12.628571428571428,70.58823529411765
2019,João Cancelo,Man City,59.411764705882355,90.3960396039604
2019,Trent Alexander-Arnold,Liverpool,64.21052631578948,76.68032786885246
2019,Aaron Wan-Bissaka,Man Utd,47.08571428571429,81.25
2019,Richarlison,Everton,21.88888888888889,66.6243654822335
2019,Willy Boly,Wolves,44.72727272727273,80.89430894308943
2019,James Tarkowski,Burnley,35.526315789473685,70.81481481481482
2019,Paul Pogba,Man Utd,64.625,85.49323017408123
2019,Christian Pulisic,Chelsea,26.72,79.94011976047905
2019,Sergio Agüero,Man City,14.75,80.50847457627118
2019,Lucas Digne,Everton,39.25714285714286,74.16302765647744
2019,James Ward-Prowse,Southampton,43.8421052631579,80.91236494597838
2019,Jordan Henderson,Liverpool,61.86666666666667,84.48275862068965
2019,Tomás Soucek,West Ham,30.307692307692307,70.05076142131979
2019,Roberto Firmino,Liverpool,30.55263157894737,79.58656330749353
2019,César Azpilicueta,Chelsea,67.63888888888889,80.69815195071868
2019,Harry Maguire,Man Utd,66.26315789473684,86.69579030976966
2019,Danny Ings,Southampton,16.92105263157895,62.674961119751174
2019,Andy Robertson,Liverpool,69.22222222222223,83.70786516853933
2019,Dejan Lovren,Liverpool,68.0,83.23529411764706
2019,Rodri,Man City,73.68571428571428,92.90422644435827
2019,Sébastien Haller,West Ham,23.96875,65.84093872229465
2019,Emiliano Buendía,Norwich,39.083333333333336,79.95735607675905
2019,Luke Thomas,Leicester,51.0,77.77777777777779
2019,Nicolas Pépé,Arsenal,22.774193548387096,81.44475920679886
2019,Sèrge Aurier,Tottenham,38.81818181818182,79.07884465261515
2019,Dwight McNeil,Burnley,27.07894736842105,79.10592808551993
2019,Diego Rico,Bournemouth,40.18518518518518,67.2811059907834
2019,Troy Deeney,Watford,26.25925925925926,54.160789844851905
2019,Çaglar Söyüncü,Leicester,68.20588235294117,89.60758947822337
2019,Bernardo Silva,Man City,40.411764705882355,90.24745269286754
2019,Pierre-Emerick Aubameyang,Arsenal,22.694444444444443,72.2154222766218
2019,Emiliano Martínez,Arsenal,27.22222222222222,67.3469387755102
2019,João Moutinho,Wolves,48.36842105263158,85.52774755168662
2019,Declan Rice,West Ham,45.60526315789474,86.03577611079054
2019,Nemanja Matic,Man Utd,60.23809523809524,86.95652173913044
2019,John McGinn,Aston Villa,25.392857142857142,81.43459915611815
2019,Aymeric Laporte,Man City,76.53333333333333,92.50871080139372
2019,Japhet Tanganga,Tottenham,33.5,81.09452736318407
2019,Jarrod Bowen,West Ham,16.384615384615383,76.99530516431925
2019,Matt Doherty,Wolves,41.0,74.93224932249322
2019,Hugo Lloris,Tottenham,22.571428571428573,67.08860759493672
2019,Wilfried Zaha,Crystal Palace,28.789473684210527,81.07861060329068
2019,Chris Basham,Sheff Utd,34.578947368421055,74.73363774733637
2019,Jonjo Shelvey,Newcastle,40.15384615384615,76.91570881226055
2019,Lucas Moura,Tottenham,22.085714285714285,73.47994825355757
2019,Ben Chilwell,Leicester,61.25925925925926,78.2950423216445
2019,Nathan Redmond,Southampton,31.90625,73.65328109696377
2019,Felipe Anderson,West Ham,35.8,78.77094972067039
2019,Pablo Marí,Arsenal,50.0,85.0
2019,Mateo Kovacic,Chelsea,60.25806451612903,89.66809421841542
2019,Naby Keïta,Liverpool,37.666666666666664,88.79056047197639
2019,Shkodran Mustafi,Arsenal,56.266666666666666,81.87203791469194
2019,John Egan,Sheff Utd,35.833333333333336,80.23255813953489
2019,Jack O'Connell,Sheff Utd,47.15151515151515,73.45758354755783
2019,Jordan Ayew,Crystal Palace,22.0,81.32678132678133
2019,Alexandre Lacazette,Arsenal,16.833333333333332,76.43564356435644
2019,Djibril Sidibé,Everton,37.92,78.58649789029536
2019,Scott McTominay,Man Utd,37.44444444444444,80.90999010880317
2019,Phil Bardsley,Burnley,31.333333333333332,66.10942249240122
2019,Mason Mount,Chelsea,33.54054054054054,85.73730862207897
2019,Kurt Zouma,Chelsea,74.28571428571429,88.46153846153845
2019,Étienne Capoue,Watford,47.8,81.3110181311018
2019,Tammy Abraham,Chelsea,11.970588235294118,66.83046683046683
2019,Kyle Walker,Man City,66.86206896551724,88.55079938112429
2019,Reece James,Chelsea,42.333333333333336,85.9251968503937
2019,Jonny Evans,Leicester,65.55263157894737,86.83259735046165
2019,N'Golo Kanté,Chelsea,51.54545454545455,84.92063492063492
2019,Gerard Deulofeu,Watford,25.75,80.16643550624133
2019,Philip Billing,Bournemouth,33.94117647058823,74.78336221837088
2019,Dan Burn,Brighton,46.14705882352941,74.05991077119184
2019,Olivier Giroud,Chelsea,16.61111111111111,68.22742474916387
2019,Lewis Dunk,Brighton,62.52777777777778,86.9835628609507
2019,Ciaran Clark,Newcastle,23.0,77.32919254658384
2019,Frédéric Guilbert,Aston Villa,29.96,68.89185580774367
2019,Oliver McBurnie,Sheff Utd,17.13888888888889,60.45380875202593
2019,Fabinho,Liverpool,56.357142857142854,87.00887198986058
2019,Romain Saïss,Wolves,49.333333333333336,78.43980343980344
2019,Charlie Taylor,Burnley,29.708333333333332,68.72370266479663
2019,Bernd Leno,Arsenal,26.666666666666668,72.25
2019,Fikayo Tomori,Chelsea,76.73333333333333,87.40225890529973
2019,Youri Tielemans,Leicester,48.108108108108105,83.03370786516854
2019,Ben Mee,Burnley,39.28125,71.43993635640413
2019,Fred,Man Utd,57.51724137931034,87.47002398081534
2019,Dele Alli,Tottenham,32.4,76.29629629629629
2019,Dominic Calvert-Lewin,Everton,15.36111111111111,64.01446654611212
2019,Kyle Walker-Peters,Southampton,34.7,76.94524495677233
2019,Calum Chambers,Arsenal,56.857142857142854,82.41206030150754
2019,John Fleck,Sheff Utd,33.3,80.28028028028028
2019,Phil Foden,Man City,21.47826086956522,88.46153846153845
2019,Matt Targett,Aston Villa,33.785714285714285,72.6215644820296
2019,Fernandinho,Man City,74.06666666666666,89.82898289828984
2019,Luke Shaw,Man Utd,47.625,87.4015748031496
2019,Jorginho,Chelsea,72.80645161290323,88.39167035888347
2019,Ross Barkley,Chelsea,29.428571428571427,88.9967637540453
2019,Jetro Willems,Newcastle,22.57894736842105,76.92307692307693
2019,Tariq Lamptey,Brighton,21.375,83.62573099415205
2019,Dani Ceballos,Arsenal,52.125,87.92965627498002
2019,Benjamin Mendy,Man City,58.05263157894737,88.39528558476881
2019,Michael Keane,Everton,46.67741935483871,82.79198341395991
2019,Pierre-Emile Højbjerg,Southampton,55.24242424242424,78.05814591332968
2019,Jan Bednarek,Southampton,45.205882352941174,75.2765126870527
2019,Yerry Mina,Everton,46.93103448275862,83.76193975018369
2019,Jannik Vestergaard,Southampton,43.26315789473684,77.12895377128953
2019,James Tomkins,Crystal Palace,37.27777777777778,79.43368107302533
2019,Toby Alderweireld,Tottenham,59.93939393939394,81.69868554095045
2019,Enda Stevens,Sheff Utd,38.6578947368421,74.88087134104833
2019,Rúben Neves,Wolves,53.1578947368421,80.0990099009901
2019,Sokratis Papastathopoulos,Arsenal,54.1578947368421,87.94946550048591
2019,Oliver Norwood,Sheff Utd,52.81578947368421,82.26208271051321
2019,Christian Benteke,Crystal Palace,14.041666666666666,54.3026706231454
2019,Georginio Wijnaldum,Liverpool,43.91891891891892,90.83076923076922
2019,Sander Berge,Sheff Utd,26.285714285714285,79.8913043478261
2019,James McArthur,Crystal Palace,38.5945945945946,78.50140056022408
2019,Jonny Otto,Wolves,31.057142857142857,81.3247470101196
2019,Matt Ritchie,Newcastle,29.22222222222222,74.33460076045627
2019,David McGoldrick,Sheff Utd,21.785714285714285,74.91803278688525
2019,Nicolás Otamendi,Man City,63.875,92.3679060665362
2019,Ryan Fredericks,West Ham,31.703703703703702,74.06542056074767
2019,James Justin,Leicester,52.46153846153846,82.55131964809385
2019,Adam Webster,Brighton,60.645161290322584,83.13829787234043
2019,Robert Snodgrass,West Ham,21.041666666666668,77.82178217821783
2019,Jan Vertonghen,Tottenham,47.869565217391305,82.83378746594006
2019,Ashley Westwood,Burnley,49.74285714285714,78.7478460654796
2019,George Baldock,Sheff Utd,29.42105263157895,75.9391771019678
2019,Angeliño,Man City,56.333333333333336,84.31952662721893
2019,Granit Xhaka,Arsenal,61.38709677419355,88.1240147136101
2019,Pedro,Chelsea,28.636363636363637,83.17460317460318
2019,Moussa Djenepo,Southampton,13.277777777777779,74.05857740585773
2019,Joe Gomez,Liverpool,71.0,88.02816901408451
2019,Antonio Rüdiger,Chelsea,74.6,86.79624664879356
2019,Nick Pope,Burnley,26.5,37.63654419066535
2019,Grant Hanley,Norwich,43.86666666666667,82.82674772036475
2019,Ayoze Pérez,Leicester,22.242424242424242,79.70027247956402
2019,Kortney Hause,Aston Villa,44.388888888888886,73.46683354192741
2019,Kyle Walker-Peters,Tottenham,61.666666666666664,87.56756756756758
2019,Ben Davies,Tottenham,44.22222222222222,76.63316582914574
2019,Sam Byram,Norwich,37.411764705882355,77.83018867924528
2019,Mason Holgate,Everton,39.18518518518518,84.21550094517958
2019,Joshua King,Bournemouth,19.192307692307693,72.34468937875751
2019,Ben Johnson,West Ham,40.333333333333336,72.72727272727273
2019,Harvey Barnes,Leicester,19.416666666666668,79.54220314735336
2019,Diogo Jota,Wolves,24.764705882352942,79.80997624703087
2019,Jean-Philippe Gbamin,Everton,35.0,71.42857142857143
2019,Wesley,Aston Villa,17.571428571428573,71.81571815718158
2019,Cédric Soares,Southampton,30.875,68.82591093117408
2019,Ashley Young,Man Utd,47.583333333333336,80.56042031523643
2019,Patrick van Aanholt,Crystal Palace,41.93103448275862,81.16776315789474
2019,Fabian Schär,Newcastle,34.59090909090909,74.77003942181341
2019,Nathan Aké,Bournemouth,41.724137931034484,87.60330578512396
2019,Andreas Christensen,Chelsea,62.23809523809524,91.35424636572303
2019,Angelo Ogbonna,West Ham,31.516129032258064,76.15148413510747
2019,Chris Mepham,Bournemouth,41.666666666666664,86.6
2019,Daryl Janmaat,Watford,33.375,76.40449438202246
2019,Mason Greenwood,Man Utd,15.96774193548387,86.26262626262627
2019,Moussa Sissoko,Tottenham,42.96551724137931,87.47993579454254
2019,Federico Fernández,Newcastle,34.6875,77.02702702702703
2019,Ondrej Duda,Norwich,33.8,83.13609467455622
2019,Kasper Schmeichel,Leicester,27.18421052631579,75.41142303969022
2019,Chris Wood,Burnley,14.375,63.04347826086957
2019,Martin Dúbravka,Newcastle,25.5,50.56759545923632
2019,Steve Cook,Bournemouth,43.827586206896555,79.22895357985837
2019,Dean Henderson,Sheff Utd,25.916666666666668,36.763129689174704
2019,Isaac Hayden,Newcastle,27.620689655172413,79.02621722846442
2019,Craig Dawson,Watford,32.310344827586206,77.48132337246531
2019,Ismaïla Sarr,Watford,17.571428571428573,81.5040650406504
2019,Yves Bissouma,Brighton,28.136363636363637,84.97576736672052
2019,Alex McCarthy,Southampton,26.607142857142858,51.54362416107383
2019,Mesut Özil,Arsenal,46.44444444444444,88.27751196172248
2019,Josh Brownhill,Burnley,33.1,82.4773413897281
2019,Shane Duffy,Brighton,33.73684210526316,80.65522620904837
2019,Eric Dier,Tottenham,48.10526315789474,80.74398249452955
2019,Victor Lindelöf,Man Utd,59.8,86.4787386526517
2019,Emerson,Chelsea,47.86666666666667,85.0974930362117
2019,Brandon Williams,Man Utd,32.470588235294116,84.60144927536231
2019,Tanguy Ndombélé,Tottenham,30.095238095238095,85.60126582278481
2019,Jefferson Lerma,Bournemouth,42.36363636363637,78.6838340486409
2019,Ilkay Gündogan,Man City,63.0,91.85867895545314
2019,Oleksandr Zinchenko,Man City,63.68421052631579,90.6611570247934
2019,John Lundstram,Sheff Utd,34.588235294117645,82.6530612244898
2019,Christian Kabasele,Watford,24.814814814814813,72.68656716417911
2019,Miguel Almirón,Newcastle,23.02777777777778,80.21712907117008
2019,Jamaal Lascelles,Newcastle,35.291666666666664,79.81109799291617
2019,Conor Hourihane,Aston Villa,22.666666666666668,82.6797385620915
2019,Aaron Ramsdale,Bournemouth,25.54054054054054,51.957671957671955
2019,Mattéo Guendouzi,Arsenal,48.0,88.36805555555556
