year,Name,Team,AvgP,PS%
2017,Philippe Coutinho,Liverpool,49.285714285714285,78.84057971014494
2017,Sergio Agüero,Man City,25.12,82.80254777070064
2017,Alex Oxlade Chamberlain,Arsenal,41.0,84.5528455284553
2017,Kevin De Bruyne,Man City,72.78378378378379,83.43854437430375
2017,Henri Saivet,Newcastle,24.0,62.5
2017,Mohamed Salah,Liverpool,26.27777777777778,76.74418604651163
2017,Eden Hazard,Chelsea,40.26470588235294,83.56464572680788
2017,Harry Kane,Tottenham,17.756756756756758,71.23287671232876
2017,David Silva,Man City,83.75862068965517,88.92548373816386
2017,Alexis Sánchez,Man Utd,48.5,76.1168384879725
2017,Raheem Sterling,Man City,35.45454545454545,84.01709401709402
2017,Leroy Sané,Man City,34.09375,84.2346471127406
2017,Paulo Gazzaniga,Tottenham,22.0,77.27272727272727
2017,Aaron Wan-Bissaka,Crystal Palace,29.0,72.9064039408867
2017,Paul Pogba,Man Utd,63.74074074074074,85.2992446252179
2017,Fernandinho,Man City,87.5,90.05042016806722
2017,Jérémy Pied,Southampton,48.0,77.08333333333334
2017,Christian Eriksen,Tottenham,61.027027027027025,82.37378210806024
2017,Roberto Firmino,Liverpool,31.594594594594593,72.6261762189906
2017,Shkodran Mustafi,Arsenal,64.22222222222223,86.159169550173
2017,Wilfried Zaha,Crystal Palace,21.482758620689655,75.28089887640449
2017,Virgil van Dijk,Liverpool,81.21428571428571,89.79771328056289
2017,Henrikh Mkhitaryan,Arsenal,40.81818181818182,77.728285077951
2017,Sergio Romero,Man Utd,20.0,60.0
2017,Alexis Sánchez,Arsenal,45.94736842105263,72.39404352806415
2017,Pierre-Emerick Aubameyang,Arsenal,24.384615384615383,69.4006309148265
2017,James Tomkins,Crystal Palace,31.714285714285715,81.75675675675676
2017,Romelu Lukaku,Man Utd,21.205882352941178,68.37725381414702
2017,Riyad Mahrez,Leicester,35.44444444444444,79.62382445141067
2017,Sèrge Aurier,Tottenham,45.64705882352941,79.38144329896907
2017,Emre Can,Liverpool,59.34615384615385,85.54763447828904
2017,Kyle Walker-Peters,Tottenham,32.333333333333336,82.4742268041237
2017,Sadio Mané,Liverpool,33.172413793103445,80.35343035343035
2017,Aaron Ramsey,Arsenal,51.625,84.90718321226795
2017,Jan Vertonghen,Tottenham,69.11111111111111,86.33440514469454
2017,Mesut Özil,Arsenal,69.57692307692308,86.45660585959092
2017,N'Golo Kanté,Chelsea,63.26470588235294,89.2608089260809
2017,Chris Smalling,Man Utd,39.206896551724135,87.59894459102902
2017,James Tarkowski,Burnley,35.193548387096776,73.14390467461045
2017,Phil Jones,Man Utd,47.08695652173913,91.22807017543859
2017,Nemanja Matic,Man Utd,72.25,87.69703960015379
2017,César Azpilicueta,Chelsea,74.56756756756756,86.7343240304458
2017,Shane Duffy,Brighton,36.7027027027027,76.4359351988218
2017,Kevin Long,Burnley,33.8125,71.71903881700554
2017,Fabian Delph,Man City,73.36363636363636,92.99876084262702
2017,Wilfred Ndidi,Leicester,51.03030303030303,76.06888361045131
2017,Nicolás Otamendi,Man City,90.41176470588235,91.89980481457386
2017,Marcos Alonso,Chelsea,40.81818181818182,79.3615441722346
2017,Nacho Monreal,Arsenal,61.392857142857146,89.52879581151832
2017,Theo Walcott,Everton,21.928571428571427,75.8957654723127
2017,Ben Mee,Burnley,36.93103448275862,76.37721755368814
2017,Kurt Zouma,Stoke,30.029411764705884,78.25661116552399
