year,Name,Team,AvgP,PS%
2020,Harry Kane,Tottenham,25.942857142857143,69.93392070484582
2020,Kevin De Bruyne,Man City,50.6,81.66007905138339
2020,Jack Grealish,Aston Villa,38.30769230769231,83.33333333333334
2020,Bruno Fernandes,Man Utd,57.054054054054056,78.3041212695405
2020,Tomás Soucek,West Ham,42.28947368421053,75.48226509023024
2020,Mason Mount,Chelsea,47.27777777777778,86.48648648648648
2020,Sadio Mané,Liverpool,28.8,78.67063492063492
2020,Riyad Mahrez,Man City,37.18518518518518,88.44621513944223
2020,João Cancelo,Man City,66.21428571428571,87.10895361380798
2020,Gareth Bale,Tottenham,18.3,73.224043715847
2020,Nathaniel Phillips,Liverpool,65.70588235294117,84.15398388540734
2020,Ilkay Gündogan,Man City,61.214285714285715,91.71528588098016
2020,Son Heung-Min,Tottenham,28.56756756756757,83.44370860927152
2020,Wilfred Ndidi,Leicester,55.11538461538461,86.88066992323796
2020,Jesse Lingard,West Ham,39.5625,83.57030015797788
2020,Raphinha,Leeds,29.2,72.26027397260275
2020,Raheem Sterling,Man City,35.903225806451616,86.16352201257862
2020,James Rodríguez,Everton,44.82608695652174,83.31716779825412
2020,Ollie Watkins,Aston Villa,21.72972972972973,71.51741293532339
2020,Kortney Hause,Aston Villa,33.142857142857146,74.56896551724138
2020,Rodri,Man City,81.91176470588235,91.27468581687612
2020,Michail Antonio,West Ham,17.423076923076923,68.21192052980133
2020,Dominic Calvert-Lewin,Everton,20.454545454545453,68.74074074074073
2020,Jimmy Dunne,Burnley,51.0,68.62745098039215
2020,Aaron Wan-Bissaka,Man Utd,53.088235294117645,84.93074792243767
2020,Phil Foden,Man City,27.214285714285715,88.18897637795276
2020,Joe Willock,Newcastle,16.214285714285715,77.09251101321586
2020,Marcus Rashford,Man Utd,32.13513513513514,82.08578637510513
2020,Thiago Alcântara,Liverpool,71.66666666666667,89.59302325581395
2020,Allan Saint-Maximin,Newcastle,16.68,82.49400479616307
2020,Gabriel Jesus,Man City,25.24137931034483,84.97267759562843
2020,Pedro Neto,Wolves,32.87096774193548,88.42001962708538
2020,Adama Traoré,Wolves,18.91891891891892,76.28571428571429
2020,Roberto Firmino,Liverpool,36.138888888888886,80.70714834742506
2020,Jamie Vardy,Leicester,12.764705882352942,67.51152073732719
2020,Mathew Ryan,Arsenal,15.666666666666666,89.36170212765957
2020,Youri Tielemans,Leicester,65.23684210526316,81.68616377571601
2020,Lucas Digne,Everton,42.166666666666664,77.5494071146245
2020,Christian Benteke,Crystal Palace,19.166666666666668,58.608695652173914
2020,Bernardo Silva,Man City,52.76923076923077,91.76384839650146
2020,Kurt Zouma,Chelsea,73.95833333333333,90.87323943661973
2020,Solly March,Brighton,34.142857142857146,76.01115760111577
2020,James Ward-Prowse,Southampton,64.05263157894737,86.35990139687758
2020,Mohamed Salah,Liverpool,34.13513513513514,83.68962787015045
2020,Liam Cooper,Leeds,65.92,85.61893203883496
2020,Kiko Casilla,Leeds,26.0,87.17948717948718
2020,Sèrge Aurier,Tottenham,41.68421052631579,80.8080808080808
2020,Paul Pogba,Man Utd,51.26923076923077,82.97074268567141
2020,Harry Maguire,Man Utd,65.5,87.29232150875617
2020,John Stones,Man City,78.5,93.28314997104806
2020,James Justin,Leicester,45.82608695652174,80.45540796963947
2020,Luke Shaw,Man Utd,50.28125,85.02175264139217
2020,Patrick Bamford,Leeds,13.342105263157896,77.31755424063115
2020,Caoimhín Kelleher,Liverpool,26.0,75.0
2020,James Tarkowski,Burnley,34.97222222222222,70.05559968228752
2020,Antonio Rüdiger,Chelsea,80.15789473684211,89.42875902823376
2020,Trent Alexander-Arnold,Liverpool,66.13888888888889,79.37841243175137
2020,Wesley Fofana,Leicester,60.285714285714285,86.37440758293839
2020,Declan Rice,West Ham,47.6875,88.00786369593709
2020,Kalvin Phillips,Leeds,48.41379310344828,84.68660968660969
2020,James Maddison,Leicester,32.903225806451616,83.33333333333334
2020,Ben Chilwell,Chelsea,54.407407407407405,82.0285908781484
2020,Emiliano Martínez,Aston Villa,29.842105263157894,62.52204585537919
2020,André-Frank Zambo Anguissa,Fulham,39.333333333333336,84.18079096045197
2020,Yves Bissouma,Brighton,46.80555555555556,87.35905044510386
2020,Richarlison,Everton,22.029411764705884,69.95994659546061
2020,Harvey Barnes,Leicester,24.2,75.20661157024794
2020,Alex Telles,Man Utd,50.888888888888886,84.71615720524017
2020,Okay Yokuslu,WBA,33.125,82.45283018867924
2020,Jack Harrison,Leeds,27.47222222222222,74.01415571284126
2020,Matheus Pereira,WBA,28.484848484848484,79.57446808510639
2020,Joël Matip,Liverpool,54.6,87.72893772893772
2020,Vladimír Coufal,West Ham,37.61764705882353,71.22752150117279
2020,Pierre-Emile Højbjerg,Tottenham,72.76315789473684,88.53526220614827
2020,Luke Ayling,Leeds,62.6578947368421,78.95842083158337
2020,Scott Carson,Man City,10.0,90.0
2020,Reece James,Chelsea,53.0,88.38443396226415
2020,Oriol Romeu,Southampton,60.714285714285715,82.58823529411765
2020,Matty Cash,Aston Villa,36.0,75.69444444444444
2020,Scott McTominay,Man Utd,40.5625,86.97996918335902
2020,Ahmed Hegazy,WBA,56.0,67.85714285714286
2020,Ben Mee,Burnley,37.4,71.12299465240642
2020,Anthony Elanga,Man Utd,26.5,75.47169811320755
2020,Fred,Man Utd,60.2,87.70764119601328
2020,Timothy Fosu-Mensah,Man Utd,66.0,90.9090909090909
2020,César Azpilicueta,Chelsea,72.57692307692308,86.85744568097509
2020,Ademola Lookman,Fulham,30.852941176470587,80.93422306959009
