year,Name,Team,AvgP,PS%
2021,Kevin De Bruyne,Man City,45.266666666666666,82.54786450662739
2021,Mohamed Salah,Liverpool,30.82857142857143,79.8887859128823
2021,Trent Alexander-Arnold,Liverpool,67.34375,78.14385150812065
2021,Son Heung-Min,Tottenham,29.0,86.60098522167488
2021,Kenedy,Chelsea,46.0,73.91304347826086
2021,Harry Kane,Tottenham,23.62162162162162,70.25171624713958
2021,Luis Díaz,Liverpool,33.76923076923077,87.6993166287016
2021,Rodri,Man City,86.81818181818181,91.76265270506109
2021,Ben Chilwell,Chelsea,38.57142857142857,82.96296296296296
2021,João Cancelo,Man City,81.97222222222223,85.25923415791257
2021,Kieran Trippier,Newcastle,33.833333333333336,65.02463054187191
2021,Christian Eriksen,Brentford,49.45454545454545,80.88235294117648
2021,Joël Matip,Liverpool,74.80645161290323,88.52953859422165
2021,Sadio Mané,Liverpool,30.470588235294116,77.31660231660231
2021,Phil Foden,Man City,34.285714285714285,87.39583333333333
2021,Ivan Toney,Brentford,22.21212121212121,58.93587994542974
2021,Bernardo Silva,Man City,53.94285714285714,89.61864406779661
2021,Kristoffer Klaesson,Leeds,9.0,77.77777777777779
2021,Danny Ward,Leicester,25.0,88.0
2021,Rodrigo Bentancur,Tottenham,59.23529411764706,89.97020854021847
2021,Reece James,Chelsea,53.03846153846154,89.55765047135606
2021,Ilkay Gündogan,Man City,47.0,91.17415287628053
2021,Ferran Torres,Man City,17.5,77.14285714285715
2021,Andy Robertson,Liverpool,66.48275862068965,85.16597510373444
2021,Raheem Sterling,Man City,27.333333333333332,85.36585365853658
2021,Gabriel Jesus,Man City,26.392857142857142,84.84438430311232
2021,Dejan Kulusevski,Tottenham,25.333333333333332,86.40350877192982
2021,Mason Mount,Chelsea,34.84375,85.38116591928251
2021,Virgil van Dijk,Liverpool,77.82352941176471,89.53136810279668
2021,John McGinn,Aston Villa,35.48571428571429,79.46859903381642
2021,Jack Grealish,Man City,35.69230769230769,88.36206896551724
2021,Zack Steffen,Man City,33.0,84.84848484848484
2021,Pierre-Emile Højbjerg,Tottenham,70.30555555555556,89.68787040695378
2021,Jarrod Bowen,West Ham,19.833333333333332,76.19047619047619
2021,Cristiano Ronaldo,Man Utd,29.3,81.91126279863481
2021,John Stones,Man City,69.64285714285714,91.48717948717947
2021,Declan Rice,West Ham,59.80555555555556,91.63957268927079
2021,Thiago Alcântara,Liverpool,59.92,89.11882510013352
2021,Marcos Alonso,Chelsea,40.535714285714285,81.05726872246696
2021,Allan Saint-Maximin,Newcastle,19.285714285714285,76.29629629629629
2021,Conor Gallagher,Crystal Palace,30.852941176470587,81.22020972354623
