year,Name,Team,AvgP,PS%
2015,Riyad Mahrez,Leicester,27.945945945945947,73.59767891682786
2015,Dimitri Payet,West Ham,42.333333333333336,80.23622047244095
2015,Alexis Sánchez,Arsenal,47.833333333333336,79.58188153310104
2015,Mousa Dembélé,Tottenham,47.55172413793103,89.99274836838289
2015,Mesut Özil,Arsenal,65.05714285714286,86.29776021080369
2015,N'Golo Kanté,Leicester,39.16216216216216,81.64251207729468
2015,Virgil van Dijk,Southampton,40.794117647058826,83.12905551550108
2015,Harry Kane,Tottenham,25.31578947368421,73.07692307692307
2015,Santi Cazorla,Arsenal,81.93333333333334,90.23596419853538
2015,Jamie Vardy,Leicester,17.36111111111111,65.75999999999999
2015,Christian Fuchs,Leicester,36.875,72.37288135593221
2015,Jordan Amavi,Aston Villa,37.0,78.91891891891892
2015,Laurent Koscielny,Arsenal,51.27272727272727,86.99763593380615
2015,Nicolás Otamendi,Man City,52.3,84.13001912045888
2015,Christian Eriksen,Tottenham,52.57142857142857,81.19565217391305
2015,Kevin De Bruyne,Man City,45.12,78.28014184397163
2015,Sergio Agüero,Man City,24.233333333333334,84.73177441540578
2015,Luke Shaw,Man Utd,54.2,85.97785977859779
2015,Andros Townsend,Newcastle,28.0,81.31868131868131
2015,Dele Alli,Tottenham,32.878787878787875,75.85253456221199
2015,Michail Antonio,West Ham,20.115384615384617,69.59847036328873
2015,Ross Barkley,Everton,47.421052631578945,85.96004439511654
2015,Danny Drinkwater,Leicester,56.68571428571428,77.62096774193549
2015,Philippe Coutinho,Liverpool,42.0,78.93772893772893
2015,Troy Deeney,Watford,33.973684210526315,60.88303640588691
2015,Vincent Kompany,Man City,48.42857142857143,82.89085545722715
2015,David Silva,Man City,57.75,86.43578643578643
2015,Lamine Koné,Sunderland,26.733333333333334,62.593516209476306
2015,Cédric Soares,Southampton,32.625,68.83780332056195
2015,Cheikhou Kouyaté,West Ham,36.294117647058826,79.57860615883307
2015,Kieran Trippier,Tottenham,44.166666666666664,73.9622641509434
2015,Nacho Monreal,Arsenal,49.86486486486486,85.47425474254743
2015,Danny Rose,Tottenham,44.166666666666664,79.43396226415095
2015,Idrissa Gueye,Aston Villa,53.371428571428574,85.59957173447538
2015,Sébastien Pocognoli,WBA,19.0,63.1578947368421
2015,Gaël Clichy,Man City,49.5,81.38528138528139
2015,Gabriel Paulista,Arsenal,52.904761904761905,90.1890189018902
2015,Anthony Martial,Man Utd,29.774193548387096,76.70639219934995
2015,Yohan Cabaye,Crystal Palace,38.484848484848484,82.59842519685039
2015,Yaya Touré,Man City,57.4375,86.45266594124048
2015,Aaron Ramsey,Arsenal,69.45161290322581,86.11240130051091
2015,Timm Klose,Norwich,25.7,65.36964980544747
2015,Manuel Lanzini,West Ham,42.0,88.91941391941391
2015,James Milner,Liverpool,49.07142857142857,77.43813682678311
2015,Phil Jagielka,Everton,49.333333333333336,84.26640926640927
2015,Jonny Evans,WBA,32.8,75.10162601626016
2015,Willian,Chelsea,42.885714285714286,82.41172551632245
2015,Roberto Firmino,Liverpool,32.16129032258065,76.62988966900703
2015,Kyle Walker,Tottenham,37.878787878787875,78.4
2015,Ashley Williams,Swansea,52.30555555555556,85.02389803505045
2015,Héctor Bellerín,Arsenal,46.861111111111114,85.65500889152341
2015,Younes Kaboul,Sunderland,28.304347826086957,68.3563748079877
2015,Winston Reid,West Ham,34.708333333333336,83.07322929171669
2015,Ramiro Funes Mori,Everton,44.214285714285715,83.76413570274637
2015,Chris Smalling,Man Utd,43.77142857142857,82.44125326370757
2015,Fernandinho,Man City,56.72727272727273,87.3931623931624
2015,Toby Alderweireld,Tottenham,54.63157894736842,80.49132947976878
2015,Simon Francis,Bournemouth,55.421052631578945,79.2022792022792
2015,Romelu Lukaku,Everton,29.675675675675677,72.58652094717668
2015,Robert Brady,Norwich,31.63888888888889,70.50043898156278
2015,Robert Huth,Leicester,23.142857142857142,71.60493827160494
2015,Erik Lamela,Tottenham,28.970588235294116,78.57868020304568
2015,Mark Noble,West Ham,52.0,86.38253638253637
2015,Nathan Aké,Watford,25.375,72.74220032840722
2015,Sadio Mané,Southampton,26.054054054054053,80.8091286307054
2015,Daley Blind,Man Utd,58.0,83.74384236453201
2015,Yannick Bolasie,Crystal Palace,19.46153846153846,72.5296442687747
2015,Cesc Fàbregas,Chelsea,76.45945945945945,83.9519264757865
2015,Aleksandar Kolarov,Man City,46.93103448275862,78.6921381337252
2015,Jordan Henderson,Liverpool,55.23529411764706,79.12673056443025
2015,Danny Simpson,Leicester,28.966666666666665,71.5765247410817
2015,Brede Hangeland,Crystal Palace,34.57142857142857,85.9504132231405
2015,Bacary Sagna,Man City,56.67857142857143,82.73471959672338
2015,Daniel Sturridge,Liverpool,22.642857142857142,78.23343848580441
2015,Patrick van Aanholt,Sunderland,32.36363636363637,77.43445692883894
2015,David Ospina,Arsenal,27.5,55.45454545454545
2015,Eden Hazard,Chelsea,45.70967741935484,85.95624558927312
2015,Francis Coquelin,Arsenal,42.88461538461539,89.14798206278027
2015,Yann M'Vila,Sunderland,45.32432432432432,81.3953488372093
2015,Lucas Leiva,Liverpool,55.0,83.43434343434343
2015,Jan Kirchhoff,Sunderland,36.6,69.76320582877959
2015,Karl Darlow,Newcastle,23.88888888888889,43.72093023255814
2015,Diego Costa,Chelsea,29.428571428571427,77.79126213592234
2015,Graziano Pellè,Southampton,29.0,66.0919540229885
2015,Adam Lallana,Liverpool,32.96666666666667,82.40647118301314
2015,Wes Morgan,Leicester,21.526315789473685,74.44987775061125
2015,Mamadou Sakho,Liverpool,56.5,87.85197103781175
2015,Heurelho Gomes,Watford,25.18421052631579,46.39498432601881
2015,Dusan Tadic,Southampton,25.61764705882353,73.36394948335247
2015,Giannelli Imbula,Stoke,55.142857142857146,87.8238341968912
2015,Olivier Giroud,Arsenal,22.07894736842105,68.05721096543505
2015,Wayne Rooney,Man Utd,40.857142857142854,83.12937062937063
2015,Eric Dier,Tottenham,56.32432432432432,83.30134357005758
2015,Jan Vertonghen,Tottenham,50.827586206896555,87.72048846675712
2015,Danny Welbeck,Arsenal,13.545454545454545,76.51006711409396
2015,Alberto Moreno,Liverpool,41.375,81.34441087613294
2015,Antonio Valencia,Man Utd,41.714285714285715,88.18493150684932
2015,Emre Can,Liverpool,59.8,81.27090301003345
2015,Marko Arnautovic,Stoke,31.794117647058822,79.46345975948196
2015,Scott Dann,Crystal Palace,31.885714285714286,75.26881720430107
2015,Marc Albrighton,Leicester,24.0,63.81578947368421
2015,Jack Cork,Swansea,48.91428571428571,83.76168224299066
2015,Moussa Sissoko,Newcastle,37.37837837837838,75.9942154736081
2015,Thomas Robson,Sunderland,36.0,69.44444444444444
2015,Steven Davis,Southampton,44.23529411764706,83.51063829787235
2015,Gareth Barry,Everton,62.42424242424242,81.89320388349515
2015,José Fonte,Southampton,43.83783783783784,83.97040690505548
2015,Pedro,Chelsea,33.44827586206897,83.81443298969073
2015,Wilfried Zaha,Crystal Palace,16.294117647058822,76.71480144404332
2015,Stephen Kingsley,Swansea,27.5,76.36363636363637
2015,Steve Cook,Bournemouth,43.77777777777778,81.40862944162437
2015,César Azpilicueta,Chelsea,48.62162162162162,81.65647581989994
2015,Mauro Zárate,West Ham,17.533333333333335,85.17110266159695
2015,Victor Wanyama,Southampton,45.06666666666667,82.39644970414201
2015,Jordan Pickford,Sunderland,35.0,31.428571428571427
2015,Craig Dawson,WBA,29.394736842105264,62.39928379588182
2015,Shane Long,Southampton,21.285714285714285,66.44295302013423
2015,Jores Okore,Aston Villa,27.5,80.60606060606061
2015,Étienne Capoue,Watford,46.78787878787879,79.20984455958549
2015,Philipp Wollscheid,Stoke,39.354838709677416,84.50819672131148
2015,James Morrison,WBA,32.888888888888886,83.61486486486487
2015,Claudio Yacob,WBA,32.088235294117645,78.27681026581118
2015,Chancel Mbemba,Newcastle,34.72727272727273,76.78883071553228
2015,Federico Fernández,Swansea,53.03125,84.79670005892753
2015,Wahbi Khazri,Sunderland,23.428571428571427,73.78048780487805
2015,Jason Puncheon,Crystal Palace,40.0,80.0
2015,André Ayew,Swansea,31.029411764705884,81.70616113744076
2015,Nemanja Matic,Chelsea,48.666666666666664,88.10709838107098
2015,Pablo Zabaleta,Man City,44.23076923076923,85.04347826086956
2015,Vito Mannone,Sunderland,29.42105263157895,39.89266547406082
