year,Name,Team,AvgP,PS%
2014,Eden Hazard,Chelsea,58.36842105263158,86.83498647430116
2014,Alexis Sánchez,Arsenal,42.0,76.80272108843538
2014,Sergio Agüero,Man City,25.242424242424242,85.59423769507804
2014,Cesc Fàbregas,Chelsea,80.6470588235294,85.19328956965718
2014,Santi Cazorla,Arsenal,64.02702702702703,89.02490502321655
2014,Mesut Özil,Arsenal,63.59090909090909,88.27734095782702
2014,Mile Jedinak,Crystal Palace,39.708333333333336,66.63168940188878
2014,David Silva,Man City,67.0625,85.69431500465983
2014,Phil Jones,Man Utd,52.77272727272727,85.27131782945736
2014,Morgan Schneiderlin,Southampton,61.15384615384615,89.30817610062893
2014,Nemanja Matic,Chelsea,63.80555555555556,86.41706573791903
2014,Francis Coquelin,Arsenal,45.5,85.81418581418582
2014,Victor Moses,Stoke,21.105263157894736,81.54613466334165
2014,Diego Costa,Chelsea,27.26923076923077,77.43300423131171
2014,Robert Huth,Leicester,18.928571428571427,74.71698113207546
2014,Yaya Touré,Man City,83.13793103448276,88.8842803815844
2014,James Tomkins,West Ham,33.45454545454545,75.27173913043478
2014,Laurent Koscielny,Arsenal,42.851851851851855,88.8504753673293
2014,Federico Fazio,Tottenham,44.65,80.85106382978722
2014,Gaël Clichy,Man City,59.0,81.50331613854091
2014,Gabriel Paulista,Arsenal,21.666666666666668,85.38461538461539
2014,Boaz Myhill,WBA,30.272727272727273,40.54054054054054
2014,Chris Smalling,Man Utd,48.0,88.58333333333334
2014,Jonás Gutiérrez,Newcastle,25.3,76.6798418972332
2014,Philippe Coutinho,Liverpool,45.74285714285714,80.1998750780762
2014,Nacho Monreal,Arsenal,44.5,85.553772070626
2014,Ander Herrera,Man Utd,59.76923076923077,89.1891891891892
2014,Curtis Davies,Hull,26.80952380952381,85.61278863232683
2014,Aleksandar Kolarov,Man City,38.714285714285715,80.56580565805658
2014,Jussi Jääskeläinen,West Ham,13.0,46.15384615384615
2014,Harry Kane,Tottenham,25.38235294117647,75.20278099652376
2014,Andy Carroll,West Ham,26.071428571428573,61.09589041095891
2014,Wayne Rooney,Man Utd,50.333333333333336,84.70800722456352
2014,Raheem Sterling,Liverpool,32.371428571428574,81.11209179170345
