Name,Team,Age,Position,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,Rating
Séamus Coleman,Everton,34,Defender,29,2560,1.5172413793103448,0.896551724137931,0.7586206896551724,0.20689655172413793,2.5517241379310347,0.3793103448275862,0.1724137931034483,6.875172413793102
Pierre-Emile Højbjerg,Southampton,28,Midfielder,31,2764,2.2903225806451615,1.935483870967742,1.5161290322580645,0.06451612903225806,0.9032258064516129,1.5806451612903225,0.25806451612903225,6.871935483870968
James Ward-Prowse,Southampton,28,Midfielder,26,1942,1.3846153846153846,1.0384615384615385,0.8461538461538461,0.038461538461538464,2.0384615384615383,1.1153846153846154,0.23076923076923078,6.871538461538462
Ashley Young,Man Utd,38,Defender,30,2569,1.7333333333333334,1.8333333333333333,1.2333333333333334,0.26666666666666666,1.9333333333333333,0.6333333333333333,0.3333333333333333,6.869
Wes Morgan,Leicester,39,Defender,22,1926,1.2272727272727273,1.4545454545454546,0.8181818181818182,0.6818181818181818,4.7272727272727275,0.045454545454545456,0.45454545454545453,6.867272727272728
John Stones,Man City,29,Defender,24,1763,0.6666666666666666,0.5833333333333334,0.25,0.3333333333333333,2.5,0.20833333333333334,0.375,6.86625
Rúben Neves,Wolves,26,Midfielder,35,3009,2.142857142857143,2.085714285714286,1.0571428571428572,0.0,1.2571428571428571,1.6,0.5142857142857142,6.863714285714287
Michy Batshuayi,Crystal Palace,29,Forward,11,757,0.18181818181818182,0.2727272727272727,0.6363636363636364,0.0,0.0,0.09090909090909091,0.2727272727272727,6.86090909090909
Ryan Babel,Fulham,36,Midfielder,16,1260,0.5,0.375,0.875,0.0,0.625,0.375,0.0,6.859375
Nathan Aké,Bournemouth,28,Defender,38,3412,1.736842105263158,0.8421052631578947,0.7368421052631579,0.8157894736842105,6.052631578947368,0.34210526315789475,0.9210526315789473,6.8586842105263175
Ben Mee,Burnley,33,Defender,38,3420,1.4473684210526316,1.263157894736842,0.7105263157894737,0.47368421052631576,6.105263157894737,0.23684210526315788,1.3157894736842106,6.858421052631579
