Name,Team,Age,Position,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
Riyad Mahrez,Leicester,32,Forward,37,3058,17,11,2.324324324324324,1.837837837837838,3.5405405405405403,2.2432432432432434,0.10810810810810811,2.3783783783783785,2.054054054054054,7.8448648648648645
Dimitri Payet,West Ham,36,Midfielder,30,2573,9,12,2.3,3.966666666666667,2.2333333333333334,1.3,0.1,1.7,1.7666666666666666,7.741999999999999
Alexis Sánchez,Arsenal,34,Forward,30,2446,13,4,3.566666666666667,2.066666666666667,3.3666666666666667,2.1666666666666665,0.43333333333333335,3.3333333333333335,2.3666666666666667,7.724666666666666
Mousa Dembélé,Tottenham,36,Midfielder,29,2273,3,1,0.7586206896551724,0.9655172413793104,2.8620689655172415,1.103448275862069,0.06896551724137931,2.1724137931034484,0.8275862068965517,7.69034482758621
Mesut Özil,Arsenal,34,Midfielder,35,3049,6,19,1.3714285714285714,4.171428571428572,1.3142857142857143,1.2285714285714286,0.42857142857142855,1.7142857142857142,2.0,7.657428571428572
N'Golo Kanté,Leicester,32,Midfielder,37,3020,1,4,0.5675675675675675,0.8108108108108109,1.2702702702702702,0.4594594594594595,0.0,0.7297297297297297,1.1891891891891893,7.612162162162163
Virgil van Dijk,Southampton,32,Defender,34,3060,3,0,0.8529411764705882,0.2647058823529412,0.47058823529411764,0.47058823529411764,0.058823529411764705,0.17647058823529413,0.2647058823529412,7.563529411764707
Harry Kane,Tottenham,30,Forward,38,3370,25,1,4.184210526315789,1.1578947368421053,1.263157894736842,1.4473684210526316,0.7894736842105263,2.4210526315789473,1.8421052631578947,7.52842105263158
Santi Cazorla,Arsenal,38,Midfielder,15,1293,0,3,1.6,2.533333333333333,2.466666666666667,0.9333333333333333,0.13333333333333333,1.3333333333333333,0.8666666666666667,7.527333333333333
Jamie Vardy,Leicester,36,Forward,36,3140,24,6,3.1944444444444446,1.3333333333333333,1.0833333333333333,0.8055555555555556,0.7222222222222222,0.75,1.8055555555555556,7.509722222222221
Christian Fuchs,Leicester,37,Defender,32,2710,0,4,0.59375,1.40625,0.21875,0.375,0.0,0.3125,0.6875,7.4993750000000015
Jordan Amavi,Aston Villa,29,Defender,10,836,0,2,0.5,0.7,2.5,1.1,0.0,0.7,1.1,7.484
Laurent Koscielny,Arsenal,37,Defender,33,2847,4,0,0.5757575757575758,0.24242424242424243,0.30303030303030304,0.7878787878787878,0.030303030303030304,0.36363636363636365,0.5151515151515151,7.475151515151517
Nicolás Otamendi,Man City,35,Defender,30,2672,1,0,0.9,0.16666666666666666,0.36666666666666664,1.0,0.0,0.23333333333333334,0.43333333333333335,7.472666666666668
Christian Eriksen,Tottenham,31,Midfielder,35,2942,6,13,2.857142857142857,3.2857142857142856,1.0,0.4857142857142857,0.0,1.8285714285714285,1.8285714285714285,7.449142857142856
Kevin De Bruyne,Man City,32,Midfielder,25,2004,7,9,1.96,3.24,1.44,0.72,0.32,1.4,1.68,7.445999999999998
Sergio Agüero,Man City,35,Forward,30,2375,24,2,3.966666666666667,0.9,2.2,1.2,0.9,3.3666666666666667,1.9666666666666666,7.3853333333333335
Luke Shaw,Man Utd,28,Defender,5,450,0,1,0.2,0.8,1.2,0.6,0.2,1.2,0.4,7.359999999999999
Andros Townsend,Newcastle,32,Midfielder,13,1089,4,2,1.8461538461538463,2.0,2.076923076923077,1.0,0.0,1.9230769230769231,2.3076923076923075,7.353076923076925
Dele Alli,Tottenham,27,Midfielder,33,2482,10,9,2.242424242424242,1.6666666666666667,0.9090909090909091,2.0,0.18181818181818182,2.5454545454545454,2.484848484848485,7.347878787878786
Michail Antonio,West Ham,33,Forward,26,2063,8,3,2.076923076923077,0.9230769230769231,1.8461538461538463,1.3076923076923077,0.4230769230769231,1.2692307692307692,2.5384615384615383,7.3476923076923075
Ross Barkley,Everton,29,Midfielder,38,3087,8,8,2.5,1.4736842105263157,3.0526315789473686,1.868421052631579,0.13157894736842105,2.0,1.631578947368421,7.3097368421052655
Danny Drinkwater,Leicester,33,Midfielder,35,3039,2,7,1.1714285714285715,1.2571428571428571,0.8857142857142857,0.7142857142857143,0.0,1.1142857142857143,0.7428571428571429,7.295142857142858
Philippe Coutinho,Liverpool,31,Midfielder,26,2005,8,5,4.269230769230769,1.9230769230769231,1.8846153846153846,1.1153846153846154,0.19230769230769232,2.1538461538461537,2.0,7.292692307692307
Troy Deeney,Watford,35,Forward,38,3293,13,7,2.473684210526316,1.4736842105263157,0.5789473684210527,0.9473684210526315,0.47368421052631576,1.5526315789473684,1.7894736842105263,7.284473684210525
