No,Player,Team,Apps,Min,G,NPG,A,xG,NPxG,xA,xGChain,xGBuildup,xG90,NPxG90,xA90,xG90+xA90,NPxG90+xA90,xGChain90,xGBuildup90
755,Jamie Vardy,Leicester,35,3034,23,19,5,18.90,15.10,6.37,21.03,1.72,0.56,0.45,0.19,0.75,0.64,0.62,0.05
318,Pierre-Emerick Aubameyang,Arsenal,36,3143,22,20,3,16.35,14.83,4.49,19.96,5.34,0.47,0.42,0.13,0.60,0.55,0.57,0.15
986,Danny Ings,Southampton,38,2836,22,21,2,15.66,14.14,2.85,18.49,5.02,0.50,0.45,0.09,0.59,0.54,0.59,0.16
618,Raheem Sterling,Manchester City,33,2678,20,20,1,19.80,18.28,7.21,31.44,10.19,0.67,0.61,0.24,0.91,0.86,1.06,0.34
1250,Mohamed Salah,Liverpool,34,2904,19,16,10,20.66,18.38,8.73,31.37,8.43,0.64,0.57,0.27,0.91,0.84,0.97,0.26
647,Harry Kane,Tottenham,29,2595,18,16,2,13.30,11.77,3.12,16.85,3.05,0.46,0.41,0.11,0.57,0.52,0.58,0.11
838,Sadio Mané,Liverpool,35,2761,18,18,7,14.58,14.58,7.24,25.07,6.77,0.48,0.48,0.24,0.71,0.71,0.82,0.22
553,Anthony Martial,Manchester United,32,2672,17,17,6,13.24,12.48,4.62,20.41,6.36,0.45,0.42,0.16,0.60,0.58,0.69,0.21
556,Marcus Rashford,Manchester United,31,2673,17,11,7,19.50,13.41,5.46,20.24,5.91,0.66,0.45,0.18,0.84,0.64,0.68,0.20
4105,Raúl Jiménez,Wolverhampton Wanderers,38,3269,17,13,6,16.51,13.47,7.23,22.56,5.71,0.45,0.37,0.20,0.65,0.57,0.62,0.16
619,Sergio Agüero,Manchester City,24,1462,16,14,3,15.56,13.27,2.92,16.88,2.64,0.96,0.82,0.18,1.14,1.00,1.04,0.16
702,Tammy Abraham,Chelsea,34,2233,15,15,3,18.08,18.08,2.91,19.84,1.55,0.73,0.73,0.12,0.85,0.85,0.80,0.06
447,Kevin De Bruyne,Manchester City,35,2818,14,12,20,8.11,6.58,20.62,37.80,19.24,0.26,0.21,0.66,0.92,0.87,1.21,0.61
4456,Chris Wood,Burnley,32,2462,14,13,1,17.23,16.47,1.47,12.64,2.46,0.63,0.60,0.05,0.68,0.66,0.46,0.09
5543,Gabriel Jesus,Manchester City,34,2022,14,14,7,21.02,20.25,3.60,27.65,7.18,0.94,0.90,0.16,1.10,1.06,1.23,0.32
5555,Dominic Calvert-Lewin,Everton,36,2639,13,13,1,16.11,16.11,1.34,17.21,3.90,0.55,0.55,0.05,0.59,0.59,0.59,0.13
