Name,Team,Age,Position,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,Rating
Kevin De Bruyne,Man City,32,Midfielder,35,2800,1.2857142857142858,0.5142857142857142,0.7428571428571429,0.02857142857142857,0.6571428571428571,1.3714285714285714,0.11428571428571428,7.966285714285718
Bruno Fernandes,Man Utd,28,Midfielder,14,1223,1.5714285714285714,0.7857142857142857,0.6428571428571429,0.0,1.0,2.357142857142857,0.0,7.732857142857143
Ricardo Pereira,Leicester,29,Defender,28,2520,4.25,1.75,1.6071428571428572,0.25,2.642857142857143,1.8928571428571428,0.21428571428571427,7.500714285714286
Adama Traoré,Wolves,27,Forward,37,2608,0.8918918918918919,0.35135135135135137,1.054054054054054,0.02702702702702703,0.35135135135135137,0.40540540540540543,0.08108108108108109,7.4854054054054044
Riyad Mahrez,Man City,32,Forward,33,1942,0.8484848484848485,0.5454545454545454,0.3939393939393939,0.0,0.21212121212121213,0.8181818181818182,0.030303030303030304,7.481818181818181
Sadio Mané,Liverpool,31,Forward,35,2756,1.2571428571428571,0.37142857142857144,1.3142857142857143,0.02857142857142857,0.2,0.7714285714285715,0.0,7.45
Mohamed Salah,Liverpool,31,Forward,34,2888,0.47058823529411764,0.23529411764705882,0.5,0.029411764705882353,0.058823529411764705,0.5,0.029411764705882353,7.4017647058823535
Raheem Sterling,Man City,28,Forward,33,2661,0.8181818181818182,0.45454545454545453,0.9090909090909091,0.0,0.12121212121212122,0.6666666666666666,0.06060606060606061,7.35
Marcus Rashford,Man Utd,25,Forward,31,2655,0.41935483870967744,0.3225806451612903,0.6774193548387096,0.0,0.5161290322580645,0.45161290322580644,0.0,7.3493548387096785
James Maddison,Leicester,26,Midfielder,31,2629,1.903225806451613,0.2903225806451613,1.1612903225806452,0.0,0.16129032258064516,1.4516129032258065,0.0,7.336774193548389
Harry Kane,Tottenham,30,Forward,29,2590,0.6206896551724138,0.20689655172413793,1.2758620689655173,0.0,1.0344827586206897,0.4482758620689655,0.2413793103448276,7.329655172413793
Virgil van Dijk,Liverpool,32,Defender,38,3420,0.6052631578947368,1.0526315789473684,0.42105263157894735,1.0263157894736843,4.2631578947368425,0.18421052631578946,0.39473684210526316,7.316052631578947
Anthony Martial,Man Utd,27,Forward,32,2640,0.46875,0.15625,0.875,0.03125,0.46875,0.46875,0.03125,7.31125
Willian,Chelsea,35,Forward,36,2605,1.25,0.5555555555555556,0.4722222222222222,0.0,0.19444444444444445,0.8055555555555556,0.0,7.309722222222222
Marcos Alonso,Chelsea,32,Defender,18,1433,1.5555555555555556,1.1111111111111112,0.8888888888888888,0.16666666666666666,1.3888888888888888,1.0555555555555556,0.1111111111111111,7.297777777777778
Michail Antonio,West Ham,33,Forward,24,1773,0.5416666666666666,0.375,1.7083333333333333,0.0,0.20833333333333334,0.4166666666666667,0.08333333333333333,7.293749999999999
Allan Saint-Maximin,Newcastle,26,Forward,26,1874,0.5,0.34615384615384615,0.6923076923076923,0.0,0.15384615384615385,0.5384615384615384,0.07692307692307693,7.289615384615386
Joël Matip,Liverpool,32,Defender,9,704,1.4444444444444444,1.3333333333333333,0.7777777777777778,1.0,4.111111111111111,0.7777777777777778,0.4444444444444444,7.28888888888889
David Silva,Man City,37,Midfielder,27,1833,0.9629629629629629,0.48148148148148145,0.7407407407407407,0.0,0.18518518518518517,0.6666666666666666,0.1111111111111111,7.287407407407408
Gabriel Jesus,Man City,26,Forward,34,2026,0.5,0.3235294117647059,0.7941176470588235,0.029411764705882353,0.17647058823529413,0.5294117647058824,0.029411764705882353,7.263529411764704
Raúl Jiménez,Wolves,32,Forward,38,3252,0.5263157894736842,0.42105263157894735,1.0263157894736843,0.0,0.8421052631578947,0.7368421052631579,0.0,7.246842105263158
Son Heung-Min,Tottenham,31,Forward,30,2487,0.7666666666666667,0.6333333333333333,0.5666666666666667,0.0,0.5666666666666667,1.6,0.0,7.242666666666667
Jack Grealish,Aston Villa,27,Midfielder,36,3234,0.8055555555555556,0.5833333333333334,0.9444444444444444,0.0,0.2777777777777778,0.5833333333333334,0.3333333333333333,7.22722222222222
Wilfred Ndidi,Leicester,26,Midfielder,32,2674,4.0,2.5,1.75,0.0,1.90625,1.4375,0.1875,7.227187499999999
Jamie Vardy,Leicester,36,Forward,35,3034,0.42857142857142855,0.05714285714285714,0.5714285714285714,0.0,0.6285714285714286,0.05714285714285714,0.11428571428571428,7.222857142857143
João Cancelo,Man City,29,Defender,17,1206,2.3529411764705883,1.2352941176470589,1.0,0.11764705882352941,0.9411764705882353,0.9411764705882353,0.11764705882352941,7.209411764705882
Trent Alexander-Arnold,Liverpool,24,Defender,38,3176,1.4473684210526316,1.1842105263157894,0.5789473684210527,0.47368421052631576,1.8421052631578947,1.105263157894737,0.23684210526315788,7.202368421052633
Aaron Wan-Bissaka,Man Utd,25,Defender,35,3102,3.6857142857142855,1.8571428571428572,0.6,0.37142857142857144,1.6571428571428573,0.6285714285714286,0.37142857142857144,7.194857142857144
Richarlison,Everton,26,Forward,36,3111,1.9444444444444444,0.3333333333333333,1.1944444444444444,0.0,1.1111111111111112,0.7777777777777778,0.1111111111111111,7.190277777777776
Willy Boly,Wolves,32,Defender,22,1980,2.590909090909091,1.7727272727272727,1.0909090909090908,0.09090909090909091,4.681818181818182,0.8181818181818182,0.5,7.187272727272727
James Tarkowski,Burnley,30,Defender,38,3420,1.736842105263158,1.6578947368421053,1.2894736842105263,0.39473684210526316,5.2631578947368425,0.6052631578947368,1.236842105263158,7.186315789473682
Paul Pogba,Man Utd,30,Midfielder,16,1205,1.25,0.4375,1.625,0.0,0.625,0.5,0.25,7.181875000000001
Christian Pulisic,Chelsea,24,Midfielder,25,1727,0.92,0.24,0.56,0.0,0.28,0.68,0.0,7.176799999999999
Sergio Agüero,Man City,35,Forward,24,1460,0.2916666666666667,0.125,0.375,0.0,0.08333333333333333,0.2916666666666667,0.041666666666666664,7.161666666666668
Lucas Digne,Everton,30,Defender,35,3035,2.085714285714286,1.2,1.2285714285714286,0.17142857142857143,2.657142857142857,1.0,0.2857142857142857,7.1565714285714295
James Ward-Prowse,Southampton,28,Midfielder,38,3420,2.4210526315789473,1.5789473684210527,1.5,0.07894736842105263,1.868421052631579,1.4473684210526316,0.3684210526315789,7.152631578947369
Jordan Henderson,Liverpool,33,Midfielder,30,2244,2.1,1.0,1.0333333333333334,0.06666666666666667,0.6,1.1,0.13333333333333333,7.149
Tomás Soucek,West Ham,28,Midfielder,13,1041,2.230769230769231,1.6923076923076923,0.8461538461538461,0.0,2.6153846153846154,1.0,0.07692307692307693,7.140769230769232
Roberto Firmino,Liverpool,31,Forward,38,3003,0.9736842105263158,0.18421052631578946,0.7631578947368421,0.13157894736842105,0.2894736842105263,0.868421052631579,0.07894736842105263,7.140526315789475
César Azpilicueta,Chelsea,34,Defender,36,3230,2.388888888888889,1.8611111111111112,1.1111111111111112,0.05555555555555555,2.25,0.9444444444444444,0.5833333333333334,7.124444444444446
Harry Maguire,Man Utd,30,Defender,38,3450,0.9736842105263158,1.894736842105263,0.868421052631579,0.4473684210526316,4.131578947368421,0.42105263157894735,0.5789473684210527,7.120263157894737
Danny Ings,Southampton,31,Forward,38,2815,1.105263157894737,0.23684210526315788,0.9473684210526315,0.02631578947368421,0.631578947368421,1.4210526315789473,0.10526315789473684,7.118157894736841
Andy Robertson,Liverpool,29,Defender,36,3114,1.5,1.0555555555555556,0.5,0.5277777777777778,1.6111111111111112,0.9444444444444444,0.19444444444444445,7.111666666666666
Dejan Lovren,Liverpool,34,Defender,10,777,1.3,1.0,0.4,1.7,4.1,0.5,0.6,7.0920000000000005
Rodri,Man City,27,Midfielder,35,2488,1.4285714285714286,0.7428571428571429,1.2285714285714286,0.05714285714285714,0.9142857142857143,1.1428571428571428,0.14285714285714285,7.090857142857142
Sébastien Haller,West Ham,29,Forward,32,2263,0.6875,0.25,1.4375,0.03125,0.8125,0.84375,0.15625,7.080312499999998
Emiliano Buendía,Norwich,26,Midfielder,36,2465,2.2777777777777777,0.6388888888888888,1.0,0.0,0.6666666666666666,2.2222222222222223,0.1388888888888889,7.075833333333332
Luke Thomas,Leicester,22,Defender,3,268,0.3333333333333333,1.0,0.3333333333333333,1.3333333333333333,2.3333333333333335,1.0,0.0,7.07
Nicolas Pépé,Arsenal,28,Forward,31,2016,1.032258064516129,0.25806451612903225,0.45161290322580644,0.0,0.12903225806451613,0.25806451612903225,0.06451612903225806,7.060645161290322
Sèrge Aurier,Tottenham,30,Defender,33,2706,2.8181818181818183,1.4242424242424243,1.2424242424242424,0.15151515151515152,2.5454545454545454,0.9090909090909091,0.18181818181818182,7.06
Dwight McNeil,Burnley,23,Forward,38,3345,1.236842105263158,0.7894736842105263,0.7631578947368421,0.02631578947368421,0.7105263157894737,1.263157894736842,0.21052631578947367,7.059736842105264
Diego Rico,Bournemouth,30,Defender,27,2336,2.259259259259259,3.111111111111111,0.6666666666666666,0.2222222222222222,2.2222222222222223,1.1111111111111112,0.25925925925925924,7.0596296296296295
