Name,Team,Age,Position,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,Rating
Kevin De Bruyne,Man City,32,Midfielder,30,2205,1.0666666666666667,0.2,0.7,0.03333333333333333,0.5333333333333333,0.8333333333333334,0.06666666666666667,7.633000000000001
Mohamed Salah,Liverpool,31,Forward,35,2763,0.4857142857142857,0.17142857142857143,0.34285714285714286,0.0,0.11428571428571428,0.37142857142857144,0.02857142857142857,7.543714285714285
Trent Alexander-Arnold,Liverpool,24,Defender,32,2854,1.25,1.34375,0.375,0.4375,1.03125,1.03125,0.125,7.515
Son Heung-Min,Tottenham,31,Forward,35,3021,0.42857142857142855,0.37142857142857144,0.4,0.0,0.22857142857142856,0.5142857142857142,0.17142857142857143,7.514571428571428
Kenedy,Chelsea,27,Midfielder,1,59,5.0,0.0,0.0,0.0,0.0,1.0,0.0,7.46
Harry Kane,Tottenham,30,Forward,37,3232,0.40540540540540543,0.08108108108108109,1.135135135135135,0.05405405405405406,1.054054054054054,0.2972972972972973,0.21621621621621623,7.4497297297297305
Luis Díaz,Liverpool,26,Forward,13,964,0.6923076923076923,0.3076923076923077,1.0769230769230769,0.0,0.15384615384615385,0.46153846153846156,0.0,7.440769230769231
Rodri,Man City,27,Midfielder,33,2887,2.1818181818181817,0.8484848484848485,1.303030303030303,0.09090909090909091,1.2727272727272727,0.8181818181818182,0.15151515151515152,7.433333333333334
Ben Chilwell,Chelsea,26,Defender,7,541,1.1428571428571428,0.5714285714285714,1.4285714285714286,0.14285714285714285,2.0,0.42857142857142855,0.0,7.424285714285714
João Cancelo,Man City,29,Defender,36,3228,2.3055555555555554,1.6388888888888888,0.9444444444444444,0.3055555555555556,0.8611111111111112,1.25,0.08333333333333333,7.419166666666666
Kieran Trippier,Newcastle,32,Defender,6,430,2.8333333333333335,1.6666666666666667,0.5,0.16666666666666666,1.6666666666666667,1.0,0.5,7.375
Christian Eriksen,Brentford,31,Midfielder,11,938,1.1818181818181819,0.8181818181818182,0.45454545454545453,0.0,1.0909090909090908,0.8181818181818182,0.09090909090909091,7.373636363636362
Joël Matip,Liverpool,32,Defender,31,2790,1.5161290322580645,1.4193548387096775,0.41935483870967744,1.4193548387096775,2.903225806451613,0.3548387096774194,0.45161290322580644,7.3599999999999985
