Name,Team,Age,Position,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
Asmir Begovic,Everton,36,Goalkeeper,1,90,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.82
Kevin De Bruyne,Man City,32,Midfielder,32,2425,7,16,2.03125,3.0625,1.0,0.90625,0.15625,0.90625,1.3125,7.584375000000001
Stefan Ortega,Man City,30,Goalkeeper,3,270,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.56
Erling Haaland,Man City,23,Forward,35,2779,36,8,3.5142857142857142,0.8571428571428571,0.3142857142857143,0.6857142857142857,0.22857142857142856,0.7428571428571429,1.457142857142857,7.539428571428571
Harry Kane,Tottenham,30,Forward,38,3408,30,3,3.4210526315789473,1.5,1.0526315789473684,1.4736842105263157,0.42105263157894735,1.5263157894736843,1.9473684210526316,7.505526315789476
Bruno Fernandes,Man Utd,28,Midfielder,37,3320,8,8,2.4864864864864864,3.2162162162162162,0.8648648648648649,1.054054054054054,0.40540540540540543,1.135135135135135,1.135135135135135,7.4383783783783795
Gabriel Jesus,Arsenal,26,Forward,26,2075,11,6,2.9615384615384617,1.1923076923076923,1.7307692307692308,2.1538461538461537,0.6153846153846154,2.5,3.3846153846153846,7.424615384615384
Kieran Trippier,Newcastle,32,Defender,38,3348,1,7,0.3684210526315789,2.8947368421052633,0.5,0.7631578947368421,0.18421052631578946,0.23684210526315788,0.7105263157894737,7.405263157894738
Bukayo Saka,Arsenal,21,Midfielder,38,3195,14,11,2.3421052631578947,1.9736842105263157,1.6578947368421053,1.7105263157894737,0.23684210526315788,1.5526315789473684,2.0526315789473686,7.399736842105263
Solly March,Brighton,29,Midfielder,33,2728,7,7,2.242424242424242,2.0303030303030303,1.7575757575757576,1.1818181818181819,0.36363636363636365,0.9696969696969697,1.6666666666666667,7.376060606060609
Jack Grealish,Man City,27,Midfielder,28,2064,5,7,1.4642857142857142,1.7857142857142858,1.6071428571428572,2.7857142857142856,0.10714285714285714,1.0357142857142858,1.2857142857142858,7.326785714285714
Martin Ødegaard,Arsenal,24,Midfielder,37,3149,15,7,2.5135135135135136,2.054054054054054,1.2972972972972974,0.7027027027027027,0.02702702702702703,1.2162162162162162,1.135135135135135,7.293243243243242
Rodri,Man City,27,Midfielder,36,2921,2,6,1.3888888888888888,0.8888888888888888,0.6944444444444444,0.5555555555555556,0.08333333333333333,0.5277777777777778,0.5833333333333334,7.256666666666667
Gabriel Martinelli,Arsenal,22,Forward,36,2806,15,5,2.1944444444444446,1.6388888888888888,1.6666666666666667,1.0277777777777777,0.2222222222222222,1.5555555555555556,2.3055555555555554,7.248888888888889
Ivan Toney,Brentford,27,Forward,33,2955,20,4,2.8484848484848486,0.8181818181818182,0.48484848484848486,2.242424242424242,0.8181818181818182,1.4242424242424243,3.0303030303030303,7.247575757575757
Joelinton,Newcastle,27,Forward,32,2664,6,1,1.59375,0.8125,1.65625,1.0625,0.03125,1.59375,2.25,7.244999999999999
James Maddison,Leicester,26,Midfielder,30,2486,10,9,2.8333333333333335,2.3,1.5333333333333334,2.6333333333333333,0.2,1.0333333333333334,1.5,7.241666666666666
Rodrigo Bentancur,Tottenham,26,Midfielder,18,1506,5,2,0.8333333333333334,0.6111111111111112,1.1666666666666667,0.4444444444444444,0.0,0.9444444444444444,1.2222222222222223,7.223333333333333
Bruno Guimarães,Newcastle,25,Midfielder,32,2735,4,5,0.875,1.3125,1.40625,2.59375,0.03125,1.875,1.4375,7.212499999999999
Casemiro,Man Utd,31,Midfielder,28,2126,4,3,1.2142857142857142,1.0,0.32142857142857145,0.8571428571428571,0.03571428571428571,0.5,0.6428571428571429,7.173928571428573
Mohamed Salah,Liverpool,31,Forward,38,3297,19,12,3.289473684210526,1.7105263157894737,1.3421052631578947,0.868421052631579,0.5789473684210527,2.1052631578947367,2.8947368421052633,7.1605263157894745
Phil Foden,Man City,23,Midfielder,32,1844,11,5,1.4375,1.34375,1.25,0.90625,0.1875,0.90625,1.0625,7.130624999999999
Ilkay Gündogan,Man City,32,Midfielder,31,2359,8,4,1.7419354838709677,1.1935483870967742,0.5161290322580645,0.8064516129032258,0.1935483870967742,0.8709677419354839,0.9032258064516129,7.1106451612903205
Trent Alexander-Arnold,Liverpool,24,Defender,37,2932,2,9,1.0810810810810811,1.9189189189189189,0.8108108108108109,0.16216216216216217,0.13513513513513514,0.5675675675675675,0.9459459459459459,7.108108108108107
Ethan Pinnock,Brentford,30,Defender,30,2700,3,0,0.5,0.26666666666666666,0.06666666666666667,0.3333333333333333,0.0,0.23333333333333334,0.2,7.107333333333332
Aleksandar Mitrovic,Fulham,28,Forward,24,2015,14,1,3.875,0.6666666666666666,0.9583333333333334,1.6666666666666667,0.5833333333333334,2.4166666666666665,2.7083333333333335,7.082083333333334
Marcus Rashford,Man Utd,25,Forward,35,2890,17,5,3.085714285714286,0.8571428571428571,1.542857142857143,0.6571428571428571,0.42857142857142855,1.2571428571428571,2.2857142857142856,7.079142857142858
Reece James,Chelsea,23,Defender,16,1244,1,1,1.0,1.3125,1.375,1.125,0.25,0.875,0.8125,7.072500000000002
Thomas Partey,Arsenal,30,Midfielder,33,2487,3,0,0.8484848484848485,0.7878787878787878,1.0606060606060606,0.696969696969697,0.0,0.5757575757575758,1.0,7.063636363636363
Felipe,Nottingham Forest,34,Defender,16,1419,0,1,0.8125,0.4375,0.875,0.6875,0.25,0.25,0.75,7.061875000000001
Cody Gakpo,Liverpool,24,Forward,21,1465,7,2,1.8571428571428572,1.0952380952380953,1.0952380952380953,1.5714285714285714,0.38095238095238093,1.7142857142857142,2.0476190476190474,7.06142857142857
Alexander Isak,Newcastle,23,Forward,22,1527,10,1,2.3181818181818183,0.7272727272727273,1.4545454545454546,0.6818181818181818,0.22727272727272727,1.1363636363636365,1.7727272727272727,7.055909090909091
Alexis Mac Allister,Brighton,24,Midfielder,35,2886,10,2,2.4571428571428573,1.3428571428571427,1.2,1.6285714285714286,0.0,1.0285714285714285,1.3428571428571427,7.049714285714285
Fabian Schär,Newcastle,31,Defender,36,3209,1,3,1.5555555555555556,0.5277777777777778,0.1111111111111111,0.75,0.16666666666666666,0.19444444444444445,0.5555555555555556,7.045833333333334
