No,Player,Team,Apps,Min,G,NPG,A,xG,NPxG,xA,xGChain,xGBuildup,xG90,NPxG90,xA90,xG90+xA90,NPxG90+xA90,xGChain90,xGBuildup90
647,Harry Kane,Tottenham,35,3097,23,19,14,22.17,19.13,7.58,25.00,4.45,0.64,0.56,0.22,0.86,0.78,0.73,0.13
1250,Mohamed Salah,Liverpool,37,3085,22,16,5,20.25,15.68,6.53,28.97,9.80,0.59,0.46,0.19,0.78,0.65,0.85,0.29
1228,Bruno Fernandes,Manchester United,37,3117,18,9,12,16.02,8.41,11.47,26.91,11.93,0.46,0.24,0.33,0.79,0.57,0.78,0.34
453,Son Heung-Min,Tottenham,37,3139,17,16,10,11.02,10.26,9.51,20.67,6.61,0.32,0.29,0.27,0.59,0.57,0.59,0.19
822,Patrick Bamford,Leeds,38,3085,17,15,7,18.40,16.88,3.78,23.39,4.13,0.54,0.49,0.11,0.65,0.60,0.68,0.12
5555,Dominic Calvert-Lewin,Everton,33,2878,16,16,0,18.21,18.21,2.10,19.88,4.27,0.57,0.57,0.07,0.64,0.64,0.62,0.13
755,Jamie Vardy,Leicester,34,2848,15,7,9,19.94,13.09,5.09,18.23,2.41,0.63,0.41,0.16,0.79,0.57,0.58,0.08
8865,Ollie Watkins,Aston Villa,37,3330,14,13,5,16.28,14.76,5.31,22.01,5.33,0.44,0.40,0.14,0.58,0.54,0.59,0.14
314,Ilkay Gündogan,Manchester City,28,2033,13,12,2,9.57,8.04,3.82,19.29,10.15,0.42,0.36,0.17,0.59,0.53,0.85,0.45
3277,Alexandre Lacazette,Arsenal,31,1939,13,10,2,12.03,9.75,2.21,14.36,2.94,0.56,0.45,0.10,0.66,0.55,0.67,0.14
468,Callum Wilson,Newcastle United,26,2079,12,8,5,13.59,10.55,3.05,14.21,1.05,0.59,0.46,0.13,0.72,0.59,0.61,0.05
620,Kelechi Iheanacho,Leicester,25,1452,12,12,2,9.05,8.29,3.53,13.96,3.43,0.56,0.51,0.22,0.78,0.73,0.87,0.21
986,Danny Ings,Southampton,29,2200,12,10,4,8.28,6.75,2.31,10.48,2.48,0.34,0.28,0.09,0.43,0.37,0.43,0.10
4456,Chris Wood,Burnley,33,2765,12,10,3,12.95,11.43,2.04,13.59,2.15,0.42,0.37,0.07,0.49,0.44,0.44,0.07
522,Wilfried Zaha,Crystal Palace,30,2615,11,9,2,8.80,7.28,3.70,13.58,3.63,0.30,0.25,0.13,0.43,0.38,0.47,0.13
556,Marcus Rashford,Manchester United,37,2941,11,11,9,9.58,9.58,4.19,20.44,8.93,0.29,0.29,0.13,0.42,0.42,0.63,0.27
838,Sadio Mané,Liverpool,35,2805,11,11,7,14.83,14.83,7.79,25.00,6.06,0.48,0.48,0.25,0.73,0.73,0.80,0.19
2251,Gareth Bale,Tottenham,20,909,11,11,2,5.80,5.80,1.84,8.15,2.59,0.57,0.57,0.18,0.76,0.76,0.81,0.26
7153,Matheus Pereira,West Bromwich Albion,33,2594,11,7,6,6.95,3.90,6.36,10.86,3.76,0.24,0.14,0.22,0.46,0.36,0.38,0.13
318,Pierre-Emerick Aubameyang,Arsenal,29,2333,10,8,3,10.45,8.93,2.43,15.11,3.96,0.40,0.34,0.09,0.50,0.44,0.58,0.15
531,Michail Antonio,West Ham,26,1993,10,10,5,14.14,14.14,3.19,19.27,2.77,0.64,0.64,0.14,0.78,0.78,0.87,0.13
606,Christian Benteke,Crystal Palace,30,1824,10,10,1,7.46,7.46,0.70,8.47,3.15,0.37,0.37,0.03,0.40,0.40,0.42,0.16
618,Raheem Sterling,Manchester City,31,2539,10,10,7,12.05,11.29,6.63,25.88,12.17,0.43,0.40,0.23,0.66,0.64,0.92,0.43
3294,Edinson Cavani,Manchester United,26,1355,10,10,3,8.60,8.60,2.32,12.26,2.73,0.57,0.57,0.15,0.73,0.73,0.81,0.18
5612,Anwar El Ghazi,Aston Villa,28,1612,10,6,0,9.04,5.99,1.88,7.85,2.69,0.50,0.33,0.11,0.61,0.44,0.44,0.15
5656,Nicolas Pepe,Arsenal,29,1602,10,9,1,6.00,5.24,1.01,9.36,4.22,0.34,0.29,0.06,0.39,0.35,0.53,0.24
8288,Tomas Soucek,West Ham,38,3420,10,10,1,8.98,8.98,2.44,17.00,8.72,0.24,0.24,0.06,0.30,0.30,0.45,0.23
482,Roberto Firmino,Liverpool,36,2882,9,9,7,12.86,12.86,6.12,25.27,10.20,0.40,0.40,0.19,0.59,0.59,0.79,0.32
558,Jesse Lingard,West Ham,16,1434,9,8,4,5.25,3.73,2.33,10.10,5.69,0.33,0.23,0.15,0.48,0.38,0.63,0.36
750,Riyad Mahrez,Manchester City,27,1961,9,9,6,6.23,6.23,6.09,18.85,9.17,0.29,0.29,0.28,0.57,0.57,0.86,0.42
5543,Gabriel Jesus,Manchester City,29,2053,9,9,4,9.65,9.65,3.55,17.88,6.23,0.42,0.42,0.16,0.58,0.58,0.78,0.27
6055,Phil Foden,Manchester City,28,1606,9,9,5,6.08,6.08,4.75,13.84,5.49,0.34,0.34,0.27,0.61,0.61,0.78,0.31
6681,Harvey Barnes,Leicester,25,1954,9,9,4,6.70,6.70,1.77,8.89,1.59,0.31,0.31,0.08,0.39,0.39,0.41,0.07
6854,Diogo Jota,Liverpool,19,1114,9,9,0,7.06,7.06,1.76,10.97,4.08,0.57,0.57,0.14,0.71,0.71,0.89,0.33
7700,Che Adams,Southampton,36,2685,9,9,5,12.12,12.12,5.23,14.49,2.74,0.41,0.41,0.18,0.58,0.58,0.49,0.09
843,James Ward-Prowse,Southampton,38,3420,8,5,7,5.44,2.40,4.07,10.64,9.40,0.14,0.06,0.11,0.25,0.17,0.28,0.25
1776,Jarrod Bowen,West Ham,38,2599,8,8,5,7.99,7.99,5.23,14.17,3.10,0.28,0.28,0.18,0.46,0.46,0.49,0.11
3621,Neal Maupay,Brighton,33,2526,8,5,2,13.77,10.73,4.28,17.16,3.38,0.49,0.38,0.15,0.64,0.53,0.61,0.12
6630,Joe Willock,Arsenal,21,1215,8,8,0,5.09,4.33,0.73,7.01,2.99,0.38,0.32,0.05,0.43,0.37,0.52,0.22
6818,James Maddison,Leicester,31,2123,8,8,5,3.83,3.83,5.39,11.74,6.07,0.16,0.16,0.23,0.39,0.39,0.50,0.26
7711,David McGoldrick,Sheffield United,35,2409,8,8,1,7.61,7.61,1.12,9.95,3.25,0.28,0.28,0.04,0.33,0.33,0.37,0.12
8718,Stuart Dallas,Leeds,38,3412,8,8,2,4.46,4.46,2.08,18.53,13.81,0.12,0.12,0.05,0.17,0.17,0.49,0.36
8720,Jack Harrison,Leeds,36,2871,8,8,8,6.25,6.25,7.52,19.40,8.04,0.20,0.20,0.24,0.43,0.43,0.61,0.25
695,Bertrand Traoré,Aston Villa,36,2362,7,7,6,6.30,6.30,4.57,9.84,1.33,0.24,0.24,0.17,0.41,0.41,0.37,0.05
1389,Jorginho,Chelsea,28,2022,7,0,1,6.97,0.12,1.95,11.38,10.88,0.31,0.01,0.09,0.40,0.09,0.51,0.48
2381,Rodrigo,Leeds,26,1285,7,7,2,5.76,5.76,3.20,10.82,4.35,0.40,0.40,0.22,0.63,0.63,0.76,0.30
6026,Richarlison,Everton,34,2883,7,6,3,10.67,9.91,3.39,15.86,5.17,0.33,0.31,0.11,0.44,0.42,0.50,0.16
6441,Ferrán Torres,Manchester City,24,1305,7,7,2,5.73,5.73,2.20,10.00,2.96,0.40,0.40,0.15,0.55,0.55,0.69,0.20
7490,Mason Greenwood,Manchester United,31,1825,7,7,2,6.98,6.98,2.43,14.03,5.95,0.34,0.34,0.12,0.46,0.46,0.69,0.29
65,Timo Werner,Chelsea,35,2605,6,6,8,13.43,13.43,6.67,20.53,5.24,0.46,0.46,0.23,0.69,0.69,0.71,0.18
447,Kevin De Bruyne,Manchester City,25,2008,6,4,12,9.98,7.70,10.96,22.52,11.30,0.45,0.35,0.49,0.94,0.84,1.01,0.51
501,Danny Welbeck,Brighton,24,1551,6,6,1,7.38,6.62,3.23,10.27,1.48,0.43,0.38,0.19,0.62,0.57,0.60,0.09
675,Jack Grealish,Aston Villa,26,2187,6,6,10,5.19,5.19,9.33,17.49,6.97,0.21,0.21,0.38,0.60,0.60,0.72,0.29
702,Tammy Abraham,Chelsea,22,1027,6,6,1,6.19,6.19,0.72,7.90,2.12,0.54,0.54,0.06,0.61,0.61,0.69,0.19
714,Gylfi Sigurdsson,Everton,36,2250,6,3,5,6.40,3.36,4.84,8.48,3.66,0.26,0.13,0.19,0.45,0.33,0.34,0.15
2249,James Rodríguez,Everton,23,1802,6,6,4,3.36,3.36,5.44,12.03,7.10,0.17,0.17,0.27,0.44,0.44,0.60,0.35
5956,Youri Tielemans,Leicester,38,3359,6,4,4,4.17,2.65,3.31,18.98,14.95,0.11,0.07,0.09,0.20,0.16,0.51,0.40
7768,Mason Mount,Chelsea,36,2891,6,5,5,6.88,6.12,9.85,21.70,12.44,0.21,0.19,0.31,0.52,0.50,0.68,0.39
8026,Raphinha,Leeds,30,2369,6,6,9,6.22,6.22,9.52,16.79,6.68,0.24,0.24,0.36,0.60,0.60,0.64,0.25
935,Kurt Zouma,Chelsea,24,2024,5,5,0,3.14,3.14,0.08,6.22,6.13,0.14,0.14,0.00,0.14,0.14,0.28,0.27
2335,Pablo Fornals,West Ham,33,2603,5,5,4,6.75,6.75,2.53,16.32,8.43,0.23,0.23,0.09,0.32,0.32,0.56,0.29
4476,Callum Robinson,West Bromwich Albion,28,1580,5,5,0,3.20,3.20,1.05,5.22,1.60,0.18,0.18,0.06,0.24,0.24,0.30,0.09
6048,Lewis Dunk,Brighton,33,2934,5,5,0,2.71,2.71,0.83,8.38,7.97,0.08,0.08,0.03,0.11,0.11,0.26,0.24
6382,Pedro Neto,Wolverhampton Wanderers,31,2570,5,5,6,5.49,5.49,5.74,11.52,4.21,0.19,0.19,0.20,0.39,0.39,0.40,0.15
6827,Bobby Reid,Fulham,33,2394,5,5,2,4.27,4.27,1.31,8.20,3.13,0.16,0.16,0.05,0.21,0.21,0.31,0.12
6853,Rúben Neves,Wolverhampton Wanderers,36,2681,5,2,1,4.74,2.46,2.06,7.00,4.67,0.16,0.08,0.07,0.23,0.15,0.23,0.16
7322,Bukayo Saka,Arsenal,32,2577,5,5,3,7.17,7.17,4.51,18.29,9.18,0.25,0.25,0.16,0.41,0.41,0.64,0.32
