Name,Team,Age,Position,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
Harry Kane,Tottenham,30,Forward,35,3087,23,14,3.914285714285714,1.4,1.4857142857142858,1.7142857142857142,0.37142857142857144,1.542857142857143,1.8,7.787142857142859
Kevin De Bruyne,Man City,32,Midfielder,25,2001,6,12,3.2,3.2,1.92,1.24,0.04,1.32,1.8,7.6536
Jack Grealish,Aston Villa,27,Midfielder,26,2184,6,10,1.9230769230769231,3.1153846153846154,2.5,4.230769230769231,0.2692307692307692,1.5,2.1153846153846154,7.560384615384615
Bruno Fernandes,Man Utd,28,Midfielder,37,3110,18,12,3.27027027027027,2.5675675675675675,0.6216216216216216,1.4054054054054055,0.08108108108108109,1.0,1.5135135135135136,7.429189189189188
Tomás Soucek,West Ham,28,Midfielder,38,3420,10,1,1.6842105263157894,0.47368421052631576,0.42105263157894735,1.131578947368421,0.05263157894736842,0.5526315789473685,1.105263157894737,7.36421052631579
Mason Mount,Chelsea,24,Midfielder,36,2892,6,5,2.2777777777777777,2.4166666666666665,1.1944444444444444,1.2222222222222223,0.1111111111111111,1.1388888888888888,1.5555555555555556,7.331388888888891
Sadio Mané,Liverpool,31,Forward,35,2813,11,7,2.6857142857142855,1.7428571428571429,2.342857142857143,2.2285714285714286,0.8857142857142857,1.7428571428571429,2.8857142857142857,7.328285714285716
Riyad Mahrez,Man City,32,Forward,27,1955,9,6,2.1481481481481484,1.6296296296296295,1.6666666666666667,1.1111111111111112,0.25925925925925924,1.0740740740740742,1.7037037037037037,7.313703703703704
João Cancelo,Man City,29,Defender,28,2302,2,3,1.25,1.6071428571428572,1.6785714285714286,0.6428571428571429,0.07142857142857142,0.75,1.2857142857142858,7.310714285714285
Gareth Bale,Tottenham,34,Forward,20,923,11,2,1.9,1.05,1.35,0.45,0.25,0.35,0.85,7.295
Nathaniel Phillips,Liverpool,26,Defender,17,1456,1,1,0.8823529411764706,0.4117647058823529,0.11764705882352941,0.5294117647058824,0.0,0.17647058823529413,0.47058823529411764,7.291176470588236
Ilkay Gündogan,Man City,32,Midfielder,28,2031,13,2,1.9285714285714286,1.5,0.9642857142857143,0.9285714285714286,0.03571428571428571,0.4642857142857143,1.0714285714285714,7.287142857142856
Son Heung-Min,Tottenham,31,Forward,37,3127,17,10,1.837837837837838,2.027027027027027,1.054054054054054,1.4594594594594594,0.43243243243243246,1.3513513513513513,1.5945945945945945,7.269189189189189
Wilfred Ndidi,Leicester,26,Midfielder,26,2179,1,4,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.0,0.5384615384615384,0.9615384615384616,7.248076923076923
Jesse Lingard,West Ham,30,Midfielder,16,1426,9,4,2.625,1.125,1.125,1.5,0.375,1.375,1.75,7.22125
Raphinha,Leeds,26,Forward,30,2364,6,9,2.2333333333333334,2.1333333333333333,1.8666666666666667,1.0333333333333334,0.4666666666666667,1.1333333333333333,2.8333333333333335,7.218000000000001
Raheem Sterling,Man City,28,Forward,31,2537,10,7,2.2580645161290325,1.2580645161290323,2.129032258064516,1.3225806451612903,0.2903225806451613,2.6774193548387095,2.0,7.216774193548388
James Rodríguez,Everton,32,Midfielder,23,1776,6,4,1.608695652173913,1.7391304347826086,1.4782608695652173,1.7391304347826086,0.2608695652173913,1.6521739130434783,1.434782608695652,7.214782608695652
Ollie Watkins,Aston Villa,27,Forward,37,3329,14,5,2.6216216216216215,1.2162162162162162,1.0810810810810811,1.3243243243243243,0.8378378378378378,2.2972972972972974,3.135135135135135,7.175945945945947
Kortney Hause,Aston Villa,28,Defender,7,630,1,0,0.7142857142857143,0.0,0.0,0.42857142857142855,0.0,0.0,0.14285714285714285,7.170000000000001
Rodri,Man City,27,Midfielder,34,2749,2,2,0.9411764705882353,0.9705882352941176,0.8235294117647058,0.8823529411764706,0.058823529411764705,0.6470588235294118,0.7352941176470589,7.169999999999999
Michail Antonio,West Ham,33,Forward,26,1984,10,5,2.423076923076923,1.0384615384615385,1.6538461538461537,1.5384615384615385,0.5769230769230769,1.8846153846153846,3.0,7.166538461538462
Dominic Calvert-Lewin,Everton,26,Forward,33,2876,16,0,2.515151515151515,0.5454545454545454,0.6666666666666666,1.2424242424242424,0.5454545454545454,0.8787878787878788,3.090909090909091,7.165757575757575
Jimmy Dunne,Burnley,25,Defender,3,270,1,0,2.3333333333333335,0.6666666666666666,0.3333333333333333,1.0,0.0,0.3333333333333333,0.3333333333333333,7.156666666666666
