No,Player,Team,Apps,Min,G,NPG,A,xG,NPxG,xA,xGChain,xGBuildup,xG90,NPxG90,xA90,xG90+xA90,NPxG90+xA90,xGChain90,xGBuildup90
647,Harry Kane,Tottenham,30,2556,29,24,7,19.82,15.25,5.55,21.95,4.13,0.70,0.54,0.20,0.89,0.73,0.77,0.15
594,Romelu Lukaku,Everton,37,3271,25,24,6,16.67,15.90,5.44,21.25,3.97,0.46,0.44,0.15,0.61,0.59,0.58,0.11
498,Alexis Sánchez,Arsenal,38,3233,24,22,10,17.72,15.44,8.99,27.14,9.09,0.49,0.43,0.25,0.74,0.68,0.76,0.25
619,Sergio Agüero,Manchester City,31,2408,20,16,3,22.67,18.87,4.67,25.35,5.03,0.85,0.71,0.17,1.02,0.88,0.95,0.19
802,Diego Costa,Chelsea,35,3101,20,20,7,15.43,14.67,4.91,22.00,6.57,0.45,0.43,0.14,0.59,0.57,0.64,0.19
645,Dele Alli,Tottenham,37,3060,18,17,7,14.71,13.95,4.57,25.15,8.97,0.43,0.41,0.13,0.57,0.54,0.74,0.26
1741,Zlatan Ibrahimovic,Manchester United,28,2435,17,15,5,14.64,12.35,5.12,20.06,6.22,0.54,0.46,0.19,0.73,0.65,0.74,0.23
465,Joshua King,Bournemouth,36,2734,16,14,2,10.91,8.63,2.41,12.56,3.41,0.36,0.28,0.08,0.44,0.36,0.41,0.11
701,Eden Hazard,Chelsea,36,3050,16,14,5,11.03,8.75,6.44,20.61,9.11,0.33,0.26,0.19,0.52,0.45,0.61,0.27
606,Christian Benteke,Crystal Palace,36,3153,15,13,2,17.36,14.31,2.06,13.20,4.11,0.50,0.41,0.06,0.55,0.47,0.38,0.12
735,Jermain Defoe,Sunderland,37,3324,15,10,2,13.65,9.84,1.37,11.51,2.29,0.37,0.27,0.04,0.41,0.30,0.31,0.06
1728,Fernando Llorente,Swansea,33,2462,15,15,1,8.03,8.03,2.09,8.60,2.96,0.29,0.29,0.08,0.37,0.37,0.31,0.11
453,Son Heung-Min,Tottenham,34,2069,14,14,6,7.77,7.77,4.70,14.95,4.28,0.34,0.34,0.20,0.54,0.54,0.65,0.19
488,Philippe Coutinho,Liverpool,31,2265,13,13,7,8.87,8.87,6.26,18.21,8.19,0.35,0.35,0.25,0.60,0.60,0.72,0.33
755,Jamie Vardy,Leicester,35,2822,13,13,5,9.95,9.95,4.68,14.12,2.79,0.32,0.32,0.15,0.47,0.47,0.45,0.09
838,Sadio Mané,Liverpool,27,2257,13,13,5,9.48,9.48,4.45,20.19,9.53,0.38,0.38,0.18,0.56,0.56,0.81,0.38
502,Olivier Giroud,Arsenal,29,1170,12,12,3,7.00,7.00,2.01,9.58,1.82,0.54,0.54,0.15,0.69,0.69,0.74,0.14
482,Roberto Firmino,Liverpool,35,3077,11,11,7,10.36,10.36,7.85,24.93,11.65,0.30,0.30,0.23,0.53,0.53,0.73,0.34
