No,Player,Team,Apps,Min,G,NPG,A,xG,NPxG,xA,xGChain,xGBuildup,xG90,NPxG90,xA90,xG90+xA90,NPxG90+xA90,xGChain90,xGBuildup90
3389,Benjamin Mendy,Manchester City,10,900,0,0,5,0.23,0.23,2.05,8.10,6.81,0.02,0.02,0.20,0.23,0.23,0.81,0.68
3468,Jonas Lössl,Huddersfield,31,2778,0,0,1,0.00,0.00,0.39,1.29,0.92,0.00,0.00,0.01,0.01,0.01,0.04,0.03
3600,Serge Aurier,Tottenham,8,566,0,0,2,0.14,0.14,1.26,3.32,2.51,0.02,0.02,0.20,0.22,0.22,0.53,0.40
4406,Lazar Markovic,Fulham,1,42,0,0,0,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.03,0.03,0.03,0.03,0.00
4467,Jazz Richards,Cardiff,4,117,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4471,Mohamed Diamé,Newcastle United,29,2172,0,0,0,1.05,1.05,0.13,5.13,4.39,0.04,0.04,0.01,0.05,0.05,0.21,0.18
4483,Sam Gallagher,Southampton,4,30,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4883,Bruno Ecuele Manga,Cardiff,38,3374,0,0,1,1.21,1.21,0.29,1.07,0.93,0.03,0.03,0.01,0.04,0.04,0.03,0.02
5061,Kepa,Chelsea,36,3240,0,0,0,0.00,0.00,0.00,5.42,5.42,0.00,0.00,0.00,0.00,0.00,0.15,0.15
5065,Diego Rico,Bournemouth,12,600,0,0,0,0.18,0.18,1.22,1.26,0.66,0.03,0.03,0.18,0.21,0.21,0.19,0.10
5073,Florian Lejeune,Newcastle United,12,1057,0,0,0,0.28,0.28,0.29,2.35,2.28,0.02,0.02,0.02,0.05,0.05,0.20,0.19
5085,Marc Navarro,Watford,2,87,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5215,Florent Hadergjonaj,Huddersfield,24,1843,0,0,0,0.22,0.22,1.38,2.31,1.37,0.01,0.01,0.07,0.08,0.08,0.11,0.07
5245,Bernardo,Brighton,22,1740,0,0,1,0.35,0.35,0.58,2.30,1.72,0.02,0.02,0.03,0.05,0.05,0.12,0.09
5264,Caglar Söyüncü,Leicester,6,373,0,0,0,0.06,0.06,0.00,0.52,0.52,0.01,0.01,0.00,0.01,0.01,0.13,0.13
5544,Angus Gunn,Southampton,12,1080,0,0,0,0.00,0.00,0.00,0.33,0.33,0.00,0.00,0.00,0.00,0.00,0.03,0.03
5556,Ademola Lookman,Everton,21,575,0,0,2,1.57,1.57,1.61,4.34,2.20,0.25,0.25,0.25,0.50,0.50,0.68,0.34
5565,Josh Sims,Southampton,7,205,0,0,1,0.77,0.77,0.70,1.88,0.41,0.34,0.34,0.31,0.64,0.64,0.83,0.18
5584,Aaron Wan-Bissaka,Crystal Palace,35,3136,0,0,3,0.37,0.37,2.29,7.10,5.10,0.01,0.01,0.07,0.08,0.08,0.20,0.15
5598,Angel Gomes,Manchester United,2,23,0,0,0,0.11,0.11,0.00,0.28,0.17,0.42,0.42,0.00,0.42,0.42,1.10,0.68
5602,Sam Surridge,Bournemouth,2,9,0,0,0,0.38,0.38,0.04,0.42,0.00,3.79,3.79,0.38,4.17,4.17,4.17,0.00
5609,Yves Bissouma,Brighton,28,1757,0,0,0,1.78,1.78,0.99,4.98,3.18,0.09,0.09,0.05,0.14,0.14,0.25,0.16
5740,Adama Diakhaby,Huddersfield,12,560,0,0,0,0.87,0.87,0.54,1.32,0.28,0.14,0.14,0.09,0.23,0.23,0.21,0.04
5759,Matteo Guendouzi,Arsenal,33,2132,0,0,0,0.48,0.48,1.50,13.77,12.15,0.02,0.02,0.06,0.08,0.08,0.58,0.51
5767,Fousseni Diabate,Leicester,1,55,0,0,0,0.00,0.00,0.08,0.08,0.00,0.00,0.00,0.12,0.12,0.12,0.12,0.00
6029,Tommy Smith,Huddersfield,15,1138,0,0,0,0.08,0.08,0.39,1.17,0.83,0.01,0.01,0.03,0.04,0.04,0.09,0.07
6032,Chris Löwe,Huddersfield,29,2052,0,0,2,0.49,0.49,1.78,3.10,1.60,0.02,0.02,0.08,0.10,0.10,0.14,0.07
6035,Collin Quaner,Huddersfield,2,34,0,0,0,0.00,0.00,0.10,0.11,0.11,0.00,0.00,0.26,0.26,0.26,0.29,0.29
6036,Rajiv van La Parra,Huddersfield,5,411,0,0,0,0.24,0.24,0.07,0.39,0.10,0.05,0.05,0.02,0.07,0.07,0.09,0.02
6037,Danny Williams,Huddersfield,5,94,0,0,0,0.02,0.02,0.03,0.08,0.07,0.01,0.01,0.03,0.04,0.04,0.08,0.07
6038,Laurent Depoitre,Huddersfield,23,1039,0,0,1,2.67,2.67,0.46,2.73,0.09,0.23,0.23,0.04,0.27,0.27,0.24,0.01
6041,Joel Coleman,Huddersfield,1,90,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6042,Jan Bednarek,Southampton,25,2150,0,0,1,0.84,0.84,0.62,4.16,3.65,0.04,0.04,0.03,0.06,0.06,0.17,0.15
6044,Charlie Taylor,Burnley,38,3238,0,0,1,0.11,0.11,1.45,4.40,3.86,0.00,0.00,0.04,0.04,0.04,0.12,0.11
