No,Player,Team,Apps,Min,G,NPG,A,xG,NPxG,xA,xGChain,xGBuildup,xG90,NPxG90,xA90,xG90+xA90,NPxG90+xA90,xGChain90,xGBuildup90
1250,Mohamed Salah,Liverpool,36,2954,32,31,10,25.14,23.61,8.34,35.30,5.90,0.77,0.72,0.25,1.02,0.97,1.08,0.18
647,Harry Kane,Tottenham,37,3094,30,28,2,26.86,24.58,3.82,28.52,7.96,0.78,0.71,0.11,0.89,0.83,0.83,0.23
619,Sergio Agüero,Manchester City,25,1985,21,17,6,18.57,15.52,6.53,23.71,7.51,0.84,0.70,0.30,1.14,1.00,1.07,0.34
755,Jamie Vardy,Leicester,37,3269,20,15,1,15.27,10.70,3.63,15.58,1.98,0.42,0.29,0.10,0.52,0.39,0.43,0.05
618,Raheem Sterling,Manchester City,33,2594,18,17,11,18.83,18.07,8.84,33.66,12.15,0.65,0.63,0.31,0.96,0.93,1.17,0.42
594,Romelu Lukaku,Manchester United,34,2869,16,16,7,15.47,14.71,5.47,24.64,7.16,0.49,0.46,0.17,0.66,0.63,0.77,0.22
482,Roberto Firmino,Liverpool,37,2814,15,14,7,10.76,10.00,7.68,27.84,12.63,0.34,0.32,0.25,0.59,0.57,0.89,0.40
3277,Alexandre Lacazette,Arsenal,32,2235,14,12,4,13.83,12.31,4.84,20.90,6.23,0.56,0.50,0.19,0.75,0.69,0.84,0.25
5543,Gabriel Jesus,Manchester City,29,1692,13,13,3,15.37,13.84,2.31,20.56,6.51,0.82,0.74,0.12,0.94,0.86,1.09,0.35
453,Son Heung-Min,Tottenham,37,2315,12,12,6,11.02,11.02,6.59,22.62,6.26,0.43,0.43,0.26,0.68,0.68,0.88,0.24
701,Eden Hazard,Chelsea,34,2451,12,10,4,8.21,6.69,7.30,19.69,9.29,0.30,0.25,0.27,0.57,0.51,0.72,0.34
750,Riyad Mahrez,Leicester,36,2977,12,12,10,6.61,6.61,7.55,15.86,6.47,0.20,0.20,0.23,0.43,0.43,0.48,0.20
882,Glenn Murray,Brighton,35,2204,12,8,0,12.38,7.81,1.24,8.48,1.66,0.51,0.32,0.05,0.56,0.37,0.35,0.07
865,Marko Arnautovic,West Ham,31,2343,11,11,6,9.80,9.80,4.45,13.04,2.69,0.38,0.38,0.17,0.55,0.55,0.50,0.10
1804,Álvaro Morata,Chelsea,31,2069,11,11,6,13.90,13.90,3.58,17.91,2.95,0.60,0.60,0.16,0.76,0.76,0.78,0.13
318,Pierre-Emerick Aubameyang,Arsenal,13,1056,10,9,4,9.17,7.65,1.26,10.67,2.37,0.78,0.65,0.11,0.89,0.76,0.91,0.20
337,Leroy Sané,Manchester City,32,2421,10,10,15,6.24,6.24,9.05,19.68,11.90,0.23,0.23,0.34,0.57,0.57,0.73,0.44
629,Wayne Rooney,Everton,31,2301,10,7,2,8.91,4.34,2.28,8.37,4.47,0.35,0.17,0.09,0.44,0.26,0.33,0.17
646,Christian Eriksen,Tottenham,37,3239,10,10,10,7.25,7.25,11.89,27.01,15.51,0.20,0.20,0.33,0.53,0.53,0.75,0.43
838,Sadio Mané,Liverpool,29,2230,10,10,7,11.52,11.52,5.25,21.16,6.35,0.46,0.46,0.21,0.68,0.68,0.85,0.26
4456,Chris Wood,Burnley,24,1639,10,10,1,7.64,7.64,0.60,7.59,1.02,0.42,0.42,0.03,0.45,0.45,0.42,0.06
5549,Luka Milivojevic,Crystal Palace,36,3087,10,3,1,7.87,1.79,1.26,8.75,8.06,0.23,0.05,0.04,0.27,0.09,0.26,0.24
498,Alexis Sánchez,Arsenal,31,2562,9,8,6,11.42,9.90,7.92,22.28,9.07,0.40,0.35,0.28,0.68,0.63,0.78,0.32
522,Wilfried Zaha,Crystal Palace,29,2551,9,9,3,9.74,9.74,5.30,16.14,3.00,0.34,0.34,0.19,0.53,0.53,0.57,0.11
553,Anthony Martial,Manchester United,30,1589,9,8,5,6.30,5.54,5.44,13.71,5.23,0.36,0.31,0.31,0.66,0.62,0.78,0.30
617,David Silva,Manchester City,29,2442,9,9,11,9.24,9.24,8.83,30.25,18.98,0.34,0.34,0.33,0.67,0.67,1.12,0.70
645,Dele Alli,Tottenham,36,2991,9,9,10,10.10,10.10,8.84,23.89,8.14,0.30,0.30,0.27,0.57,0.57,0.72,0.25
4422,Ashley Barnes,Burnley,36,2143,9,9,0,6.56,6.56,1.50,8.71,1.91,0.28,0.28,0.06,0.34,0.34,0.37,0.08
191,Chicharito,West Ham,28,1524,8,8,0,5.25,5.25,1.42,6.96,1.80,0.31,0.31,0.08,0.39,0.39,0.41,0.11
447,Kevin De Bruyne,Manchester City,37,3103,8,8,16,5.40,5.40,13.10,33.50,22.90,0.16,0.16,0.38,0.54,0.54,0.97,0.66
465,Joshua King,Bournemouth,33,2458,8,6,3,6.56,5.03,4.89,9.64,3.61,0.24,0.18,0.18,0.42,0.36,0.35,0.13
468,Callum Wilson,Bournemouth,28,2007,8,8,2,7.62,7.62,1.55,9.41,2.70,0.34,0.34,0.07,0.41,0.41,0.42,0.12
558,Jesse Lingard,Manchester United,33,1836,8,8,5,8.05,8.05,3.58,13.91,5.56,0.39,0.39,0.18,0.57,0.57,0.68,0.27
599,Oumar Niasse,Everton,22,1075,8,8,2,7.42,7.42,1.55,9.20,1.38,0.62,0.62,0.13,0.75,0.75,0.77,0.12
770,Ayoze Pérez,Newcastle United,36,2502,8,8,5,6.86,6.86,5.45,14.12,6.33,0.25,0.25,0.20,0.44,0.44,0.51,0.23
888,Xherdan Shaqiri,Stoke,36,3066,8,8,7,4.99,4.22,6.88,11.42,5.91,0.15,0.12,0.20,0.35,0.33,0.34,0.17
239,Pascal Groß,Brighton,38,2979,7,6,8,3.34,2.57,8.66,12.21,5.43,0.10,0.08,0.26,0.36,0.34,0.37,0.16
488,Philippe Coutinho,Liverpool,14,1132,7,7,6,3.64,3.64,4.95,9.05,3.71,0.29,0.29,0.39,0.68,0.68,0.72,0.29
502,Olivier Giroud,Arsenal,29,953,7,7,1,7.60,7.60,3.01,10.70,1.64,0.72,0.72,0.28,1.00,1.00,1.01,0.16
504,Aaron Ramsey,Arsenal,24,1849,7,7,8,6.84,6.84,5.92,19.13,11.19,0.33,0.33,0.29,0.62,0.62,0.93,0.54
556,Marcus Rashford,Manchester United,35,1792,7,7,5,5.53,5.53,4.60,10.89,2.58,0.28,0.28,0.23,0.51,0.51,0.55,0.13
672,Jordan Ayew,Swansea,36,2862,7,6,2,6.85,6.09,1.92,8.02,1.89,0.22,0.19,0.06,0.28,0.25,0.25,0.06
813,Salomón Rondón,West Bromwich Albion,36,2781,7,7,3,6.87,6.87,2.61,10.67,3.40,0.22,0.22,0.08,0.31,0.31,0.35,0.11
844,Jay Rodriguez,West Bromwich Albion,37,2845,7,6,1,7.64,6.88,1.83,8.15,1.56,0.24,0.22,0.06,0.30,0.28,0.26,0.05
848,Charlie Austin,Southampton,24,1023,7,6,0,7.72,6.96,0.69,6.52,1.21,0.68,0.61,0.06,0.74,0.67,0.57,0.11
1621,Marcos Alonso,Chelsea,33,2869,7,7,2,4.37,4.37,3.06,12.99,8.15,0.14,0.14,0.10,0.23,0.23,0.41,0.26
1726,Abdoulaye Doucouré,Watford,37,3326,7,7,3,3.11,3.11,2.39,11.49,7.35,0.08,0.08,0.06,0.15,0.15,0.31,0.20
3800,Steve Mounie,Huddersfield,28,1850,7,7,1,5.80,5.80,1.61,7.00,1.81,0.28,0.28,0.08,0.36,0.36,0.34,0.09
700,Willian,Chelsea,36,1872,6,5,7,5.98,5.22,6.17,12.89,5.10,0.29,0.25,0.30,0.58,0.55,0.62,0.25
743,Dwight Gayle,Newcastle United,35,1968,6,6,3,9.67,9.67,2.39,11.07,1.84,0.44,0.44,0.11,0.55,0.55,0.51,0.08
754,Shinji Okazaki,Leicester,27,1340,6,6,2,7.49,7.49,1.85,8.06,1.11,0.50,0.50,0.12,0.63,0.63,0.54,0.07
840,Dusan Tadic,Southampton,36,2854,6,5,3,5.66,4.90,6.16,14.32,4.34,0.18,0.15,0.19,0.37,0.35,0.45,0.14
868,Mame Biram Diouf,Stoke,35,2609,6,6,2,7.49,7.49,2.12,8.71,1.54,0.26,0.26,0.07,0.33,0.33,0.30,0.05
1740,Paul Pogba,Manchester United,27,2158,6,6,10,7.81,7.81,4.59,16.82,8.21,0.33,0.33,0.19,0.52,0.52,0.70,0.34
3635,Bernardo Silva,Manchester City,35,1500,6,6,4,4.53,4.53,3.06,15.46,9.75,0.27,0.27,0.18,0.46,0.46,0.93,0.59
6038,Laurent Depoitre,Huddersfield,33,1794,6,6,1,3.59,3.59,1.37,4.53,1.01,0.18,0.18,0.07,0.25,0.25,0.23,0.05
339,Eric Maxim Choupo-Moting,Stoke,30,2257,5,5,5,6.29,6.29,3.23,9.28,2.20,0.25,0.25,0.13,0.38,0.38,0.37,0.09
463,Junior Stanislas,Bournemouth,19,1313,5,4,2,3.83,3.07,1.91,5.26,1.89,0.26,0.21,0.13,0.39,0.34,0.36,0.13
495,Nacho Monreal,Arsenal,28,2246,5,5,2,1.90,1.90,3.01,10.21,8.55,0.08,0.08,0.12,0.20,0.20,0.41,0.34
501,Danny Welbeck,Arsenal,28,1169,5,5,2,5.72,5.72,1.37,8.68,2.56,0.44,0.44,0.11,0.55,0.55,0.67,0.20
535,Manuel Lanzini,West Ham,27,2054,5,5,6,3.83,3.07,3.73,9.27,5.12,0.17,0.13,0.16,0.33,0.30,0.41,0.22
574,Troy Deeney,Watford,29,1832,5,2,2,7.15,3.34,2.38,7.17,2.77,0.35,0.16,0.12,0.47,0.28,0.35,0.14
614,Fernandinho,Manchester City,34,2890,5,5,3,2.47,2.47,2.84,25.39,22.24,0.08,0.08,0.09,0.17,0.17,0.79,0.69
633,James McArthur,Crystal Palace,33,2440,5,5,1,4.23,4.23,2.06,10.53,6.22,0.16,0.16,0.08,0.23,0.23,0.39,0.23
702,Tammy Abraham,Swansea,31,1706,5,5,1,6.16,6.16,1.44,7.57,1.30,0.32,0.32,0.08,0.40,0.40,0.40,0.07
730,Patrick van Aanholt,Crystal Palace,28,2184,5,5,1,3.39,3.39,2.46,7.43,4.10,0.14,0.14,0.10,0.24,0.24,0.31,0.17
872,Peter Crouch,Stoke,31,1532,5,5,2,4.22,4.22,3.15,7.29,1.31,0.25,0.25,0.18,0.43,0.43,0.43,0.08
1383,Manolo Gabbiadini,Southampton,28,1056,5,4,0,2.52,1.76,0.55,3.04,1.45,0.21,0.15,0.05,0.26,0.20,0.26,0.12
1660,Andre Gray,Watford,31,1486,5,5,2,7.00,7.00,2.32,10.14,1.73,0.42,0.42,0.14,0.56,0.56,0.61,0.10
1683,Ryan Fraser,Bournemouth,26,2016,5,5,3,1.98,1.98,2.74,6.39,3.34,0.09,0.09,0.12,0.21,0.21,0.29,0.15
1723,Roberto Pereyra,Watford,32,1618,5,5,2,3.91,3.91,2.67,7.72,2.89,0.22,0.22,0.15,0.37,0.37,0.43,0.16
6026,Richarlison,Watford,38,2832,5,5,4,10.66,10.66,3.81,14.73,2.52,0.34,0.34,0.12,0.46,0.46,0.47,0.08
6231,José Izquierdo,Brighton,32,1998,5,5,3,3.62,3.62,2.33,7.21,3.13,0.16,0.16,0.10,0.27,0.27,0.32,0.14
6477,Cenk Tosun,Everton,14,998,5,5,0,3.19,3.19,1.72,5.56,1.14,0.29,0.29,0.16,0.44,0.44,0.50,0.10
314,Ilkay Gündogan,Manchester City,30,1504,4,3,1,3.58,2.82,2.35,14.07,10.72,0.21,0.17,0.14,0.36,0.31,0.84,0.64
499,Mesut Özil,Arsenal,26,2166,4,4,8,4.39,4.39,9.13,21.61,14.73,0.18,0.18,0.38,0.56,0.56,0.90,0.61
533,Mark Noble,West Ham,29,2411,4,2,0,2.28,0.76,1.81,6.65,4.33,0.09,0.03,0.07,0.15,0.10,0.25,0.16
611,Nicolás Otamendi,Manchester City,34,2975,4,4,0,3.19,3.19,1.16,19.02,17.80,0.10,0.10,0.04,0.13,0.13,0.58,0.54
