No,Player,Team,Apps,Min,G,NPG,A,xG,NPxG,xA,xGChain,xGBuildup,xG90,NPxG90,xA90,xG90+xA90,NPxG90+xA90,xGChain90,xGBuildup90
628,Chris Smalling,Manchester United,29,2533,4,4,0,2.17,2.17,0.18,5.59,5.35,0.08,0.08,0.01,0.08,0.08,0.20,0.19
630,Marouane Fellaini,Manchester United,16,601,4,4,0,2.73,2.73,0.16,3.96,2.37,0.41,0.41,0.02,0.43,0.43,0.59,0.36
687,Pedro,Chelsea,31,1523,4,4,2,3.60,3.60,1.69,6.59,2.56,0.21,0.21,0.10,0.31,0.31,0.39,0.15
714,Gylfi Sigurdsson,Everton,27,2265,4,4,3,3.19,3.19,3.75,8.55,3.43,0.13,0.13,0.15,0.28,0.28,0.34,0.14
735,Jermain Defoe,Bournemouth,24,1074,4,4,1,4.54,4.54,1.02,4.46,0.25,0.38,0.38,0.09,0.47,0.47,0.37,0.02
866,Joselu,Newcastle United,30,1730,4,4,1,6.36,5.60,1.30,7.89,2.68,0.33,0.29,0.07,0.40,0.36,0.41,0.14
1661,Sam Vokes,Burnley,29,953,4,4,1,3.01,3.01,1.15,2.20,0.08,0.28,0.28,0.11,0.39,0.39,0.21,0.01
5555,Dominic Calvert-Lewin,Everton,32,1861,4,4,6,5.44,5.44,3.07,9.52,3.41,0.26,0.26,0.15,0.41,0.41,0.46,0.16
6033,Aaron Mooy,Huddersfield,36,3077,4,3,3,2.86,2.10,4.15,7.70,4.62,0.08,0.06,0.12,0.21,0.18,0.23,0.13
317,Henrikh Mkhitaryan,Arsenal,26,1735,3,3,9,2.47,2.47,6.77,14.40,7.17,0.13,0.13,0.35,0.48,0.48,0.75,0.37
461,Matt Ritchie,Newcastle United,35,2822,3,3,5,3.19,3.19,6.59,10.31,5.67,0.10,0.10,0.21,0.31,0.31,0.33,0.18
500,Alex Iwobi,Arsenal,26,1873,3,3,5,4.13,4.13,3.49,17.15,11.72,0.20,0.20,0.17,0.37,0.37,0.82,0.56
503,Theo Walcott,Arsenal,20,1207,3,3,3,3.15,3.15,3.03,6.35,2.44,0.24,0.24,0.23,0.46,0.46,0.47,0.18
520,Bakary Sako,Crystal Palace,16,446,3,3,0,2.27,2.27,0.77,2.39,0.50,0.46,0.46,0.16,0.61,0.61,0.48,0.10
530,James Tomkins,Crystal Palace,28,2386,3,3,0,2.71,2.71,0.07,2.04,1.99,0.10,0.10,0.00,0.10,0.10,0.08,0.08
531,Michail Antonio,West Ham,21,1347,3,3,1,2.01,2.01,0.92,3.46,1.15,0.13,0.13,0.06,0.20,0.20,0.23,0.08
537,Andy Carroll,West Ham,16,739,3,3,0,1.57,1.57,0.53,3.69,2.30,0.19,0.19,0.06,0.26,0.26,0.45,0.28
541,Victor Moses,Chelsea,28,2128,3,3,3,3.08,3.08,2.64,9.65,5.04,0.13,0.13,0.11,0.24,0.24,0.41,0.21
554,Juan Mata,Manchester United,28,1942,3,3,5,3.81,3.81,4.73,14.23,8.80,0.18,0.18,0.22,0.40,0.40,0.66,0.41
604,Emre Can,Liverpool,26,2099,3,3,4,1.51,1.51,3.05,15.17,12.48,0.06,0.06,0.13,0.20,0.20,0.65,0.53
606,Christian Benteke,Crystal Palace,31,2224,3,2,5,11.17,9.64,3.28,12.04,3.17,0.45,0.39,0.13,0.58,0.52,0.49,0.13
620,Kelechi Iheanacho,Leicester,21,809,3,3,3,4.83,4.83,2.08,5.07,0.70,0.54,0.54,0.23,0.77,0.77,0.56,0.08
627,Antonio Valencia,Manchester United,31,2746,3,3,1,0.54,0.54,1.46,9.93,8.82,0.02,0.02,0.05,0.07,0.07,0.33,0.29
713,André Ayew,Swansea,30,1859,3,3,4,4.75,3.99,1.51,5.01,1.84,0.23,0.19,0.07,0.30,0.27,0.24,0.09
762,Demarai Gray,Leicester,35,1680,3,3,1,2.64,2.64,3.25,8.22,3.46,0.14,0.14,0.17,0.32,0.32,0.44,0.19
764,Daryl Janmaat,Watford,23,1823,3,3,0,1.65,1.65,0.99,4.68,3.05,0.08,0.08,0.05,0.13,0.13,0.23,0.15
766,Jamaal Lascelles,Newcastle United,33,2929,3,3,0,1.51,1.51,0.37,3.31,3.20,0.05,0.05,0.01,0.06,0.06,0.10,0.10
784,Andy King,Leicester,22,1264,3,3,0,1.56,1.56,0.26,2.13,1.55,0.11,0.11,0.02,0.13,0.13,0.15,0.11
843,James Ward-Prowse,Southampton,30,1714,3,3,3,2.31,2.31,3.95,5.33,3.22,0.12,0.12,0.21,0.33,0.33,0.28,0.17
883,Steven Davis,Southampton,23,1529,3,3,0,1.29,1.29,1.18,5.11,3.52,0.08,0.08,0.07,0.14,0.14,0.30,0.21
966,Alex Oxlade-Chamberlain,Arsenal,35,1705,3,3,7,2.60,2.60,4.97,11.88,6.25,0.14,0.14,0.26,0.40,0.40,0.63,0.33
1690,Sam Clucas,Swansea,29,2043,3,3,1,1.94,1.94,0.99,4.25,2.11,0.09,0.09,0.04,0.13,0.13,0.19,0.09
1699,Shkodran Mustafi,Arsenal,27,2272,3,3,1,0.72,0.72,1.90,9.47,9.41,0.03,0.03,0.08,0.10,0.10,0.38,0.37
2065,Vicente Iborra,Leicester,19,1424,3,3,0,1.59,1.59,0.48,5.87,5.20,0.10,0.10,0.03,0.13,0.13,0.37,0.33
2244,Danilo,Manchester City,23,1338,3,3,2,1.25,1.25,0.19,14.04,12.89,0.08,0.08,0.01,0.10,0.10,0.94,0.87
4497,Anthony Knockaert,Brighton,33,2433,3,3,1,4.25,4.25,3.08,8.72,3.19,0.16,0.16,0.11,0.27,0.27,0.32,0.12
6036,Rajiv van La Parra,Huddersfield,33,2165,3,2,0,3.09,2.33,0.83,4.76,2.01,0.13,0.10,0.03,0.16,0.13,0.20,0.08
342,Sead Kolasinac,Arsenal,27,2154,2,2,4,2.55,2.55,4.01,15.23,11.60,0.11,0.11,0.17,0.27,0.27,0.64,0.48
458,Steve Cook,Bournemouth,34,2761,2,2,1,1.36,1.36,1.02,3.28,2.95,0.04,0.04,0.03,0.08,0.08,0.11,0.10
460,Andrew Surman,Bournemouth,25,1842,2,2,5,0.99,0.99,1.53,3.84,2.93,0.05,0.05,0.07,0.12,0.12,0.19,0.14
462,Dan Gosling,Bournemouth,28,1940,2,2,1,2.27,2.27,0.95,5.97,3.59,0.11,0.11,0.04,0.15,0.15,0.28,0.17
480,Joe Allen,Stoke,36,3143,2,2,6,2.12,2.12,2.57,7.96,4.57,0.06,0.06,0.07,0.13,0.13,0.23,0.13
481,Jordon Ibe,Bournemouth,32,2005,2,2,6,2.93,2.93,3.75,6.12,2.68,0.13,0.13,0.17,0.30,0.30,0.27,0.12
483,Daniel Sturridge,Liverpool,15,539,2,2,1,2.66,2.66,0.89,3.57,0.39,0.44,0.44,0.15,0.59,0.59,0.60,0.06
492,Héctor Bellerín,Arsenal,35,3051,2,2,3,2.47,2.47,4.65,19.90,14.83,0.07,0.07,0.14,0.21,0.21,0.59,0.44
494,Laurent Koscielny,Arsenal,25,2232,2,2,0,2.17,2.17,0.44,7.93,7.80,0.09,0.09,0.02,0.11,0.11,0.32,0.31
532,Cheikhou Kouyaté,West Ham,33,2803,2,2,3,1.80,1.80,0.88,5.36,3.48,0.06,0.06,0.03,0.09,0.09,0.17,0.11
542,Pedro Obiang,West Ham,21,1564,2,2,0,0.33,0.33,0.56,2.94,2.25,0.02,0.02,0.03,0.05,0.05,0.17,0.13
579,Nathan Aké,Bournemouth,38,3353,2,2,3,2.23,2.23,1.87,4.00,3.11,0.06,0.06,0.05,0.11,0.11,0.11,0.08
588,Leighton Baines,Everton,22,1911,2,0,3,2.07,0.55,2.30,4.42,3.62,0.10,0.03,0.11,0.21,0.13,0.21,0.17
602,Dejan Lovren,Liverpool,29,2121,2,2,1,2.01,2.01,1.33,7.26,7.16,0.09,0.09,0.06,0.14,0.14,0.31,0.30
622,Wilfried Bony,Swansea,15,699,2,2,0,1.47,1.47,0.18,1.62,0.25,0.19,0.19,0.02,0.21,0.21,0.21,0.03
631,Ashley Young,Manchester United,30,2451,2,2,4,0.71,0.71,3.75,9.90,8.92,0.03,0.03,0.14,0.16,0.16,0.36,0.33
644,Erik Lamela,Tottenham,25,822,2,2,2,3.58,3.58,1.85,8.65,4.51,0.39,0.39,0.20,0.59,0.59,0.95,0.49
656,Diafra Sakho,West Ham,14,264,2,2,0,1.75,1.75,0.03,1.98,0.59,0.59,0.59,0.01,0.60,0.60,0.67,0.20
660,Ben Davies,Tottenham,29,2328,2,2,6,1.02,1.02,3.74,10.47,7.82,0.04,0.04,0.14,0.18,0.18,0.40,0.30
668,Idrissa Gueye,Everton,33,2769,2,2,1,1.50,1.50,1.21,8.81,6.79,0.05,0.05,0.04,0.09,0.09,0.29,0.22
681,César Azpilicueta,Chelsea,37,3330,2,2,6,1.38,1.38,4.65,15.97,12.36,0.04,0.04,0.13,0.16,0.16,0.43,0.33
686,Cesc Fàbregas,Chelsea,32,2314,2,2,4,2.52,2.52,6.85,14.98,10.85,0.10,0.10,0.27,0.36,0.36,0.58,0.42
688,Ruben Loftus-Cheek,Crystal Palace,24,1877,2,2,3,3.45,3.45,3.25,9.32,4.74,0.17,0.17,0.16,0.32,0.32,0.45,0.23
689,Kenedy,Newcastle United,13,1039,2,2,2,2.40,2.40,1.82,4.30,0.96,0.21,0.21,0.16,0.37,0.37,0.37,0.08
712,Jack Cork,Burnley,38,3420,2,2,1,1.70,1.70,0.78,6.57,5.12,0.04,0.04,0.02,0.07,0.07,0.17,0.13
723,Ki Sung-yueng,Swansea,25,1869,2,2,2,0.85,0.85,1.77,2.71,1.47,0.04,0.04,0.09,0.13,0.13,0.13,0.07
753,Marc Albrighton,Leicester,34,2551,2,2,7,1.63,1.63,5.70,10.12,5.13,0.06,0.06,0.20,0.26,0.26,0.36,0.18
775,Andros Townsend,Crystal Palace,36,3141,2,2,7,3.11,3.11,8.64,14.72,5.97,0.09,0.09,0.25,0.34,0.34,0.42,0.17
804,Craig Dawson,West Bromwich Albion,28,2512,2,2,0,2.26,2.26,0.94,2.44,1.86,0.08,0.08,0.03,0.11,0.11,0.09,0.07
807,Jonny Evans,West Bromwich Albion,28,2276,2,2,2,1.74,1.74,1.05,3.97,3.89,0.07,0.07,0.04,0.11,0.11,0.16,0.15
839,Shane Long,Southampton,30,1566,2,2,1,3.99,3.99,1.31,6.26,1.76,0.23,0.23,0.08,0.30,0.30,0.36,0.10
845,Maya Yoshida,Southampton,24,2051,2,2,0,1.99,1.99,0.55,3.96,3.91,0.09,0.09,0.02,0.11,0.11,0.17,0.17
875,Ciaran Clark,Newcastle United,20,1744,2,2,1,2.17,2.17,0.95,3.40,2.94,0.11,0.11,0.05,0.16,0.16,0.18,0.15
1042,Tom Davies,Everton,33,1901,2,2,1,1.48,1.48,0.65,5.12,3.51,0.07,0.07,0.03,0.10,0.10,0.24,0.17
1512,João Mário,West Ham,13,1037,2,2,1,1.77,1.77,1.15,3.53,1.08,0.15,0.15,0.10,0.25,0.25,0.31,0.09
1659,Scott Arfield,Burnley,18,1343,2,2,1,1.36,1.36,0.40,2.43,0.83,0.09,0.09,0.03,0.12,0.12,0.16,0.06
1663,Johann Berg Gudmundsson,Burnley,35,2845,2,2,8,2.95,2.95,5.05,8.00,3.81,0.09,0.09,0.16,0.25,0.25,0.25,0.12
1678,Michy Batshuayi,Chelsea,12,342,2,2,1,1.34,1.34,0.09,1.54,0.37,0.35,0.35,0.02,0.38,0.38,0.40,0.10
1687,Harry Maguire,Leicester,38,3420,2,2,4,2.31,2.31,4.56,8.25,7.35,0.06,0.06,0.12,0.18,0.18,0.22,0.19
1689,Jake Livermore,West Bromwich Albion,34,2677,2,2,2,2.64,2.64,1.53,5.55,3.62,0.09,0.09,0.05,0.14,0.14,0.19,0.12
1725,Christian Kabasele,Watford,28,2330,2,2,0,0.78,0.78,0.13,2.82,2.70,0.03,0.03,0.01,0.04,0.04,0.11,0.10
1727,Alfie Mawson,Swansea,38,3420,2,2,1,2.51,2.51,0.56,4.58,3.57,0.07,0.07,0.01,0.08,0.08,0.12,0.09
1734,Sofiane Boufal,Southampton,26,1198,2,2,2,1.63,1.63,1.71,4.96,2.20,0.12,0.12,0.13,0.25,0.25,0.37,0.17
1735,Jack Stephens,Southampton,22,1980,2,2,0,1.30,1.30,0.24,2.78,2.56,0.06,0.06,0.01,0.07,0.07,0.13,0.12
1737,Matt Phillips,West Bromwich Albion,30,2097,2,2,2,2.60,2.60,3.27,5.74,2.13,0.11,0.11,0.14,0.25,0.25,0.25,0.09
1738,Hal Robson-Kanu,West Bromwich Albion,21,811,2,2,0,1.90,1.90,0.41,2.85,0.89,0.21,0.21,0.05,0.26,0.26,0.32,0.10
1746,Jeff Hendrick,Burnley,34,2363,2,2,2,2.09,2.09,2.70,6.18,2.07,0.08,0.08,0.10,0.18,0.18,0.24,0.08
1748,Lys Mousset,Bournemouth,23,569,2,2,0,1.15,1.15,1.11,1.83,0.70,0.18,0.18,0.18,0.36,0.36,0.29,0.11
1764,Ramadan Sobhi,Stoke,24,1227,2,2,0,1.07,1.07,0.99,3.51,1.78,0.08,0.08,0.07,0.15,0.15,0.26,0.13
1822,Antonio Rüdiger,Chelsea,27,2337,2,2,1,2.07,2.07,0.50,9.17,9.08,0.08,0.08,0.02,0.10,0.10,0.35,0.35
2344,Christian Atsu,Newcastle United,28,1777,2,2,2,3.97,3.97,2.78,8.17,2.44,0.20,0.20,0.14,0.34,0.34,0.41,0.12
3429,Tiemoué Bakayoko,Chelsea,29,2118,2,2,2,3.45,3.45,1.32,7.21,4.47,0.15,0.15,0.06,0.20,0.20,0.31,0.19
3600,Serge Aurier,Tottenham,17,1432,2,2,2,0.77,0.77,2.64,6.45,4.35,0.05,0.05,0.17,0.21,0.21,0.41,0.27
3979,Ahmed Hegazy,West Bromwich Albion,38,3389,2,2,0,2.32,2.32,0.42,3.63,3.44,0.06,0.06,0.01,0.07,0.07,0.10,0.09
4046,Tomer Hemed,Brighton,16,849,2,2,2,1.70,1.70,0.11,2.13,0.60,0.18,0.18,0.01,0.19,0.19,0.23,0.06
4454,Tom Ince,Huddersfield,33,2465,2,2,0,6.73,6.73,1.47,11.47,3.95,0.25,0.25,0.05,0.30,0.30,0.42,0.14
4471,Mohamed Diamé,Newcastle United,31,2042,2,2,0,1.68,1.68,1.01,3.09,2.02,0.07,0.07,0.04,0.12,0.12,0.14,0.09
6104,Will Hughes,Watford,15,1004,2,2,3,0.66,0.66,1.48,3.28,1.85,0.06,0.06,0.13,0.19,0.19,0.29,0.17
6525,Badou Ndiaye,Stoke,13,1144,2,2,1,1.15,1.15,0.31,2.95,1.71,0.09,0.09,0.02,0.11,0.11,0.23,0.13
204,Granit Xhaka,Arsenal,38,3274,1,1,7,2.18,2.18,2.86,24.63,22.76,0.06,0.06,0.08,0.14,0.14,0.68,0.63
248,Elias Kachunga,Huddersfield,19,1350,1,1,1,1.84,1.84,0.63,2.37,1.12,0.12,0.12,0.04,0.16,0.16,0.16,0.07
265,Ragnar Klavan,Liverpool,19,1448,1,1,0,0.93,0.93,0.14,4.13,4.11,0.06,0.06,0.01,0.07,0.07,0.26,0.26
332,Joel Matip,Liverpool,25,1993,1,1,0,2.35,2.35,0.58,9.51,8.81,0.11,0.11,0.03,0.13,0.13,0.43,0.40
459,Charlie Daniels,Bournemouth,35,3012,1,1,3,0.57,0.57,2.48,5.59,4.42,0.02,0.02,0.07,0.09,0.09,0.17,0.13
485,Mamadou Sakho,Crystal Palace,19,1598,1,1,2,1.49,1.49,1.01,3.28,2.27,0.08,0.08,0.06,0.14,0.14,0.18,0.13
507,Per Mertesacker,Arsenal,6,360,1,1,0,0.09,0.09,0.00,1.83,1.83,0.02,0.02,0.00,0.02,0.02,0.46,0.46
