No,Player,Team,Apps,Min,G,NPG,A,xG,NPxG,xA,xGChain,xGBuildup,xG90,NPxG90,xA90,xG90+xA90,NPxG90+xA90,xGChain90,xGBuildup90
8260,Erling Haaland,Manchester City,35,2803,36,29,8,32.76,27.43,5.85,31.96,3.29,1.05,0.88,0.19,1.24,1.07,1.03,0.11
647,Harry Kane,Tottenham,38,3414,30,25,3,23.06,18.50,7.55,25.08,5.10,0.61,0.49,0.20,0.81,0.69,0.66,0.13
998,Ivan Toney,Brentford,33,2960,20,14,4,21.69,16.36,4.91,18.11,4.02,0.66,0.50,0.15,0.81,0.65,0.55,0.12
1250,Mohamed Salah,Liverpool,38,3307,19,17,12,23.34,20.30,8.72,32.54,8.87,0.64,0.55,0.24,0.87,0.79,0.89,0.24
468,Callum Wilson,Newcastle United,31,1911,18,15,5,18.86,16.57,3.57,15.52,1.81,0.89,0.78,0.17,1.06,0.95,0.73,0.09
556,Marcus Rashford,Manchester United,35,2907,17,17,5,18.76,18.76,3.74,30.33,9.59,0.58,0.58,0.12,0.70,0.70,0.94,0.30
2517,Martin Odegaard,Arsenal,37,3203,15,15,7,9.14,9.14,9.21,27.89,15.05,0.26,0.26,0.26,0.52,0.52,0.78,0.42
7752,Gabriel Martinelli,Arsenal,36,2851,15,15,5,10.54,10.54,9.35,25.15,9.32,0.33,0.33,0.30,0.63,0.63,0.79,0.29
8865,Ollie Watkins,Aston Villa,37,3150,15,14,6,17.49,15.96,3.67,22.16,5.44,0.50,0.46,0.10,0.60,0.56,0.63,0.16
773,Aleksandar Mitrovic,Fulham,24,2022,14,10,1,16.18,10.09,2.33,11.80,2.58,0.72,0.45,0.10,0.82,0.55,0.53,0.11
7322,Bukayo Saka,Arsenal,38,3216,14,12,11,11.30,9.02,7.04,23.58,11.60,0.32,0.25,0.20,0.51,0.45,0.66,0.32
2381,Rodrigo,Leeds,31,1955,13,12,1,8.57,7.81,2.30,10.81,3.45,0.39,0.36,0.11,0.50,0.47,0.50,0.16
6681,Harvey Barnes,Leicester,34,2738,13,13,1,9.12,9.12,3.11,14.72,3.65,0.30,0.30,0.10,0.40,0.40,0.48,0.12
482,Roberto Firmino,Liverpool,25,1203,11,11,4,8.12,8.12,3.05,13.91,6.69,0.61,0.61,0.23,0.84,0.84,1.04,0.50
5543,Gabriel Jesus,Arsenal,26,2107,11,10,6,16.17,15.41,4.24,22.48,6.95,0.69,0.66,0.18,0.87,0.84,0.96,0.30
6055,Phil Foden,Manchester City,32,1837,11,11,6,6.19,6.19,5.70,17.43,8.10,0.30,0.30,0.28,0.58,0.58,0.85,0.40
7420,Miguel Almirón,Newcastle United,34,2550,11,11,2,8.73,8.73,2.96,14.48,5.56,0.31,0.31,0.10,0.41,0.41,0.51,0.20
453,Son Heung-Min,Tottenham,36,2920,10,10,6,9.60,9.60,6.33,17.62,5.95,0.30,0.30,0.20,0.49,0.49,0.54,0.18
5232,Alexander Isak,Newcastle United,22,1530,10,8,1,8.78,7.26,1.77,11.16,2.86,0.52,0.43,0.10,0.62,0.53,0.66,0.17
6818,James Maddison,Leicester,30,2485,10,9,9,8.49,6.97,7.77,15.35,6.40,0.31,0.25,0.28,0.59,0.53,0.56,0.23
7814,Taiwo Awoniyi,Nottingham Forest,27,1426,10,10,1,8.05,8.05,1.03,7.68,0.72,0.51,0.51,0.06,0.57,0.57,0.48,0.05
8379,Alexis Mac Allister,Brighton,35,2882,10,4,2,11.53,6.97,3.93,19.91,12.66,0.36,0.22,0.12,0.48,0.34,0.62,0.40
8706,Eberechi Eze,Crystal Palace,38,2657,10,9,4,6.83,6.07,4.62,11.10,4.37,0.23,0.21,0.16,0.39,0.36,0.38,0.15
239,Pascal Groß,Brighton,37,3261,9,9,8,5.95,5.95,11.25,25.25,15.01,0.16,0.16,0.31,0.47,0.47,0.70,0.41
843,James Ward-Prowse,Southampton,38,3378,9,7,4,5.41,2.36,6.06,10.55,8.64,0.14,0.06,0.16,0.31,0.22,0.28,0.23
6552,Bryan Mbeumo,Brentford,38,2991,9,8,8,10.10,9.34,7.66,17.53,5.17,0.30,0.28,0.23,0.53,0.51,0.53,0.16
10720,Darwin Núñez,Liverpool,29,1702,9,9,3,14.37,14.37,5.65,20.28,3.48,0.76,0.76,0.30,1.06,1.06,1.07,0.18
10846,Julián Álvarez,Manchester City,31,1416,9,8,0,7.75,6.99,2.05,13.77,5.82,0.49,0.44,0.13,0.62,0.57,0.88,0.37
314,Ilkay Gündogan,Manchester City,31,2369,8,8,4,7.84,7.08,3.44,23.57,15.50,0.30,0.27,0.13,0.43,0.40,0.90,0.59
986,Danny Ings,Aston Villa,35,1562,8,6,2,8.26,6.74,1.46,8.44,0.81,0.48,0.39,0.08,0.56,0.47,0.49,0.05
