,No.,Year,Name,Age,Team,Position
3654,922,2021,Kevin De Bruyne,30,Man City,Midfielder
3655,1193,2021,Mohamed Salah,29,Liverpool,Forward
3656,1522,2021,Son Heung-Min,29,Tottenham,Forward
3657,915,2021,Kenedy,25,Chelsea,Midfielder
3658,613,2021,Harry Kane,28,Tottenham,Forward
3659,1022,2021,Luis Diaz,24,Liverpool,Forward
3660,164,2021,Ben Chilwell,24,Chelsea,Defender
3661,763,2021,Joao Cancelo,27,Man City,Defender
3662,941,2021,Kieran Trippier,30,Newcastle,Defender
3663,287,2021,Christian Eriksen,29,Brentford,Midfielder
3664,792,2021,Joel Matip,30,Liverpool,Defender
3665,1437,2021,Sadio Mane,29,Liverpool,Forward
3666,1331,2021,Phil Foden,21,Man City,Midfielder
3667,660,2021,Ivan Toney,25,Brentford,Forward
3668,188,2021,Bernardo Silva,27,Man City,Midfielder
3669,953,2021,Kristoffer Klaesson,20,Leeds,Goalkeeper
3670,358,2021,Danny Ward,28,Leicester,Goalkeeper
3671,1403,2021,Rodrigo Bentancur,24,Tottenham,Midfielder
3672,1363,2021,Reece James,21,Chelsea,Defender
3673,645,2021,Ilkay Gundogan,30,Man City,Midfielder
3674,520,2021,Ferran Torres,21,Man City,Forward
3675,116,2021,Andy Robertson,27,Liverpool,Defender
3676,1348,2021,Raheem Sterling,26,Man City,Forward
3677,547,2021,Gabriel Jesus,24,Man City,Forward
3678,396,2021,Dejan Kulusevski,21,Tottenham,Midfielder
3679,1107,2021,Mason Mount,22,Chelsea,Midfielder
3680,1650,2021,Virgil van Dijk,30,Liverpool,Defender
3681,804,2021,John McGinn,26,Aston Villa,Midfielder
3682,665,2021,Jack Grealish,25,Man City,Midfielder
3683,1710,2021,Zack Steffen,26,Man City,Goalkeeper
3684,1340,2021,Pierre-Emile Hoejbjerg,26,Tottenham,Midfielder
3685,723,2021,Jarrod Bowen,24,West Ham,Forward
3686,324,2021,Cristiano Ronaldo,36,Man Utd,Forward
3687,808,2021,John Stones,27,Man City,Defender
3688,393,2021,Declan Rice,22,West Ham,Midfielder
3689,1577,2021,Thiago Alcantara,30,Liverpool,Midfielder
3690,1069,2021,Marcos Alonso,30,Chelsea,Defender
3691,80,2021,Allan Saint-Maximin,24,Newcastle,Forward
3692,314,2021,Conor Gallagher,21,Crystal Palace,Midfielder
3693,421,2021,Diogo Jota,24,Liverpool,Forward
3694,1578,2021,Thiago Silva,36,Chelsea,Defender
3695,1196,2021,Moises Caicedo,19,Brighton,Midfielder
3696,229,2021,Bukayo Saka,19,Arsenal,Midfielder
3697,699,2021,James Maddison,24,Leicester,Midfielder
3698,1111,2021,Mateo Kovacic,27,Chelsea,Midfielder
3699,1268,2021,Oleksandr Zinchenko,24,Man City,Defender
3700,951,2021,Kostas Tsimikas,25,Liverpool,Defender
3701,223,2021,Bruno Guimaraes,23,Newcastle,Midfielder
3702,222,2021,Bruno Fernandes,26,Man Utd,Midfielder
3703,1619,2021,Trevoh Chalobah,22,Chelsea,Defender
3704,247,2021,Caoimhin Kelleher,22,Liverpool,Goalkeeper
3705,920,2021,Kepa,26,Chelsea,Goalkeeper
3706,709,2021,James Ward-Prowse,26,Southampton,Midfielder
3707,1617,2021,Toti Gomes,22,Wolves,Defender
3708,1209,2021,N'Golo Kante,30,Chelsea,Midfielder
3709,502,2021,Fabinho,27,Liverpool,Midfielder
3710,290,2021,Christian Noergaard,27,Brentford,Midfielder
3711,1386,2021,Riyad Mahrez,30,Man City,Forward
3712,1313,2021,Paul Pogba,28,Man Utd,Midfielder
3713,1709,2021,Yves Bissouma,24,Brighton,Midfielder
3714,1127,2021,Matt Targett,25,Newcastle,Defender
3715,1672,2021,Wilfried Zaha,28,Crystal Palace,Forward
3716,1105,2021,Mason Greenwood,19,Man Utd,Forward
3717,336,2021,Dan Burn,29,Newcastle,Defender
3718,490,2021,Ethan Pinnock,28,Brentford,Defender
3719,707,2021,James Tarkowski,28,Burnley,Defender
3720,1610,2021,Tomas Soucek,26,West Ham,Midfielder
3721,846,2021,Jorginho,29,Chelsea,Midfielder
3722,1359,2021,Rayan Ait-Nouri,20,Wolves,Defender
3723,1355,2021,Raphinha,24,Leeds,Forward
3724,1122,2021,Matt Doherty,29,Tottenham,Defender
3725,1380,2021,Richarlison,24,Everton,Forward
3726,1336,2021,Philippe Coutinho,29,Aston Villa,Midfielder
3727,1583,2021,Thomas Partey,28,Arsenal,Midfielder
3728,440,2021,Dwight McNeil,21,Burnley,Forward
3729,1492,2021,Sergio Reguilon,24,Tottenham,Defender
3730,1415,2021,Ruben Dias,24,Man City,Defender
3731,1057,2021,Marc Cucurella,23,Brighton,Defender
3732,715,2021,Jamie Vardy,34,Leicester,Forward
3733,28,2021,Adama Traore,25,Wolves,Forward
3734,1013,2021,Lucas Digne,28,Aston Villa,Defender
3735,1669,2021,Wilfred Ndidi,24,Leicester,Midfielder
3736,323,2021,Cristian Romero,23,Tottenham,Defender
3737,603,2021,Hakim Ziyech,28,Chelsea,Midfielder
3738,728,2021,Jason Steele,31,Brighton,Goalkeeper
3739,172,2021,Ben Mee,31,Burnley,Defender
3740,1218,2021,Nathan Ake,26,Man City,Defender
3741,430,2021,Dominic Calvert-Lewin,24,Everton,Forward
3742,1173,2021,Michail Antonio,31,West Ham,Forward
3743,9,2021,Aaron Wan-Bissaka,23,Man Utd,Defender
3744,1137,2021,Matty Cash,24,Aston Villa,Defender
3745,1376,2021,Ricardo Pereira,27,Leicester,Defender
3746,1099,2021,Martin Oedegaard,22,Arsenal,Midfielder
3747,104,2021,Andreas Christensen,25,Chelsea,Defender
3748,153,2021,Aymeric Laporte,27,Man City,Defender
3749,1235,2021,Neco Williams,20,Liverpool,Defender
3750,1275,2021,Ollie Watkins,25,Aston Villa,Forward
3751,970,2021,Leandro Trossard,26,Brighton,Forward
3752,1706,2021,Youri Tielemans,24,Leicester,Midfielder
3753,1472,2021,Scott McTominay,24,Man Utd,Midfielder
3754,64,2021,Alex Telles,28,Man Utd,Defender
3755,1221,2021,Nathan Collins,20,Burnley,Defender
3756,640,2021,Ibrahima Konate,22,Liverpool,Defender
3757,470,2021,Emmanuel Dennis,23,Watford,Forward
3758,1497,2021,Shane Duffy,29,Brighton,Defender
3759,77,2021,Alisson Becker,28,Liverpool,Goalkeeper
3760,1149,2021,Maximilian Kilman,24,Wolves,Defender
3761,1416,2021,Ruben Loftus-Cheek,25,Chelsea,Midfielder
3762,1666,2021,Wesley Fofana,20,Leicester,Defender
3763,133,2021,Antonio Rudiger,28,Chelsea,Defender
3764,462,2021,Emerson Royal,22,Tottenham,Defender
3765,542,2021,Fred,28,Man Utd,Midfielder
3766,1282,2021,Oriol Romeu,29,Southampton,Midfielder
3767,385,2021,Davinson Sanchez,25,Tottenham,Defender
3768,831,2021,Jordan Henderson,31,Liverpool,Midfielder
3769,621,2021,Hassane Kamara,27,Watford,Defender
3770,1001,2021,Liam Cooper,29,Leeds,Defender
3771,859,2021,Josh Brownhill,25,Burnley,Midfielder
3772,329,2021,Curtis Jones,20,Liverpool,Midfielder
3773,1438,2021,Said Benrahma,26,West Ham,Forward
3774,549,2021,Gabriel Martinelli,20,Arsenal,Forward
3775,420,2021,Diogo Dalot,22,Man Utd,Defender
3776,1417,2021,Ruben Neves,24,Wolves,Midfielder
3777,1406,2021,Romain Saiss,31,Wolves,Defender
3778,892,2021,Kai Havertz,22,Chelsea,Midfielder
3779,1394,2021,Roberto Firmino,29,Liverpool,Forward
3780,961,2021,Kyle Walker-Peters,24,Southampton,Defender
3781,700,2021,James McArthur,33,Crystal Palace,Midfielder
3782,1564,2021,Takehiro Tomiyasu,22,Arsenal,Defender
3783,854,2021,Jose Sa,28,Wolves,Goalkeeper
3784,1194,2021,Mohammed Salisu,22,Southampton,Defender
3785,798,2021,Joelinton,25,Newcastle,Forward
3786,1015,2021,Lucas Moura,29,Tottenham,Forward
3787,259,2021,Cesar Azpilicueta,32,Chelsea,Defender
3788,268,2021,Charlie Taylor,27,Burnley,Defender
3789,1241,2021,Nelson Semedo,27,Wolves,Defender
3790,1246,2021,Nick Pope,29,Burnley,Goalkeeper
3791,1408,2021,Romelu Lukaku,28,Chelsea,Forward
3792,1413,2021,Ross Barkley,27,Chelsea,Midfielder
3793,716,2021,Jan Bednarek,25,Southampton,Defender
3794,336,2021,Dan Burn,29,Brighton,Defender
3795,1291,2021,Pablo Fornals,25,West Ham,Midfielder
3796,381,2021,David Raya,25,Brentford,Goalkeeper
3797,796,2021,Joel Veltman,29,Brighton,Defender
3798,1013,2021,Lucas Digne,28,Everton,Defender
3799,241,2021,Calum Chambers,26,Aston Villa,Defender
3800,1211,2021,Naby Keita,26,Liverpool,Midfielder
3801,1301,2021,Pascal Gross,30,Brighton,Midfielder
3802,619,2021,Harvey Barnes,23,Leicester,Midfielder
3803,632,2021,Hugo Lloris,34,Tottenham,Goalkeeper
3804,769,2021,Joao Pedro,19,Watford,Forward
3805,1556,2021,Stuart Dallas,30,Leeds,Defender
3806,1354,2021,Raphael Varane,28,Man Utd,Defender
3807,165,2021,Ben Davies,28,Tottenham,Defender
3808,350,2021,Daniel Podence,25,Wolves,Midfielder
3809,176,2021,Ben White,23,Arsenal,Defender
3810,436,2021,Douglas Luiz,23,Aston Villa,Midfielder
3811,1058,2021,Marc Guehi,21,Crystal Palace,Defender
3812,235,2021,Callum Hudson-Odoi,20,Chelsea,Forward
3813,1048,2021,Malang Sarr,22,Chelsea,Defender
3814,676,2021,Jacob Ramsey,20,Aston Villa,Midfielder
3815,940,2021,Kieran Tierney,24,Arsenal,Defender
3816,481,2021,Eric Dier,27,Tottenham,Defender
3817,1341,2021,Pontus Jansson,30,Brentford,Defender
3818,1030,2021,Lukasz Fabianski,36,West Ham,Goalkeeper
3819,825,2021,Jonny Evans,33,Leicester,Defender
3820,1064,2021,Marcal,32,Wolves,Defender
3821,1632,2021,Tyrick Mitchell,21,Crystal Palace,Defender
3822,827,2021,Jonny Otto,27,Wolves,Defender
3823,2,2021,Aaron Cresswell,31,West Ham,Defender
3824,465,2021,Emiliano Buendia,24,Aston Villa,Midfielder
3825,548,2021,Gabriel Magalhaes,23,Arsenal,Defender
3826,955,2021,Kurt Zouma,26,West Ham,Defender
3827,464,2021,Emile Smith Rowe,21,Arsenal,Midfielder
3828,273,2021,Cheikhou Kouyate,31,Crystal Palace,Midfielder
3829,232,2021,Caglar Soyuncu,25,Leicester,Defender
3830,1339,2021,Pierre-Emerick Aubameyang,32,Arsenal,Forward
3831,151,2021,Asmir Begovic,34,Everton,Goalkeeper
3832,227,2021,Bryan Mbeumo,22,Brentford,Midfielder
3833,1633,2021,Tyrone Mings,28,Aston Villa,Defender
3834,69,2021,Alexandre Lacazette,30,Arsenal,Forward
3835,1595,2021,Tino Livramento,18,Southampton,Defender
3836,993,2021,Lewis Dunk,29,Brighton,Defender
3837,905,2021,Kasper Schmeichel,34,Leicester,Goalkeeper
3838,952,2021,Kristoffer Ajer,23,Brentford,Defender
3839,1652,2021,Vitaly Janelt,23,Brentford,Midfielder
3840,594,2021,Grant Hanley,29,Norwich,Defender
3841,1039,2021,Luke Thomas,20,Leicester,Defender
3842,743,2021,Jeffrey Schlupp,28,Crystal Palace,Midfielder
3843,11,2021,Abdoulaye Doucoure,28,Everton,Midfielder
3844,538,2021,Francisco Sierralta,24,Watford,Defender
3845,797,2021,Joel Ward,31,Crystal Palace,Defender
3846,270,2021,Che Adams,25,Southampton,Forward
3847,1168,2021,Michael Keane,28,Everton,Defender
3848,284,2021,Chris Wood,29,Newcastle,Forward
3849,25,2021,Adam Webster,26,Brighton,Defender
3850,960,2021,Kyle Walker,31,Man City,Defender
3851,541,2021,Fraser Forster,33,Southampton,Goalkeeper
3852,113,2021,Andros Townsend,30,Everton,Midfielder
3853,485,2021,Erik Pieters,33,Burnley,Defender
3854,869,2021,Joshua King,29,Watford,Forward
3855,501,2021,Fabian Schar,29,Newcastle,Defender
3856,698,2021,James Justin,23,Leicester,Defender
3857,1592,2021,Timothy Castagne,25,Leicester,Defender
3858,319,2021,Craig Dawson,31,West Ham,Defender
3859,1639,2021,Vicente Guaita,34,Crystal Palace,Goalkeeper
3860,1207,2021,Moussa Sissoko,32,Watford,Midfielder
3861,517,2021,Fernandinho,36,Man City,Midfielder
3862,124,2021,Anthony Gordon,20,Everton,Forward
3863,978,2021,Leo Hjelde,18,Leeds,Defender
3864,1651,2021,Vitalii Mykolenko,22,Everton,Defender
3865,359,2021,Danny Welbeck,30,Brighton,Forward
3866,767,2021,Joao Moutinho,34,Wolves,Midfielder
3867,446,2021,Ederson,28,Man City,Goalkeeper
3868,1152,2021,Maxwel Cornet,24,Burnley,Forward
3869,1433,2021,Ryan Sessegnon,21,Tottenham,Midfielder
