,Player Id,Name,Birth Year,Age,Team,Position,year
1750,80067,Matthew Lowton,1989,28,Burnley,Defender,2017
1751,136776,Matt Targett,1996,21,Southampton,Defender,2017
1752,9298,Simon Francis,1985,32,Bournemouth,Defender,2017
1754,29574,Yohan Benalouane,1987,30,Leicester,Defender,2017
1755,117973,Eric Dier,1994,23,Tottenham,Defender,2017
1756,132838,Kenedy,1996,21,Newcastle,Midfielder,2017
1757,80464,Idrissa Gueye,1990,27,Everton,Midfielder,2017
1758,36745,David Ospina,1989,28,Arsenal,Goalkeeper,2017
1759,68659,Jordan Henderson,1990,27,Liverpool,Midfielder,2017
1760,22738,Marouane Fellaini,1988,29,Man Utd,Midfielder,2017
1761,322655,Davinson Sanchez,1996,21,Tottenham,Defender,2017
1762,18538,Jesus Gamez,1985,32,Newcastle,Defender,2017
1763,107941,Michael Keane,1993,24,Everton,Defender,2017
1764,91213,Alvaro Morata,1993,24,Chelsea,Forward,2017
1765,68393,Christian Kabasele,1991,26,Watford,Defender,2017
1766,123481,Mario Lemina,1994,23,Southampton,Midfielder,2017
1767,105720,Nick Pope,1992,25,Burnley,Goalkeeper,2017
1768,29809,Eric Choupo-Moting,1989,28,Stoke,Forward,2017
1769,8507,Chris Brunt,1985,32,WBA,Midfielder,2017
1770,90780,Oriol Romeu,1992,25,Southampton,Midfielder,2017
1771,8148,James Collins,1983,34,West Ham,Defender,2017
1772,104010,Antonio Rudiger,1993,24,Chelsea,Defender,2017
1773,110260,Sead Kolasinac,1993,24,Arsenal,Defender,2017
1774,74341,Joel Matip,1991,26,Liverpool,Defender,2017
1775,67491,Jordan Ayew,1992,25,Swansea,Forward,2017
1776,88300,Danilo,1991,26,Man City,Defender,2017
1777,68312,Christian Benteke,1991,26,Crystal Palace,Forward,2017
1778,14805,Younes Kaboul,1986,31,Watford,Defender,2017
1779,33064,Victor Moses,1991,26,Chelsea,Midfielder,2017
1780,12187,Mousa Dembele,1987,30,Tottenham,Midfielder,2017
1781,19859,Jose Fonte,1984,33,West Ham,Defender,2017
1782,68662,Steve Cook,1991,26,Bournemouth,Defender,2017
1783,101605,Mike van der Hoorn,1993,24,Swansea,Defender,2017
1784,20973,Lukasz Fabianski,1985,32,Swansea,Goalkeeper,2017
1785,141172,Wesley Hoedt,1994,23,Southampton,Defender,2017
1786,15764,Stephen Ward,1985,32,Burnley,Defender,2017
1787,101374,John Stones,1994,23,Man City,Defender,2017
1788,122945,Nathan Ake,1995,22,Bournemouth,Defender,2017
1789,69517,Michail Antonio,1990,27,West Ham,Forward,2017
1790,69346,Gylfi Sigurdsson,1990,27,Everton,Midfielder,2017
1791,136824,Alex Iwobi,1996,21,Arsenal,Forward,2017
1792,81026,Joshua King,1992,25,Bournemouth,Forward,2017
1793,84146,Alex Oxlade Chamberlain,1993,24,Liverpool,Midfielder,2017
1794,122366,Anthony Martial,1996,21,Man Utd,Forward,2017
1795,69912,Junior Stanislas,1990,27,Bournemouth,Midfielder,2017
1796,23444,Joe Allen,1990,27,Stoke,Midfielder,2017
1797,255961,Jonjoe Kenny,1997,20,Everton,Defender,2017
1798,76304,Xherdan Shaqiri,1992,25,Stoke,Midfielder,2017
1799,18181,Phil Bardsley,1985,32,Burnley,Defender,2017
1800,105962,Benjamin Mendy,1994,23,Man City,Defender,2017
1801,25363,Juan Mata,1988,29,Man Utd,Midfielder,2017
1802,31826,Seamus Coleman,1989,28,Everton,Defender,2017
1803,135211,Tiemoue Bakayoko,1994,23,Chelsea,Midfielder,2017
1804,104368,Chancel Mbemba,1994,23,Newcastle,Defender,2017
1805,11981,Gary Cahill,1986,31,Chelsea,Defender,2017
1806,92729,Nathaniel Chalobah,1995,22,Watford,Midfielder,2017
1807,318153,Aaron Mooy,1991,26,Huddersfield,Midfielder,2017
1808,37204,Maya Yoshida,1988,29,Southampton,Defender,2017
1809,118244,Luke Shaw,1995,22,Man Utd,Defender,2017
1810,70676,Pedro Obiang,1992,25,West Ham,Midfielder,2017
1811,3807,Peter Crouch,1981,36,Stoke,Forward,2017
1812,27188,Mohamed Diame,1987,30,Newcastle,Midfielder,2017
1813,27586,David Luiz,1987,30,Chelsea,Defender,2017
1814,34052,Iborra,1988,29,Leicester,Midfielder,2017
1815,238916,Mikel Merino,1996,21,Newcastle,Midfielder,2017
1816,317804,Richarlison,1997,20,Watford,Forward,2017
1817,34131,Kyle Naughton,1989,28,Swansea,Defender,2017
1818,68648,Matt Ritchie,1990,27,Newcastle,Midfielder,2017
1819,70033,Daley Blind,1990,27,Man Utd,Defender,2017
1820,14199,Claudio Bravo,1983,34,Man City,Goalkeeper,2017
1821,79554,David de Gea,1991,26,Man Utd,Goalkeeper,2017
1822,13450,Robert Elliot,1986,31,Newcastle,Goalkeeper,2017
1823,18310,Eldin Jakupovic,1985,32,Leicester,Goalkeeper,2017
1824,42686,Jack Wilshere,1992,25,Arsenal,Midfielder,2017
1825,6105,Phil Jagielka,1982,35,Everton,Defender,2017
1826,109000,Jesse Lingard,1993,24,Man Utd,Midfielder,2017
1827,43105,Joel Ward,1990,27,Crystal Palace,Defender,2017
1828,299272,Ben Chilwell,1997,20,Leicester,Defender,2017
1829,12431,Christian Fuchs,1986,31,Leicester,Defender,2017
1830,71824,Pascal Gross,1991,26,Brighton,Midfielder,2017
1831,135727,Alfie Mawson,1994,23,Swansea,Defender,2017
1832,297544,Mason Holgate,1997,20,Everton,Defender,2017
1833,78152,Marvin Zeegelaar,1990,27,Watford,Defender,2017
1834,10839,Ragnar Klavan,1986,31,Liverpool,Defender,2017
1835,8247,Mark Noble,1987,30,West Ham,Midfielder,2017
1836,29575,Mamadou Sakho,1990,27,Crystal Palace,Defender,2017
1837,66741,Cheikhou Kouyate,1990,27,West Ham,Midfielder,2017
1838,42147,Marc Albrighton,1990,27,Leicester,Midfielder,2017
1839,98317,Gerard Deulofeu,1994,23,Watford,Forward,2017
1840,130331,Andreas Christensen,1996,21,Chelsea,Defender,2017
1841,113275,Alberto Moreno,1992,25,Liverpool,Defender,2017
1842,12376,Yohan Cabaye,1986,31,Crystal Palace,Midfielder,2017
1843,78221,Patrick van Aanholt,1990,27,Crystal Palace,Defender,2017
1844,92550,Jack Stephens,1994,23,Southampton,Defender,2017
1845,24238,Dale Stephens,1989,28,Brighton,Midfielder,2017
1846,125211,Hector Bellerin,1995,22,Arsenal,Defender,2017
1847,73380,Chris Wood,1992,25,Burnley,Forward,2017
1848,70099,Ciaran Clark,1990,27,Newcastle,Defender,2017
1849,33568,Georginio Wijnaldum,1991,26,Liverpool,Midfielder,2017
1850,86794,Anthony Knockaert,1992,25,Brighton,Midfielder,2017
1851,136741,Bernardo Silva,1994,23,Man City,Midfielder,2017
1852,4511,James Milner,1986,31,Liverpool,Midfielder,2017
1853,29474,Dusan Tadic,1989,28,Southampton,Forward,2017
1854,24444,Olivier Giroud,1987,30,Chelsea,Forward,2017
1855,22079,Jonny Evans,1988,29,WBA,Defender,2017
1856,135259,Steve Mounie,1995,22,Huddersfield,Forward,2017
1857,73399,Adrian,1987,30,West Ham,Goalkeeper,2017
1858,25964,Salomon Rondon,1990,27,WBA,Forward,2017
1859,19155,Steven Defour,1988,29,Burnley,Midfielder,2017
1860,124316,Calum Chambers,1995,22,Arsenal,Defender,2017
1861,40560,Aleksandar Dragovic,1991,26,Leicester,Defender,2017
1862,32323,Daryl Janmaat,1989,28,Watford,Defender,2017
1864,82593,Jonathan Hogg,1989,28,Huddersfield,Midfielder,2017
1865,107395,Jack Butland,1993,24,Stoke,Goalkeeper,2017
1866,21499,Jose Holebas,1984,33,Watford,Defender,2017
1867,44847,Federico Fernandez,1989,28,Swansea,Defender,2017
1868,26013,Mame Diouf,1988,29,Stoke,Forward,2017
1869,112009,Paul Dummett,1992,25,Newcastle,Defender,2017
1870,300299,Marcus Rashford,1998,19,Man Utd,Forward,2017
1871,75919,Kiko Femenia,1991,26,Watford,Defender,2017
1872,107462,Charlie Taylor,1994,23,Burnley,Defender,2017
1873,126958,DeAndre Yedlin,1993,24,Newcastle,Defender,2017
1874,23547,Angelo Ogbonna,1988,29,West Ham,Defender,2017
1875,77429,Davy Propper,1992,25,Brighton,Midfielder,2017
1876,20339,James McArthur,1988,29,Crystal Palace,Midfielder,2017
1877,6775,Petr Cech,1982,35,Arsenal,Goalkeeper,2017
1878,14244,Pablo Zabaleta,1985,32,West Ham,Defender,2017
1879,24711,Danny Rose,1990,27,Tottenham,Defender,2017
1880,25604,Hugo Lloris,1987,30,Tottenham,Goalkeeper,2017
1881,21571,Wayne Hennessey,1987,30,Crystal Palace,Goalkeeper,2017
1882,74603,Joselu,1990,27,Newcastle,Forward,2017
1883,77438,Cenk Tosun,1991,26,Everton,Forward,2017
1884,33590,Etienne Capoue,1988,29,Watford,Midfielder,2017
1885,19270,Michel Vorm,1984,33,Tottenham,Goalkeeper,2017
1886,22847,Jack Cork,1989,28,Burnley,Midfielder,2017
1887,108638,Will Hughes,1995,22,Watford,Midfielder,2017
1888,125476,Joao Mario,1993,24,West Ham,Midfielder,2017
1889,135366,Ayoze Perez,1993,24,Newcastle,Forward,2017
1890,81523,Mathew Ryan,1992,25,Brighton,Goalkeeper,2017
1891,40036,Matt Phillips,1991,26,WBA,Midfielder,2017
1892,136456,Lewis Cook,1997,20,Bournemouth,Midfielder,2017
1893,77464,Ilkay Gundogan,1991,26,Man City,Midfielder,2017
1894,46092,Martin Dubravka,1989,28,Newcastle,Goalkeeper,2017
1895,69877,Adam Smith,1991,26,Bournemouth,Defender,2017
1896,8222,Leighton Baines,1985,32,Everton,Defender,2017
1897,13447,Andrew Surman,1986,31,Bournemouth,Midfielder,2017
1898,24148,Erik Pieters,1988,29,Stoke,Defender,2017
1899,141469,Dominic Calvert-Lewin,1997,20,Everton,Forward,2017
1900,93160,Ryan Fraser,1994,23,Bournemouth,Midfielder,2017
1901,29026,Zanka,1990,27,Huddersfield,Defender,2017
1902,40027,Jonjo Shelvey,1992,25,Newcastle,Midfielder,2017
1903,118303,Sam Byram,1994,23,West Ham,Defender,2017
1904,23957,Bruno,1981,36,Brighton,Defender,2017
1905,8408,Ashley Williams,1984,33,Everton,Defender,2017
1906,107848,Alex Pritchard,1993,24,Huddersfield,Midfielder,2017
1907,107176,Loris Karius,1993,24,Liverpool,Goalkeeper,2017
1908,27550,Kieran Gibbs,1990,27,WBA,Defender,2017
1909,12124,Scott Dann,1987,30,Crystal Palace,Defender,2017
1910,288795,Rob Holding,1996,21,Arsenal,Defender,2017
1911,23383,Andy Carroll,1989,28,West Ham,Forward,2017
1912,68049,Aaron Cresswell,1990,27,West Ham,Defender,2017
1913,121774,Ederson,1993,24,Man City,Goalkeeper,2017
1914,69933,Toby Alderweireld,1989,28,Tottenham,Defender,2017
1915,234363,Sofiane Boufal,1994,23,Southampton,Forward,2017
1916,35174,Leroy Fer,1990,27,Swansea,Midfielder,2017
1917,38772,Geoff Cameron,1985,32,Stoke,Defender,2017
1918,136742,Jan Bednarek,1996,21,Southampton,Defender,2017
1919,6292,Per Mertesacker,1985,32,Arsenal,Defender,2017
1920,2115,Michael Carrick,1981,36,Man Utd,Midfielder,2017
1921,8462,Boaz Myhill,1983,34,WBA,Goalkeeper,2017
1922,69956,Tom Cleverley,1989,28,Watford,Midfielder,2017
1923,44055,Pedro,1987,30,Chelsea,Forward,2017
1924,100008,Victor Lindelof,1994,23,Man Utd,Defender,2017
1925,22846,Ryan Bertrand,1989,28,Southampton,Defender,2017
1926,91822,Jeffrey Schlupp,1993,24,Crystal Palace,Midfielder,2017
1927,70483,Karl Darlow,1991,26,Newcastle,Goalkeeper,2017
1928,255169,Ainsley Maitland-Niles,1997,20,Arsenal,Midfielder,2017
1929,70050,Marcos Rojo,1990,27,Man Utd,Defender,2017
1930,106486,Konstantinos Stafylidis,1994,23,Stoke,Defender,2017
1931,105797,Jordon Ibe,1996,21,Bournemouth,Midfielder,2017
1932,34749,Willy Caballero,1982,35,Chelsea,Goalkeeper,2017
1933,13805,Adrian Mariappa,1987,30,Watford,Defender,2017
1934,24827,Charlie Daniels,1987,30,Bournemouth,Defender,2017
1935,101955,Emerson,1994,23,Chelsea,Defender,2017
1936,105339,Molla Wague,1991,26,Watford,Defender,2017
1937,71714,Victor Wanyama,1991,26,Tottenham,Midfielder,2017
1938,10133,Heurelho Gomes,1981,36,Watford,Goalkeeper,2017
1939,111141,Oumar Niasse,1990,27,Everton,Forward,2017
1940,30060,Andre Ayew,1990,27,Swansea,Forward,2017
1941,86425,Nathan Redmond,1994,23,Southampton,Midfielder,2017
1942,9734,Steven Davis,1985,32,Southampton,Midfielder,2017
1943,3859,Wayne Rooney,1986,31,Everton,Forward,2017
1944,75198,Matty James,1991,26,Leicester,Midfielder,2017
1945,21686,Scott Arfield,1989,28,Burnley,Midfielder,2017
1946,103536,Moritz Bauer,1992,25,Stoke,Defender,2017
1947,110189,Jordan Pickford,1994,23,Everton,Goalkeeper,2017
1948,73798,Thibaut Courtois,1992,25,Chelsea,Goalkeeper,2017
1949,7895,Julian Speroni,1979,38,Crystal Palace,Goalkeeper,2017
1950,243548,Jose Izquierdo,1992,25,Brighton,Forward,2017
1951,67424,Grzegorz Krychowiak,1990,27,WBA,Midfielder,2017
1952,19277,Winston Reid,1988,29,West Ham,Defender,2017
1953,33891,Jay Rodriguez,1989,28,WBA,Forward,2017
1954,125379,Guido Carrillo,1991,26,Southampton,Forward,2017
1955,97635,Andre Carrillo,1991,26,Watford,Midfielder,2017
1956,23220,Matteo Darmian,1990,27,Man Utd,Defender,2017
1957,71327,Kyle Bartley,1991,26,Swansea,Defender,2017
1958,25832,Troy Deeney,1988,29,Watford,Forward,2017
1959,8157,Wes Morgan,1984,33,Leicester,Defender,2017
1960,101859,Pierre-Emile Hoejbjerg,1995,22,Southampton,Midfielder,2017
1961,141312,Davide Zappacosta,1992,25,Chelsea,Defender,2017
1962,25241,Craig Cathcart,1989,28,Watford,Defender,2017
1963,19545,Kasper Schmeichel,1987,30,Leicester,Goalkeeper,2017
1964,42916,Ki Sung-Yueng,1989,28,Swansea,Midfielder,2017
1965,71174,Ander Herrera,1989,28,Man Utd,Midfielder,2017
1966,122926,Solly March,1994,23,Brighton,Midfielder,2017
1967,28981,Tomer Hemed,1987,30,Brighton,Forward,2017
1968,32720,Gaetan Bong,1988,29,Brighton,Defender,2017
1969,21427,Glenn Murray,1984,33,Brighton,Forward,2017
1970,105172,James Ward-Prowse,1995,22,Southampton,Midfielder,2017
1971,5625,Aaron Lennon,1987,30,Burnley,Midfielder,2017
1972,35003,Chicharito,1988,29,West Ham,Forward,2017
1973,23683,Danny Simpson,1987,30,Leicester,Defender,2017
1974,13846,Dan Gosling,1990,27,Bournemouth,Midfielder,2017
1975,26222,Shinji Okazaki,1986,31,Leicester,Forward,2017
1976,106880,Laurent Depoitre,1989,28,Huddersfield,Forward,2017
1977,91434,Allan-Romeo Nyom,1988,29,WBA,Defender,2017
1978,69945,Cedric Soares,1992,25,Southampton,Defender,2017
1979,312739,Timothy Fosu-Mensah,1998,19,Crystal Palace,Defender,2017
1980,33386,Ashley Barnes,1990,27,Burnley,Forward,2017
1982,188,Gareth Barry,1981,36,WBA,Midfielder,2017
1983,29544,Morgan Schneiderlin,1990,27,Everton,Midfielder,2017
1984,131171,Jonas Lossl,1989,28,Huddersfield,Goalkeeper,2017
1985,27349,Sebastian Prodl,1987,30,Watford,Defender,2017
1986,42947,Rajiv van La Parra,1991,26,Huddersfield,Midfielder,2017
1987,134115,Callum Wilson,1992,25,Bournemouth,Forward,2017
1988,134459,Sam Clucas,1991,26,Swansea,Midfielder,2017
1989,13798,Shane Long,1987,30,Southampton,Forward,2017
1990,36849,Jake Livermore,1990,27,WBA,Midfielder,2017
1991,136356,Isaac Hayden,1995,22,Newcastle,Midfielder,2017
1992,82102,Charlie Austin,1989,28,Southampton,Forward,2017
1993,38577,Alex McCarthy,1990,27,Southampton,Goalkeeper,2017
1994,101550,Kevin Wimmer,1993,24,Stoke,Defender,2017
1995,23122,Asmir Begovic,1987,30,Bournemouth,Goalkeeper,2017
1996,75830,Erik Lamela,1992,25,Tottenham,Midfielder,2017
1997,90907,Tom Carroll,1992,25,Swansea,Midfielder,2017
1998,39308,Danny Welbeck,1991,26,Arsenal,Forward,2017
1999,101664,Chris Lowe,1989,28,Huddersfield,Defender,2017
2000,29796,Fraser Forster,1988,29,Southampton,Goalkeeper,2017
2001,135837,Tommy Smith,1992,25,Huddersfield,Defender,2017
2002,90000,Roberto Pereyra,1991,26,Watford,Midfielder,2017
2003,36096,Miguel Britos,1985,32,Watford,Defender,2017
2004,14053,Yaya Toure,1983,34,Man City,Midfielder,2017
