,No.,Year,Name,Age,Team,Position
3135,613,2020,Harry Kane,27,Tottenham,Forward
3136,922,2020,Kevin De Bruyne,29,Man City,Midfielder
3137,222,2020,Bruno Fernandes,25,Man Utd,Midfielder
3138,1610,2020,Tomas Soucek,25,West Ham,Midfielder
3139,1107,2020,Mason Mount,21,Chelsea,Midfielder
3140,1437,2020,Sadio Mane,28,Liverpool,Forward
3141,763,2020,Joao Cancelo,26,Man City,Defender
3142,555,2020,Gareth Bale,31,Tottenham,Forward
3143,1232,2020,Nathaniel Phillips,23,Liverpool,Defender
3144,645,2020,Ilkay Gundogan,29,Man City,Midfielder
3145,1522,2020,Son Heung-Min,28,Tottenham,Forward
3146,1669,2020,Wilfred Ndidi,23,Leicester,Midfielder
3147,753,2020,Jesse Lingard,27,West Ham,Midfielder
3148,1355,2020,Raphinha,23,Leeds,Forward
3149,1348,2020,Raheem Sterling,25,Man City,Forward
3150,706,2020,James Rodriguez,29,Everton,Midfielder
3151,1275,2020,Ollie Watkins,24,Aston Villa,Forward
3152,950,2020,Kortney Hause,25,Aston Villa,Defender
3153,1401,2020,Rodri,24,Man City,Midfielder
3154,1173,2020,Michail Antonio,30,West Ham,Forward
3155,430,2020,Dominic Calvert-Lewin,23,Everton,Forward
3156,761,2020,Jimmy Dunne,22,Burnley,Defender
3157,9,2020,Aaron Wan-Bissaka,22,Man Utd,Defender
3158,1331,2020,Phil Foden,20,Man City,Midfielder
3159,787,2020,Joe Willock,21,Newcastle,Midfielder
3160,1074,2020,Marcus Rashford,22,Man Utd,Forward
3161,1577,2020,Thiago Alcantara,29,Liverpool,Midfielder
3162,80,2020,Allan Saint-Maximin,23,Newcastle,Forward
3163,547,2020,Gabriel Jesus,23,Man City,Forward
3164,1319,2020,Pedro Neto,20,Wolves,Forward
3165,28,2020,Adama Traore,24,Wolves,Forward
3166,1394,2020,Roberto Firmino,28,Liverpool,Forward
3167,715,2020,Jamie Vardy,33,Leicester,Forward
3168,1116,2020,Mathew Ryan,28,Arsenal,Goalkeeper
3169,1706,2020,Youri Tielemans,23,Leicester,Midfielder
3170,1013,2020,Lucas Digne,27,Everton,Defender
3171,286,2020,Christian Benteke,29,Crystal Palace,Forward
3172,188,2020,Bernardo Silva,26,Man City,Midfielder
3173,955,2020,Kurt Zouma,25,Chelsea,Defender
3174,1521,2020,Solly March,26,Brighton,Midfielder
3175,709,2020,James Ward-Prowse,25,Southampton,Midfielder
3176,1193,2020,Mohamed Salah,28,Liverpool,Forward
3177,1001,2020,Liam Cooper,28,Leeds,Defender
3178,944,2020,Kiko Casilla,33,Leeds,Goalkeeper
3179,1487,2020,Serge Aurier,27,Tottenham,Defender
3180,1313,2020,Paul Pogba,27,Man Utd,Midfielder
3181,614,2020,Harry Maguire,27,Man Utd,Defender
3182,808,2020,John Stones,26,Man City,Defender
3183,698,2020,James Justin,22,Leicester,Defender
3184,1038,2020,Luke Shaw,25,Man Utd,Defender
3185,1304,2020,Patrick Bamford,26,Leeds,Forward
3186,247,2020,Caoimhin Kelleher,21,Liverpool,Goalkeeper
3187,707,2020,James Tarkowski,27,Burnley,Defender
3188,133,2020,Antonio Rudiger,27,Chelsea,Defender
3189,1618,2020,Trent Alexander-Arnold,21,Liverpool,Defender
3190,1666,2020,Wesley Fofana,19,Leicester,Defender
3191,393,2020,Declan Rice,21,West Ham,Midfielder
3192,895,2020,Kalvin Phillips,24,Leeds,Midfielder
3193,699,2020,James Maddison,23,Leicester,Midfielder
3194,164,2020,Ben Chilwell,23,Chelsea,Defender
3195,467,2020,Emiliano Martinez,27,Aston Villa,Goalkeeper
3196,102,2020,Andre-Frank Zambo Anguissa,24,Fulham,Midfielder
3197,1709,2020,Yves Bissouma,23,Brighton,Midfielder
3198,1380,2020,Richarlison,23,Everton,Forward
3199,619,2020,Harvey Barnes,22,Leicester,Midfielder
3200,64,2020,Alex Telles,27,Man Utd,Defender
3201,1265,2020,Okay Yokuslu,26,WBA,Midfielder
3202,666,2020,Jack Harrison,23,Leeds,Midfielder
3203,1115,2020,Matheus Pereira,24,WBA,Midfielder
3204,792,2020,Joel Matip,29,Liverpool,Defender
3205,1656,2020,Vladimir Coufal,28,West Ham,Defender
3206,1340,2020,Pierre-Emile Hoejbjerg,25,Tottenham,Midfielder
3207,1032,2020,Luke Ayling,29,Leeds,Defender
3208,1468,2020,Scott Carson,34,Man City,Goalkeeper
3209,1363,2020,Reece James,20,Chelsea,Defender
3210,1282,2020,Oriol Romeu,28,Southampton,Midfielder
3211,1137,2020,Matty Cash,23,Aston Villa,Defender
3212,1472,2020,Scott McTominay,23,Man Utd,Midfielder
3213,37,2020,Ahmed Hegazy,29,WBA,Defender
3214,172,2020,Ben Mee,30,Burnley,Defender
3215,123,2020,Anthony Elanga,18,Man Utd,Forward
3216,542,2020,Fred,27,Man Utd,Midfielder
3217,1593,2020,Timothy Fosu-Mensah,22,Man Utd,Defender
3218,259,2020,Cesar Azpilicueta,31,Chelsea,Defender
3219,30,2020,Ademola Lookman,22,Fulham,Forward
3220,1168,2020,Michael Keane,27,Everton,Defender
3221,1415,2020,Ruben Dias,23,Man City,Defender
3222,1578,2020,Thiago Silva,35,Chelsea,Defender
3223,1357,2020,Raul Jimenez,29,Wolves,Forward
3224,646,2020,Illan Meslier,20,Leeds,Goalkeeper
3225,413,2020,Diego Llorente,27,Leeds,Defender
