,Player Id,Name,Birth Year,Age,Team,Position,year
2690,73084,Kevin De Bruyne,1991,28,Man City,Midfielder,2019
2691,123761,Bruno Fernandes,1995,24,Man Utd,Midfielder,2019
2692,120763,Ricardo Pereira,1994,25,Leicester,Defender,2019
2693,140088,Adama Traore,1996,23,Wolves,Forward,2019
2694,104749,Riyad Mahrez,1991,28,Man City,Forward,2019
2695,109915,Sadio Mane,1992,27,Liverpool,Forward,2019
2696,108226,Mohamed Salah,1992,27,Liverpool,Forward,2019
2697,97692,Raheem Sterling,1995,24,Man City,Forward,2019
2698,300299,Marcus Rashford,1998,21,Man Utd,Forward,2019
2699,137015,James Maddison,1997,22,Leicester,Midfielder,2019
2700,83532,Harry Kane,1993,26,Tottenham,Forward,2019
2701,95408,Virgil van Dijk,1991,28,Liverpool,Defender,2019
2702,122366,Anthony Martial,1996,23,Man Utd,Forward,2019
2703,29463,Willian,1988,31,Chelsea,Forward,2019
2704,84008,Marcos Alonso,1991,28,Chelsea,Defender,2019
2705,69517,Michail Antonio,1990,29,West Ham,Forward,2019
2706,135891,Allan Saint-Maximin,1997,22,Newcastle,Forward,2019
2707,74341,Joel Matip,1991,28,Liverpool,Defender,2019
2708,14102,David Silva,1986,33,Man City,Midfielder,2019
2709,279379,Gabriel Jesus,1997,22,Man City,Forward,2019
2710,108186,Raul Jimenez,1991,28,Wolves,Forward,2019
2711,91909,Son Heung-Min,1992,27,Tottenham,Forward,2019
2712,113069,Jack Grealish,1996,23,Aston Villa,Midfielder,2019
2713,327683,Wilfred Ndidi,1997,22,Leicester,Midfielder,2019
2714,106981,Jamie Vardy,1987,32,Leicester,Forward,2019
2715,128967,Joao Cancelo,1994,25,Man City,Defender,2019
2716,318871,Trent Alexander-Arnold,1999,20,Liverpool,Defender,2019
2717,331924,Aaron Wan-Bissaka,1998,21,Man Utd,Defender,2019
2718,317804,Richarlison,1997,22,Everton,Forward,2019
2719,97587,Willy Boly,1991,28,Wolves,Defender,2019
2720,131464,James Tarkowski,1993,26,Burnley,Defender,2019
2721,97752,Paul Pogba,1993,26,Man Utd,Midfielder,2019
2722,302692,Christian Pulisic,1999,20,Chelsea,Midfielder,2019
2723,14260,Sergio Aguero,1988,31,Man City,Forward,2019
2724,89925,Lucas Digne,1993,26,Everton,Defender,2019
2725,105172,James Ward-Prowse,1995,24,Southampton,Midfielder,2019
2726,68659,Jordan Henderson,1990,29,Liverpool,Midfielder,2019
2727,143595,Tomas Soucek,1995,24,West Ham,Midfielder,2019
2728,96182,Roberto Firmino,1992,27,Liverpool,Forward,2019
2729,25931,Cesar Azpilicueta,1989,30,Chelsea,Defender,2019
2730,99487,Harry Maguire,1993,26,Man Utd,Defender,2019
2731,91762,Danny Ings,1992,27,Southampton,Forward,2019
2732,115726,Andy Robertson,1994,25,Liverpool,Defender,2019
2733,29106,Dejan Lovren,1989,30,Liverpool,Defender,2019
2734,303139,Rodri,1996,23,Man City,Midfielder,2019
2735,236544,Sebastien Haller,1994,25,West Ham,Forward,2019
2736,260592,Emiliano Buendia,1997,22,Norwich,Midfielder,2019
2737,396317,Luke Thomas,2001,18,Leicester,Defender,2019
2738,239872,Nicolas Pepe,1995,24,Arsenal,Forward,2019
2739,83683,Serge Aurier,1993,26,Tottenham,Defender,2019
2740,357427,Dwight McNeil,2000,19,Burnley,Forward,2019
2741,323352,Diego Rico,1993,26,Bournemouth,Defender,2019
2742,25832,Troy Deeney,1988,31,Watford,Forward,2019
2743,317998,Caglar Soyuncu,1996,23,Leicester,Defender,2019
2744,136741,Bernardo Silva,1994,25,Man City,Midfielder,2019
