,No.,Year,Name,Age,Team,Position
4187,151,2022,Asmir Begovic,35,Everton,Goalkeeper
4188,922,2022,Kevin De Bruyne,31,Man City,Midfielder
4189,486,2022,Erling Haaland,22,Man City,Forward
4190,613,2022,Harry Kane,29,Tottenham,Forward
4191,222,2022,Bruno Fernandes,27,Man Utd,Midfielder
4192,547,2022,Gabriel Jesus,25,Arsenal,Forward
4193,229,2022,Bukayo Saka,20,Arsenal,Midfielder
4194,1521,2022,Solly March,28,Brighton,Midfielder
4195,665,2022,Jack Grealish,26,Man City,Midfielder
4196,1099,2022,Martin Oedegaard,23,Arsenal,Midfielder
4197,1401,2022,Rodri,26,Man City,Midfielder
4198,549,2022,Gabriel Martinelli,21,Arsenal,Forward
4199,660,2022,Ivan Toney,26,Brentford,Forward
4200,798,2022,Joelinton,26,Newcastle,Forward
4201,699,2022,James Maddison,25,Leicester,Midfielder
4202,1403,2022,Rodrigo Bentancur,25,Tottenham,Midfielder
4203,223,2022,Bruno Guimaraes,24,Newcastle,Midfielder
4204,255,2022,Casemiro,30,Man Utd,Midfielder
4205,1193,2022,Mohamed Salah,30,Liverpool,Forward
4206,1331,2022,Phil Foden,22,Man City,Midfielder
4207,645,2022,Ilkay Gundogan,31,Man City,Midfielder
4208,1618,2022,Trent Alexander-Arnold,23,Liverpool,Defender
4209,490,2022,Ethan Pinnock,29,Brentford,Defender
4210,54,2022,Aleksandar Mitrovic,27,Fulham,Forward
4211,1074,2022,Marcus Rashford,24,Man Utd,Forward
4212,1363,2022,Reece James,22,Chelsea,Defender
4213,1583,2022,Thomas Partey,29,Arsenal,Midfielder
4214,514,2022,Felipe,33,Nottingham Forest,Defender
4215,303,2022,Cody Gakpo,23,Liverpool,Forward
4216,65,2022,Alexander Isak,22,Newcastle,Forward
4217,72,2022,Alexis Mac Allister,23,Brighton,Midfielder
4218,501,2022,Fabian Schar,30,Newcastle,Defender
4219,763,2022,Joao Cancelo,28,Man City,Defender
4220,1340,2022,Pierre-Emile Hoejbjerg,27,Tottenham,Midfielder
4221,442,2022,Eberechi Eze,24,Crystal Palace,Midfielder
4222,1386,2022,Riyad Mahrez,31,Man City,Forward
4223,393,2022,Declan Rice,23,West Ham,Midfielder
4224,227,2022,Bryan Mbeumo,23,Brentford,Midfielder
4225,1699,2022,Yerry Mina,27,Everton,Defender
4226,172,2022,Ben Mee,32,Brentford,Defender
4227,899,2022,Kaoru Mitoma,25,Brighton,Midfielder
4228,335,2022,Dan Bentley,29,Wolves,Goalkeeper
4229,1301,2022,Pascal Gross,31,Brighton,Midfielder
4230,440,2022,Dwight McNeil,22,Everton,Forward
4231,1172,2022,Michael Olise,20,Crystal Palace,Midfielder
4232,1681,2022,Willian,34,Fulham,Forward
4233,970,2022,Leandro Trossard,27,Brighton,Forward
4234,919,2022,Kenny Tete,26,Fulham,Defender
4235,1578,2022,Thiago Silva,37,Chelsea,Defender
4236,593,2022,Granit Xhaka,29,Arsenal,Midfielder
4237,1096,2022,Martin Dubravka,33,Newcastle,Goalkeeper
4238,707,2022,James Tarkowski,29,Everton,Defender
4239,1022,2022,Luis Diaz,25,Liverpool,Forward
4240,381,2022,David Raya,26,Brentford,Goalkeeper
4241,1016,2022,Lucas Paqueta,25,West Ham,Midfielder
4242,1650,2022,Virgil van Dijk,31,Liverpool,Defender
4243,1275,2022,Ollie Watkins,26,Aston Villa,Forward
4244,420,2022,Diogo Dalot,23,Man Utd,Defender
4245,1321,2022,Pedro Porro,22,Tottenham,Defender
4246,709,2022,James Ward-Prowse,27,Southampton,Midfielder
4247,1417,2022,Ruben Neves,25,Wolves,Midfielder
4248,1075,2022,Marcus Tavernier,23,Bournemouth,Midfielder
4249,1522,2022,Son Heung-Min,30,Tottenham,Forward
4250,1209,2022,N'Golo Kante,31,Chelsea,Midfielder
4251,189,2022,Bernd Leno,30,Fulham,Goalkeeper
4252,436,2022,Douglas Luiz,24,Aston Villa,Midfielder
4253,768,2022,Joao Palhinha,27,Fulham,Midfielder
4254,9,2022,Aaron Wan-Bissaka,24,Man Utd,Defender
4255,77,2022,Alisson Becker,29,Liverpool,Goalkeeper
4256,240,2022,Callum Wilson,30,Newcastle,Forward
4257,1196,2022,Moises Caicedo,20,Brighton,Midfielder
4258,1176,2022,Miguel Almiron,28,Newcastle,Midfielder
4259,183,2022,Benoit Badiashile,21,Chelsea,Defender
4260,1666,2022,Wesley Fofana,21,Leicester,Defender
4261,290,2022,Christian Noergaard,28,Brentford,Midfielder
4262,1038,2022,Luke Shaw,27,Man Utd,Defender
4263,787,2022,Joe Willock,23,Newcastle,Midfielder
4264,995,2022,Lewis Hall,17,Chelsea,Defender
4265,467,2022,Emiliano Martinez,29,Aston Villa,Goalkeeper
4266,548,2022,Gabriel Magalhaes,24,Arsenal,Defender
4267,1268,2022,Oleksandr Zinchenko,25,Arsenal,Defender
4268,676,2022,Jacob Ramsey,21,Aston Villa,Midfielder
4269,1394,2022,Roberto Firmino,30,Liverpool,Forward
4270,1487,2022,Serge Aurier,29,Nottingham Forest,Defender
4271,970,2022,Leandro Trossard,27,Arsenal,Forward
4272,1007,2022,Lisandro Martinez,24,Man Utd,Defender
4273,894,2022,Kalidou Koulibaly,31,Chelsea,Defender
4274,1199,2022,Morgan Gibbs-White,22,Nottingham Forest,Midfielder
4275,679,2022,Jadon Sancho,22,Man Utd,Forward
4276,232,2022,Caglar Soyuncu,26,Leicester,Defender
4277,135,2022,Antony,22,Man Utd,Forward
4278,1168,2022,Michael Keane,29,Everton,Defender
4279,57,2022,Alex Iwobi,26,Everton,Forward
4280,762,2022,Joachim Andersen,26,Crystal Palace,Defender
4281,1577,2022,Thiago Alcantara,31,Liverpool,Midfielder
4282,1672,2022,Wilfried Zaha,29,Crystal Palace,Forward
4283,1334,2022,Philip Billing,26,Bournemouth,Midfielder
4284,804,2022,John McGinn,27,Aston Villa,Midfielder
4285,1117,2022,Mathias Jensen,26,Brentford,Midfielder
4286,723,2022,Jarrod Bowen,25,West Ham,Forward
4287,920,2022,Kepa,27,Chelsea,Goalkeeper
4288,188,2022,Bernardo Silva,28,Man City,Midfielder
4289,1610,2022,Tomas Soucek,27,West Ham,Midfielder
4290,80,2022,Allan Saint-Maximin,25,Newcastle,Forward
4291,1257,2022,Noni Madueke,20,Chelsea,Forward
4292,830,2022,Jordan Ayew,30,Crystal Palace,Forward
4293,478,2022,Enzo Fernandez,21,Chelsea,Midfielder
4294,808,2022,John Stones,28,Man City,Defender
4295,1706,2022,Youri Tielemans,25,Leicester,Midfielder
4296,323,2022,Cristian Romero,24,Tottenham,Defender
4297,1415,2022,Ruben Dias,25,Man City,Defender
4298,606,2022,Hamed Traore,22,Bournemouth,Midfielder
4299,367,2022,Darwin Nunez,23,Liverpool,Forward
4300,1325,2022,Pervis Estupinan,24,Brighton,Defender
4301,432,2022,Dominic Solanke,24,Bournemouth,Forward
4302,640,2022,Ibrahima Konate,23,Liverpool,Defender
4303,176,2022,Ben White,24,Arsenal,Defender
4304,116,2022,Andy Robertson,28,Liverpool,Defender
4305,1194,2022,Mohammed Salisu,23,Southampton,Defender
4306,1679,2022,William Saliba,21,Arsenal,Defender
4307,462,2022,Emerson Royal,23,Tottenham,Defender
4308,883,2022,Julio Enciso,18,Brighton,Forward
4309,336,2022,Dan Burn,30,Newcastle,Defender
4310,396,2022,Dejan Kulusevski,22,Tottenham,Midfielder
4311,1244,2022,Neto,33,Bournemouth,Goalkeeper
4312,1639,2022,Vicente Guaita,35,Crystal Palace,Goalkeeper
4313,359,2022,Danny Welbeck,31,Brighton,Forward
4314,1218,2022,Nathan Ake,27,Man City,Defender
4315,892,2022,Kai Havertz,23,Chelsea,Midfielder
4316,1633,2022,Tyrone Mings,29,Aston Villa,Defender
4317,1560,2022,Sven Botman,22,Newcastle,Defender
4318,130,2022,Antonee Robinson,25,Fulham,Defender
4319,659,2022,Ivan Perisic,33,Tottenham,Midfielder
4320,339,2022,Dango Ouattara,20,Bournemouth,Forward
4321,698,2022,James Justin,24,Leicester,Defender
4322,1348,2022,Raheem Sterling,27,Chelsea,Forward
4323,421,2022,Diogo Jota,25,Liverpool,Forward
4324,728,2022,Jason Steele,32,Brighton,Goalkeeper
4325,1447,2022,Sam Johnstone,29,Crystal Palace,Goalkeeper
4326,1624,2022,Tyler Adams,23,Leeds,Midfielder
4327,105,2022,Andreas Pereira,26,Fulham,Midfielder
4328,666,2022,Jack Harrison,25,Leeds,Midfielder
4329,271,2022,Cheick Doucoure,22,Crystal Palace,Midfielder
4330,1616,2022,Tosin Adarabioyo,24,Fulham,Defender
4331,140,2022,Armel Bella-Kotchap,20,Southampton,Defender
4332,61,2022,Alex Moreno,29,Aston Villa,Defender
4333,1503,2022,Shea Charles,18,Man City,Midfielder
4334,502,2022,Fabinho,28,Liverpool,Midfielder
4335,1592,2022,Timothy Castagne,26,Leicester,Defender
4336,352,2022,Danilo,21,Nottingham Forest,Midfielder
4337,1122,2022,Matt Doherty,30,Tottenham,Defender
4338,91,2022,Amadou Onana,21,Everton,Midfielder
4339,1643,2022,Victor Lindelof,28,Man Utd,Defender
4340,1246,2022,Nick Pope,30,Newcastle,Goalkeeper
4341,942,2022,Kiernan Dewsbury-Hall,23,Leicester,Midfielder
4342,1438,2022,Said Benrahma,27,West Ham,Forward
4343,465,2022,Emiliano Buendia,25,Aston Villa,Midfielder
4344,1107,2022,Mason Mount,23,Chelsea,Midfielder
4345,287,2022,Christian Eriksen,30,Man Utd,Midfielder
4346,153,2022,Aymeric Laporte,28,Man City,Defender
4347,834,2022,Jordan Pickford,28,Everton,Goalkeeper
4348,778,2022,Joe Gomez,25,Liverpool,Defender
4349,955,2022,Kurt Zouma,27,West Ham,Defender
4350,1058,2022,Marc Guehi,22,Crystal Palace,Defender
4351,1402,2022,Rodrigo,31,Leeds,Forward
4352,1366,2022,Reiss Nelson,22,Arsenal,Forward
4353,1030,2022,Lukasz Fabianski,37,West Ham,Goalkeeper
4354,1233,2022,Nayef Aguerd,26,West Ham,Defender
4355,329,2022,Curtis Jones,21,Liverpool,Midfielder
4356,493,2022,Evan Ferguson,17,Brighton,Forward
4357,741,2022,Jefferson Lerma,27,Bournemouth,Midfielder
4358,383,2022,David de Gea,31,Man Utd,Goalkeeper
4359,716,2022,Jan Bednarek,26,Southampton,Defender
4360,1302,2022,Pascal Struijk,23,Leeds,Defender
4361,481,2022,Eric Dier,28,Tottenham,Defender
4362,743,2022,Jeffrey Schlupp,29,Crystal Palace,Midfielder
4363,619,2022,Harvey Barnes,24,Leicester,Midfielder
4364,1687,2022,Wout Faes,24,Leicester,Defender
4365,641,2022,Idrissa Gueye,32,Everton,Midfielder
4366,1057,2022,Marc Cucurella,24,Chelsea,Defender
4367,846,2022,Jorginho,30,Chelsea,Midfielder
4368,797,2022,Joel Ward,32,Crystal Palace,Defender
4369,1666,2022,Wesley Fofana,21,Chelsea,Defender
4370,657,2022,Issa Diop,25,Fulham,Defender
4371,1354,2022,Raphael Varane,29,Man Utd,Defender
4372,1382,2022,Rico Henry,25,Brentford,Defender
4373,1065,2022,Marcel Sabitzer,28,Man Utd,Midfielder
4374,1476,2022,Sean Longstaff,24,Newcastle,Midfielder
4375,1629,2022,Tyrell Malacia,23,Man Utd,Defender
4376,1656,2022,Vladimir Coufal,30,West Ham,Defender
4377,615,2022,Harry Souttar,23,Leicester,Defender
4378,1150,2022,Maximilian Wober,24,Leeds,Defender
4379,1652,2022,Vitaly Janelt,24,Brentford,Midfielder
4380,165,2022,Ben Davies,29,Tottenham,Defender
4381,1149,2022,Maximilian Kilman,25,Wolves,Defender
4382,1113,2022,Matheus Cunha,23,Wolves,Forward
4383,6,2022,Aaron Ramsdale,24,Arsenal,Goalkeeper
4384,764,2022,Joao Felix,22,Chelsea,Forward
4385,1356,2022,Rasmus Kristensen,25,Leeds,Defender
4386,430,2022,Dominic Calvert-Lewin,25,Everton,Forward
4387,896,2022,Kamaldeen Sulemana,20,Southampton,Midfielder
4388,993,2022,Lewis Dunk,30,Brighton,Defender
4389,1617,2022,Toti Gomes,23,Wolves,Defender
4390,1054,2022,Manuel Akanji,27,Man City,Defender
4391,1001,2022,Liam Cooper,30,Leeds,Defender
4392,319,2022,Craig Dawson,32,Wolves,Defender
4393,164,2022,Ben Chilwell,25,Chelsea,Defender
4394,124,2022,Anthony Gordon,21,Everton,Forward
4395,1399,2022,Robin Olsen,32,Aston Villa,Goalkeeper
4396,1683,2022,Willy Boly,31,Nottingham Forest,Defender
4397,399,2022,Demarai Gray,26,Everton,Forward
4398,2,2022,Aaron Cresswell,32,West Ham,Defender
4399,979,2022,Leon Bailey,25,Aston Villa,Midfielder
4400,846,2022,Jorginho,30,Arsenal,Midfielder
4401,1114,2022,Matheus Nunes,24,Wolves,Midfielder
